Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110272764    ,RAPPIDX SURFACE,Vindhya Enterprises,#4271,01/04/22,02/04/22,02/04/22,Pre-paid,Delivered,Khair_DhundhiNagla_D (Uttar Pradesh),Delivered,3,3,B,0,0,Khair,Uttar Pradesh,202141,Delhi_Airport_GW (Delhi),EOD-135,Khair_DhundhiNagla_D (Uttar Pradesh),Delivered to consignee - OTP Verified delivery,FALSE,06/04/22,06/04/22,06/04/22,04/04/22,04/04/22,06/04/22,01/04/22,06/04/22
8445110273000    ,RAPPIDX SURFACE,Vindhya Enterprises,#4295,05/04/22,05/04/22,05/04/22,COD,Delivered,Chandil_Saharbera_D (Jharkhand),Delivered,1,1,D1,999,999,Chandil,Jharkhand,832401,Delhi_Airport_GW (Delhi),EOD-38,Chandil_Saharbera_D (Jharkhand),Delivered to consignee,FALSE,08/04/22,11/04/22,11/04/22,08/04/22,08/04/22,08/04/22,05/04/22,08/04/22
8445110271961    ,RAPPIDX SURFACE,Watch World,IWEX903600,12/03/22,12/03/22,12/03/22,COD,In Transit,Taliparmba_Trichbrm_D (Kerala),RT,1,1,D2,1299,1299,Taliparamba,Kerala,670502,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,19/03/22,21/03/22,22/03/22,25/03/22,25/03/22,12/03/22,09/04/22
8445110273022    ,RAPPIDX SURFACE,Vindhya Enterprises,#4301,05/04/22,05/04/22,05/04/22,COD,In Transit,Dimapur_VeterinaryColony_D (Nagaland),Undelivered,0,,E,1049,1049,Dimapur,Nagaland,797112,Delhi_Airport_GW (Delhi),X-DLL2F,Tezpur_Sirajuli_I (Assam),Bag Added To Trip,FALSE,,12/04/22,12/04/22,,,,05/04/22,09/04/22
8445110271342    ,RAPPIDX SURFACE,Watch World,IWEX903243,10/03/22,10/03/22,10/03/22,COD,RTO,Imphal_Sagolband_D (Manipur),Delivered,2,2,F,1299,1299,Imphal,Manipur,795004,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,07/04/22,20/03/22,23/03/22,16/03/22,16/03/22,07/04/22,10/03/22,07/04/22
8445110272403    ,RAPPIDX SURFACE,Watch World,IWEX903859,14/03/22,14/03/22,14/03/22,COD,RTO,Imphal_Thoubal_D (Manipur),Delivered,0,,F,1299,1299,Imphal,Manipur,795138,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,TRUE,07/04/22,23/03/22,26/03/22,,,07/04/22,14/03/22,07/04/22
8445110272996    ,RAPPIDX SURFACE,Vindhya Enterprises,#4294,05/04/22,05/04/22,05/04/22,COD,In Transit,Moranhat_TengaDollong_D (Assam),Undelivered,0,,E,999,999,Moranhat,Assam,785670,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,11/04/22,11/04/22,,,,05/04/22,06/04/22
8445110272926    ,RAPPIDX SURFACE,Vindhya Enterprises,#4280,04/04/22,04/04/22,04/04/22,COD,In Transit,Kohima_AGColony_D (Nagaland),Undelivered,0,,E,999,999,Kohima,Nagaland,797005,Delhi_Airport_GW (Delhi),X-DLL2F,Tezpur_Sirajuli_I (Assam),Bag Added To Trip,FALSE,,11/04/22,11/04/22,,,,04/04/22,09/04/22
8445110273011    ,RAPPIDX SURFACE,Vindhya Enterprises,#4296,05/04/22,05/04/22,05/04/22,COD,In Transit,Kupwara_PoliceStn_DPP (Jammu & Kashmir),Undelivered,0,,F,999,999,Kupwara,Jammu & Kashmir,193222,Delhi_Airport_GW (Delhi),DLYLH-105,Chandigarh_Rajpura_GW (Punjab),Vehicle delayed,FALSE,,14/04/22,14/04/22,,,,05/04/22,08/04/22
8445110272930    ,RAPPIDX SURFACE,Vindhya Enterprises,#4283,04/04/22,04/04/22,04/04/22,COD,Pending,Dhmngaon_Bypass_DPP (Maharashtra),Undelivered,2,2,D1,999,999,Dhamangaon,Maharashtra,444901,Delhi_Airport_GW (Delhi),EOD-11,Dhmngaon_Bypass_DPP (Maharashtra),Consignee Unavailable,FALSE,,08/04/22,08/04/22,07/04/22,07/04/22,08/04/22,04/04/22,08/04/22
8445110272974    ,RAPPIDX SURFACE,Vindhya Enterprises,#4272,04/04/22,04/04/22,04/04/22,COD,In Transit,Imphal_Takyel_D (Manipur),Undelivered,0,,F,999,999,Imphal,Manipur,795140,Delhi_Airport_GW (Delhi),DLYLH-105,Guwahati_Kaikchi_GW (Assam),Vehicle delayed,FALSE,,13/04/22,13/04/22,,,,04/04/22,09/04/22
8445110272952    ,RAPPIDX SURFACE,Vindhya Enterprises,#4290,04/04/22,04/04/22,04/04/22,COD,Dispatched,Bordumsa_LakhangPlace_D (Arunachal Pradesh),Undelivered,1,,E,999,999,Bordumsa,Arunachal Pradesh,786174,Delhi_Airport_GW (Delhi),X-DDD3FD,Bordumsa_LakhangPlace_D (Arunachal Pradesh),Out for delivery,FALSE,,11/04/22,11/04/22,09/04/22,09/04/22,09/04/22,04/04/22,09/04/22
8445110266615    ,RAPPIDX SURFACE,Vindhya Enterprises,#24379464941702,10/02/22,10/02/22,10/02/22,COD,Pending,Srinagar_Bemina_D (Jammu & Kashmir),RT,3,3,F,899,899,Srinagar,Jammu & Kashmir,190017,Delhi_Airport_GW (Delhi),U-PMA,Srinagar_KothiBagh_DPP (Jammu & Kashmir),Package Confirmed Not Missing in Audit,FALSE,,18/02/22,18/02/22,15/02/22,19/02/22,21/02/22,10/02/22,06/04/22
8445110273033    ,RAPPIDX SURFACE,Vindhya Enterprises,#4302,05/04/22,05/04/22,05/04/22,COD,In Transit,Namakkal_KonguNgr_D (Tamil Nadu),Undelivered,0,,D2,999,999,Namakkal,Tamil Nadu,637001,Delhi_Airport_GW (Delhi),X-DBL1F,Salem_Ramalingapuram_H (Tamil Nadu),Added to Bag,FALSE,,12/04/22,12/04/22,,,,05/04/22,09/04/22
8445110272775    ,RAPPIDX SURFACE,Vindhya Enterprises,#7821808249,02/04/22,02/04/22,02/04/22,COD,In Transit,Jalna_BhagyaNgr_D (Maharashtra),RT,1,1,D1,999,999,Jalna,Maharashtra,431204,Delhi_Airport_GW (Delhi),RT-108,Jalna_BhagyaNgr_D (Maharashtra),No client instructions to Reattempt,FALSE,,07/04/22,07/04/22,07/04/22,07/04/22,07/04/22,02/04/22,09/04/22
8445110273070    ,RAPPIDX SURFACE,Vindhya Enterprises,#4307,06/04/22,07/04/22,07/04/22,COD,In Transit,Nongstoin_Postoffice_D (Meghalaya),Undelivered,0,,E,999,999,Nongstoin,Meghalaya,793119,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,TRUE,,14/04/22,14/04/22,,,,06/04/22,08/04/22
8445110272941    ,RAPPIDX SURFACE,Vindhya Enterprises,#4287,04/04/22,04/04/22,04/04/22,COD,Pending,Pala_PonadKaroor_D (Kerala),Undelivered,0,,D2,999,999,Pala,Kerala,686573,Delhi_Airport_GW (Delhi),X-IBD3F,Pala_PonadKaroor_D (Kerala),Shipment Received at Facility,FALSE,,09/04/22,09/04/22,09/04/22,,,04/04/22,09/04/22
8445110272230    ,RAPPIDX SURFACE,Watch World,IWEX903994,14/03/22,14/03/22,14/03/22,COD,RTO,Imphal_Thoubal_D (Manipur),Delivered,0,,F,1299,1299,Imphal,Manipur,795138,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,TRUE,07/04/22,23/03/22,26/03/22,,,07/04/22,14/03/22,07/04/22
8445110272985    ,RAPPIDX SURFACE,Vindhya Enterprises,#25222670942342,04/04/22,04/04/22,04/04/22,COD,Delivered,Jari_Jari_DPP (Himachal Pradesh),Delivered,2,2,E,999,999,Jari,Himachal Pradesh,175105,Delhi_Airport_GW (Delhi),EOD-38,Jari_Jari_DPP (Himachal Pradesh),Delivered to consignee,FALSE,08/04/22,08/04/22,08/04/22,07/04/22,07/04/22,08/04/22,04/04/22,08/04/22
8445110272801    ,RAPPIDX SURFACE,RAPPIDX SURFACE,#4287,04/04/22,04/04/22,,COD,Not Picked,Pala_PonadKaroor_D (Kerala),Undelivered,0,,D2,999,999,Pala,Kerala,686573,Narwana_Shivmndr_DPP (Haryana),X-PNP,Narwana_Shivmndr_DPP (Haryana),Shipment not received from client,FALSE,,,,,,,04/04/22,08/04/22
8445110272812    ,RAPPIDX SURFACE,RAPPIDX SURFACE,#4290,04/04/22,04/04/22,,COD,Not Picked,Bordumsa_LakhangPlace_D (Arunachal Pradesh),Undelivered,0,,E,999,999,Bordumsa,Arunachal Pradesh,786174,Narwana_Shivmndr_DPP (Haryana),X-PNP,Narwana_Shivmndr_DPP (Haryana),Shipment not received from client,FALSE,,,,,,,04/04/22,08/04/22
8445110272823    ,RAPPIDX SURFACE,RAPPIDX SURFACE,#4270,04/04/22,04/04/22,,COD,Not Picked,Muddebihal_MainRd_D (Karnataka),Undelivered,0,,D2,1049,1049,Muddebihal,Karnataka,586129,Narwana_Shivmndr_DPP (Haryana),X-PNP,Narwana_Shivmndr_DPP (Haryana),Shipment not received from client,FALSE,,,,,,,04/04/22,08/04/22
8445110272834    ,RAPPIDX SURFACE,RAPPIDX SURFACE,#4272,04/04/22,04/04/22,,COD,Not Picked,Imphal_Takyel_D (Manipur),Undelivered,0,,F,999,999,Imphal,Manipur,795140,Narwana_Shivmndr_DPP (Haryana),X-PNP,Narwana_Shivmndr_DPP (Haryana),Shipment not received from client,FALSE,,,,,,,04/04/22,08/04/22
