Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110079612,RAPPIDX SURFACE,Ignis Traders,RPDX0011222,14/09/2021,14/09/2021,14/09/2021,COD,Delivered,Pune_Bavdhan_D (Maharashtra),Delivered,1,1,C2,649,649,Pune,Maharashtra,411021,Delhi_Airport_GW (Delhi),EOD-38,Pune_Bavdhan_D (Maharashtra),Delivered to consignee,FALSE,18/09/2021,21/09/2021,22/09/2021,18/09/2021,18/09/2021,18/09/2021,14/09/2021,18/09/2021
8445110095093,RAPPIDX SURFACE,Ignis Traders,RPDX0012768,14/09/2021,14/09/2021,14/09/2021,COD,Delivered,Rajkot_Kothriya_DC (Gujarat),Delivered,1,1,D1,649,649,Rajkot,Gujarat,360001,Delhi_Airport_GW (Delhi),EOD-38,Rajkot_Kothriya_DC (Gujarat),Delivered to consignee,FALSE,18/09/2021,18/09/2021,20/09/2021,18/09/2021,18/09/2021,18/09/2021,14/09/2021,18/09/2021
8445110069753,RAPPIDX SURFACE,Ignis Traders,RPDX0010037,12/09/2021,13/09/2021,13/09/2021,COD,Delivered,Coimbatore_Periyarnagar_D (Tamil Nadu),Delivered,1,1,D2,649,649,Coimbatore,Tamil Nadu,641045,Delhi_Airport_GW (Delhi),EOD-38,Coimbatore_Periyarnagar_D (Tamil Nadu),Delivered to consignee,FALSE,18/09/2021,19/09/2021,19/09/2021,18/09/2021,18/09/2021,18/09/2021,12/09/2021,18/09/2021
8445110105980,RAPPIDX SURFACE,Ignis Traders 2,RPDX0014308,18/09/2021,18/09/2021,18/09/2021,COD,Delivered,Vijayawada_Seethrmpuram_D (Andhra Pradesh),Delivered,1,1,D2,1399,1399,Vijayawada,Andhra Pradesh,520004,Delhi_Airport_GW (Delhi),EOD-38,Vijayawada_Seethrmpuram_D (Andhra Pradesh),Delivered to consignee,TRUE,22/09/2021,23/09/2021,24/09/2021,22/09/2021,22/09/2021,22/09/2021,18/09/2021,22/09/2021
8445110066500,RAPPIDX SURFACE,Ignis Traders,RPDX009712,12/09/2021,13/09/2021,13/09/2021,COD,Delivered,Pathalgaon_Kmkla_D (Chhattisgarh),Delivered,2,3,D1,649,649,Pathalgaon,Chhattisgarh,496118,Delhi_Airport_GW (Delhi),EOD-38,Pathalgaon_Kmkla_D (Chhattisgarh),Delivered to consignee,FALSE,17/09/2021,18/09/2021,18/09/2021,16/09/2021,17/09/2021,17/09/2021,12/09/2021,17/09/2021
8445110013915,RAPPIDX SURFACE,VJ Enterprises,RPDX004380,06/09/2021,06/09/2021,06/09/2021,COD,RTO,Chandipur_Kuakhia_D (Orissa),Delivered,3,3,D1,1699,1699,Chandipur,Orissa,755009,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,23/09/2021,13/09/2021,14/09/2021,10/09/2021,10/09/2021,23/09/2021,06/09/2021,23/09/2021
8445110099584,RAPPIDX SURFACE,Renu Enterprises,RPDX0013496,16/09/2021,16/09/2021,16/09/2021,COD,Delivered,Mudarangady_Santhoor_DPP (Karnataka),Delivered,1,1,D2,1698,1698,Mudarangady,Karnataka,574116,Chandigarh_Raiprkln_C (Chandigarh),EOD-38,Mudarangady_Santhoor_DPP (Karnataka),Delivered to consignee,FALSE,23/09/2021,24/09/2021,24/09/2021,23/09/2021,23/09/2021,23/09/2021,16/09/2021,23/09/2021
8445110052990,RAPPIDX SURFACE,Renu Enterprises,RPDX008051,11/09/2021,11/09/2021,11/09/2021,COD,RTO,Baramati_Amari_D (Maharashtra),Delivered,1,1,D2,1698,1698,Baramati,Maharashtra,413110,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,23/09/2021,18/09/2021,18/09/2021,15/09/2021,15/09/2021,23/09/2021,11/09/2021,23/09/2021
8445110051100,RAPPIDX SURFACE,VJ Enterprises,RPDX007626,10/09/2021,10/09/2021,10/09/2021,COD,RTO,Kanjiramattom_Millungal_DPP (Kerala),Delivered,1,1,D2,1699,1699,Kanjiramattom,Kerala,682317,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,TRUE,23/09/2021,15/09/2021,15/09/2021,14/09/2021,14/09/2021,23/09/2021,10/09/2021,23/09/2021
8445110049416,RAPPIDX SURFACE,Renu Enterprises,RPDX007454,09/09/2021,09/09/2021,09/09/2021,COD,RTO,Pratapgarh_Katra_D (Uttar Pradesh),Delivered,3,3,D1,1698,1698,Pratapgarh,Uttar Pradesh,230001,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,23/09/2021,14/09/2021,18/09/2021,12/09/2021,13/09/2021,23/09/2021,09/09/2021,23/09/2021
8445110049490,RAPPIDX SURFACE,Renu Enterprises,RPDX007462,09/09/2021,09/09/2021,09/09/2021,COD,RTO,Cuttack_KhanNgr_D (Orissa),Delivered,2,2,D2,1698,1698,Cuttack,Orissa,753010,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,23/09/2021,16/09/2021,18/09/2021,13/09/2021,15/09/2021,23/09/2021,09/09/2021,23/09/2021
8445110097042,RAPPIDX SURFACE,Renu Enterprises,RPDX0013185,15/09/2021,15/09/2021,15/09/2021,COD,RTO,Indore_Rau_D (Madhya Pradesh),Delivered,1,1,D1,1698,1698,Indore,Madhya Pradesh,452009,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,23/09/2021,19/09/2021,19/09/2021,17/09/2021,17/09/2021,23/09/2021,15/09/2021,23/09/2021
8445110076506,RAPPIDX SURFACE,Renu Enterprises,RPDX0010855,13/09/2021,13/09/2021,13/09/2021,COD,RTO,Kanpur_Rawatpur_D (Uttar Pradesh),Delivered,1,1,D1,1698,1698,Kanpur,Uttar Pradesh,208020,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,23/09/2021,17/09/2021,18/09/2021,16/09/2021,16/09/2021,23/09/2021,13/09/2021,23/09/2021
8445110081513,RAPPIDX SURFACE,Ignis Traders,RPDX0011411,14/09/2021,15/09/2021,15/09/2021,COD,In Transit,Kumarsain_PWDofc_D (Himachal Pradesh),RT,2,2,E,1248,1248,Kumarsain,Himachal Pradesh,171213,Delhi_Airport_GW (Delhi),X-DLL2F,Chandigarh_Rajpura_GW (Punjab),Bag Added To Trip,FALSE,,20/09/2021,23/09/2021,18/09/2021,21/09/2021,22/09/2021,14/09/2021,26/09/2021
8445110129953,RAPPIDX SURFACE,Renu Enterprises,RPDX0018725,25/09/2021,25/09/2021,25/09/2021,COD,In Transit,Chikodi_IndraNgr_D (Karnataka),Undelivered,0,,D2,1789,1789,Chikodi,Karnataka,591226,Chandigarh_Raiprkln_C (Chandigarh),X-DLL2F,Chandigarh_Rajpura_GW (Punjab),Bag Added To Trip,FALSE,,30/09/2021,30/09/2021,,,,25/09/2021,27/09/2021
8445110129334,RAPPIDX SURFACE,Renu Enterprises,RPDX0018663,25/09/2021,25/09/2021,25/09/2021,COD,In Transit,Gorakhpur_Budhvihr_D (Uttar Pradesh),Undelivered,0,,D1,1698,1698,Gorakhpur,Uttar Pradesh,273016,Chandigarh_Raiprkln_C (Chandigarh),X-ILL1F,Kanpur_Sachendi_H (Uttar Pradesh),Bag Received at Facility,TRUE,,30/09/2021,30/09/2021,,,,25/09/2021,27/09/2021
8445110113326,RAPPIDX SURFACE,Renu Enterprises,RPDX0015680,22/09/2021,22/09/2021,22/09/2021,COD,In Transit,Goa_Anjuna_D (Goa),Undelivered,0,,D2,748,748,Bardez,Goa,403516,Chandigarh_Raiprkln_C (Chandigarh),X-ILL2F,Bhiwandi_Mega_GW (Maharashtra),Trip Arrived,FALSE,,28/09/2021,28/09/2021,,,,22/09/2021,25/09/2021
8445110054541,RAPPIDX SURFACE,Ignis Traders,RPDX008516,12/09/2021,13/09/2021,13/09/2021,COD,Pending,Bengaluru_Koramangala_Dc (Karnataka),RT,3,3,C2,649,649,Bangalore,Karnataka,560095,Delhi_Airport_GW (Delhi),X-DBL1F,Delhi_UdhyogNgr_R (Delhi),Added to Bag,TRUE,,18/09/2021,18/09/2021,18/09/2021,18/09/2021,20/09/2021,12/09/2021,26/09/2021
8445110068924,RAPPIDX SURFACE,Ignis Traders,RPDX009954,12/09/2021,13/09/2021,13/09/2021,COD,In Transit,Kohima_Peraciezie_D (Nagaland),RT,1,1,E,649,649,Kohima,Nagaland,797001,Delhi_Airport_GW (Delhi),X-DBL1F,Gurgaon_Tauru_RP (Haryana),Added to Bag,FALSE,,20/09/2021,21/09/2021,19/09/2021,20/09/2021,20/09/2021,12/09/2021,26/09/2021
8445110094754,RAPPIDX SURFACE,Ignis Traders,RPDX0012734,14/09/2021,14/09/2021,14/09/2021,COD,Pending,Vizag _NAD (Andhra Pradesh),Undelivered,1,1,D2,649,649,Visakhapatnam,Andhra Pradesh,531163,Delhi_Airport_GW (Delhi),EOD-11,Vizag _NAD (Andhra Pradesh),Consignee Unavailable,FALSE,,20/09/2021,19/09/2021,19/09/2021,26/09/2021,26/09/2021,14/09/2021,26/09/2021
8445110094883,RAPPIDX SURFACE,Ignis Traders,RPDX0012747,14/09/2021,14/09/2021,14/09/2021,COD,Pending,Boudh_Jogiberini_D (Orissa),RT,1,1,D2,649,649,Boudh,Orissa,762014,Delhi_Airport_GW (Delhi),X-DBL1F,Delhi_UdhyogNgr_R (Delhi),Added to Bag,FALSE,,20/09/2021,21/09/2021,19/09/2021,19/09/2021,19/09/2021,14/09/2021,27/09/2021
8445110108905,RAPPIDX SURFACE,Renu Enterprises,RPDX0014923,20/09/2021,20/09/2021,20/09/2021,COD,In Transit,Hazaribag_BodomBzr_DC (Jharkhand),RT,1,1,D1,1698,1698,hazaribagh,Jharkhand,825301,Chandigarh_Raiprkln_C (Chandigarh),X-DLL2F,Hazaribag_BodomBzr_DC (Jharkhand),Bag Added To Trip,TRUE,,25/09/2021,25/09/2021,24/09/2021,24/09/2021,24/09/2021,20/09/2021,26/09/2021
8445110108953,RAPPIDX SURFACE,Renu Enterprises,RPDX0014928,20/09/2021,20/09/2021,20/09/2021,COD,In Transit,Mylavaram_NuzviduRd_D (Andhra Pradesh),RT,1,1,D2,1698,1698,Mylavaram,Andhra Pradesh,521228,Chandigarh_Raiprkln_C (Chandigarh),CS-CSL,Hyderabad_Shamshbd_H (Telangana),Received At Delhivery Hub,FALSE,,25/09/2021,25/09/2021,24/09/2021,24/09/2021,24/09/2021,20/09/2021,27/09/2021
8445110117880,RAPPIDX SURFACE,Ignis Traders 2,RPDX0016154,22/09/2021,22/09/2021,22/09/2021,COD,Pending,Eluru_Agraharm_DC (Andhra Pradesh),Undelivered,1,2,D2,1399,1399,Eluru,Andhra Pradesh,534001,Delhi_Airport_GW (Delhi),EOD-6,Eluru_Agraharm_DC (Andhra Pradesh),Consignee refused to accept/order cancelled,TRUE,,26/09/2021,27/09/2021,26/09/2021,26/09/2021,26/09/2021,22/09/2021,26/09/2021
8445110117736,RAPPIDX SURFACE,Ignis Traders 2,RPDX0016139,22/09/2021,22/09/2021,22/09/2021,COD,Pending,Gadag_Cdosclrd_D (Karnataka),Undelivered,1,1,D2,1399,1399,Gadag,Karnataka,582101,Delhi_Airport_GW (Delhi),ST-117,Gadag_Cdosclrd_D (Karnataka),NDR Call - FE remark correct,FALSE,,27/09/2021,28/09/2021,26/09/2021,26/09/2021,26/09/2021,22/09/2021,26/09/2021
8445110122942,RAPPIDX SURFACE,VJ Enterprises,RPDX0017308,24/09/2021,24/09/2021,24/09/2021,COD,Pending,Mussoorie_BrlwgDPP_D (Uttarakhand),Undelivered,1,1,B,1399,1399,Mussoorie,Uttarakhand,248179,Delhi_Airport_GW (Delhi),EOD-6,Mussoorie_BrlwgDPP_D (Uttarakhand),Consignee refused to accept/order cancelled,FALSE,,28/09/2021,29/09/2021,26/09/2021,26/09/2021,26/09/2021,24/09/2021,26/09/2021
8445110098836,RAPPIDX SURFACE,Ignis Traders,RPDX0013364,15/09/2021,15/09/2021,15/09/2021,COD,In Transit,Hubli_AshokVana_D (Karnataka),RT,1,1,D2,649,649,Hubli,Karnataka,580023,Delhi_Airport_GW (Delhi),X-DLL2F,Bhiwandi_Mega_GW (Maharashtra),Bag Added To Trip,FALSE,,21/09/2021,22/09/2021,19/09/2021,22/09/2021,22/09/2021,15/09/2021,26/09/2021
8445110098674,RAPPIDX SURFACE,Ignis Traders,RPDX0013348,15/09/2021,15/09/2021,15/09/2021,COD,In Transit,Bangarapet_AMPCClny_D (Karnataka),RT,4,4,D2,649,649,Bangarapet,Karnataka,563114,Delhi_Airport_GW (Delhi),X-DLL2F,Bangalore_Soukyaroad_GW (Karnataka),Bag Added To Trip,FALSE,,20/09/2021,21/09/2021,20/09/2021,20/09/2021,24/09/2021,15/09/2021,27/09/2021
8445110109395,RAPPIDX SURFACE,Renu Enterprises,RPDX0014972,20/09/2021,20/09/2021,20/09/2021,COD,Pending,Mumbai_AndheriWest_D (Maharashtra),Undelivered,2,2,D2,1698,1698,Mumbai,Maharashtra,400061,Chandigarh_Raiprkln_C (Chandigarh),ST-115,Mumbai_AndheriWest_D (Maharashtra),Agent remark verified,TRUE,,25/09/2021,25/09/2021,25/09/2021,25/09/2021,26/09/2021,20/09/2021,26/09/2021
8445110109513,RAPPIDX SURFACE,Renu Enterprises,RPDX0014984,20/09/2021,20/09/2021,20/09/2021,COD,Pending,Mumbai_GhansliSec5_D (Maharashtra),Undelivered,3,3,D2,1698,1698,Navi mumbai,Maharashtra,400709,Chandigarh_Raiprkln_C (Chandigarh),EOD-6,Mumbai_GhansliSec5_D (Maharashtra),Consignee refused to accept/order cancelled,FALSE,,24/09/2021,24/09/2021,24/09/2021,24/09/2021,26/09/2021,20/09/2021,26/09/2021
8445110085702,RAPPIDX SURFACE,Ignis Traders,RPDX0011830,14/09/2021,14/09/2021,14/09/2021,COD,In Transit,Singtam_ShilohChrch_D (Sikkim),RT,3,2,E,649,649,Singtam,Sikkim,737134,Delhi_Airport_GW (Delhi),X-DLL2F,Rangpo_Khanikhola_I (Sikkim),Bag Added To Trip,FALSE,,21/09/2021,23/09/2021,21/09/2021,21/09/2021,24/09/2021,14/09/2021,27/09/2021
8445110108286,RAPPIDX SURFACE,Renu Enterprises,RPDX0014751,18/09/2021,18/09/2021,18/09/2021,COD,Pending,Mhaswad_Drgmtatpl_D (Maharashtra),Undelivered,1,1,D2,1698,1698,Mhaswad,Maharashtra,415509,Chandigarh_Raiprkln_C (Chandigarh),ST-NTL,Mhaswad_Drgmtatpl_D (Maharashtra),NDR Call- No Customer response,FALSE,,26/09/2021,26/09/2021,26/09/2021,26/09/2021,26/09/2021,18/09/2021,26/09/2021
8445110112652,RAPPIDX SURFACE,Renu Enterprises,RPDX0015371,21/09/2021,21/09/2021,21/09/2021,COD,In Transit,Dharapuram_Selavprabu_DPP (Tamil Nadu),Undelivered,0,,D2,1689,1689,Dharapuram,Tamil Nadu,638657,Chandigarh_Raiprkln_C (Chandigarh),X-DLL2F,Salem_Ramalingapuram_H (Tamil Nadu),Bag Added To Trip,FALSE,,29/09/2021,29/09/2021,,,,21/09/2021,26/09/2021
8445110082810,RAPPIDX SURFACE,Ignis Traders,RPDX0011541,14/09/2021,14/09/2021,14/09/2021,COD,In Transit,Mumbai_Central_D_14 (Maharashtra),RT,4,4,C2,649,649,Mumbai,Maharashtra,400065,Delhi_Airport_GW (Delhi),X-DLL2F,Bhiwandi_Mega_GW (Maharashtra),Bag Added To Trip,FALSE,,20/09/2021,21/09/2021,20/09/2021,20/09/2021,24/09/2021,14/09/2021,26/09/2021
8445110125123,RAPPIDX SURFACE,Ignis Traders 2,RPDX0017870,24/09/2021,24/09/2021,24/09/2021,COD,In Transit,Baruipur_Bnsibtla_D (West Bengal),Undelivered,0,,C2,1399,1399,Baruipur,West Bengal,743613,Delhi_Airport_GW (Delhi),X-ILL2F,Kolkata_Dankuni_GW (West Bengal),Trip Arrived,FALSE,,28/09/2021,29/09/2021,,,,24/09/2021,27/09/2021
8445110110353,RAPPIDX SURFACE,Renu Enterprises,RPDX0015068,20/09/2021,20/09/2021,20/09/2021,COD,In Transit,Surat_NanaVrachha_D (Gujarat),Undelivered,0,,D1,1698,1698,Surat,Gujarat,395006,Chandigarh_Raiprkln_C (Chandigarh),CS-CSL,Surat_Kacholi_I (Gujarat),Received At Delhivery Hub,FALSE,,26/09/2021,26/09/2021,,,,20/09/2021,27/09/2021
8445110123686,RAPPIDX SURFACE,Ignis Traders 2,RPDX0017726,24/09/2021,24/09/2021,24/09/2021,COD,In Transit,Bidar_AdarshClny_D (Karnataka),Undelivered,0,,D2,1399,1399,Bidar,Karnataka,585401,Delhi_Airport_GW (Delhi),X-ILL1F,Nagpur_Khapari_GW (Maharashtra),Bag Received at Facility,FALSE,,29/09/2021,30/09/2021,,,,24/09/2021,26/09/2021
8445110109255,RAPPIDX SURFACE,Renu Enterprises,RPDX0014958,20/09/2021,20/09/2021,20/09/2021,COD,In Transit,Navsari_DC (Gujarat),Undelivered,0,,D1,1698,1698,Navsari,Gujarat,396439,Chandigarh_Raiprkln_C (Chandigarh),CS-CSL,Surat_Kacholi_I (Gujarat),Received At Delhivery Hub,FALSE,,26/09/2021,26/09/2021,,,,20/09/2021,27/09/2021
8445110124456,RAPPIDX SURFACE,Ignis Traders 2,RPDX0017803,24/09/2021,24/09/2021,24/09/2021,COD,In Transit,Chittapur_GlbrgaRD_D (Karnataka),Undelivered,0,,D2,1399,1399,Chittapur,Karnataka,585228,Delhi_Airport_GW (Delhi),X-ILL1F,Nagpur_Khapari_GW (Maharashtra),Bag Received at Facility,FALSE,,29/09/2021,30/09/2021,,,,24/09/2021,26/09/2021
8445110123384,RAPPIDX SURFACE,Ignis Traders 2,RPDX0017696,24/09/2021,24/09/2021,24/09/2021,COD,In Transit,Bidar_AdarshClny_D (Karnataka),Undelivered,0,,D2,1399,1399,Bidar,Karnataka,585401,Delhi_Airport_GW (Delhi),X-ILL1F,Nagpur_Khapari_GW (Maharashtra),Bag Received at Facility,FALSE,,29/09/2021,30/09/2021,,,,24/09/2021,26/09/2021
