Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110016881,RAPPIDX SURFACE,Renu Enterprises,RPDX004994,07/09/2021,07/09/2021,07/09/2021,COD,RTO,Howrah_ForeshoreRd_D (West Bengal),Delivered,1,1,D2,1698,1698,Howrah,West Bengal,711101,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,12/09/2021,13/09/2021,11/09/2021,11/09/2021,20/09/2021,07/09/2021,20/09/2021
8445110019644,RAPPIDX SURFACE,Renu Enterprises,RPDX005279,08/09/2021,09/09/2021,09/09/2021,COD,RTO,Pune_BhekraiNgr_D (Maharashtra),Delivered,1,1,D2,1599,1599,Pune,Maharashtra,412308,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,16/09/2021,16/09/2021,13/09/2021,13/09/2021,20/09/2021,08/09/2021,20/09/2021
8445110049722,RAPPIDX SURFACE,Renu Enterprises,RPDX007485,09/09/2021,09/09/2021,09/09/2021,COD,RTO,Begumpet HYD (Telangana),Delivered,1,1,D2,1698,1698,Hyderabad,Telangana,500025,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,15/09/2021,15/09/2021,12/09/2021,13/09/2021,20/09/2021,09/09/2021,20/09/2021
8445110016520,RAPPIDX SURFACE,Renu Enterprises,RPDX004958,07/09/2021,07/09/2021,07/09/2021,COD,RTO,Hyd_Miyapur_Dc (Telangana),Delivered,4,4,D2,1698,1698,Hyderabad,Telangana,500049,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,13/09/2021,13/09/2021,10/09/2021,10/09/2021,20/09/2021,07/09/2021,20/09/2021
8445110018045,RAPPIDX SURFACE,Renu Enterprises,RPDX005110,07/09/2021,07/09/2021,07/09/2021,COD,RTO,Kodad_OldNH9_D (Telangana),Delivered,1,1,D2,1649,1649,Kodad,Telangana,508233,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,13/09/2021,13/09/2021,11/09/2021,11/09/2021,20/09/2021,07/09/2021,20/09/2021
8445110096972,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0012928,15/09/2021,15/09/2021,,COD,Not Picked,Mumbai_SantoshNgr_D (Maharashtra),Undelivered,0,,D2,1699,1699,Greater Thane,Maharashtra,421204,Narwana_Shivmndr_DPP (Haryana),X-PNP,Narwana_Shivmndr_DPP (Haryana),Shipment not received from client,FALSE,,,,,,,15/09/2021,19/09/2021
8445110099315,RAPPIDX SURFACE,,RPDX005134,15/09/2021,15/09/2021,,COD,Not Picked,NSZ,Undelivered,0,,A,1549,1549,,,100001,Hyderabad_Mhdiptnm_C (Telangana),X-PNP,HQ (Haryana),Shipment not received from client,TRUE,,,,,,,15/09/2021,19/09/2021
8445110098350,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0013316,15/09/2021,15/09/2021,,COD,Not Picked,Patiala (Punjab),Undelivered,0,,B,649,649,Patiala,Punjab,147004,Narwana_Shivmndr_DPP (Haryana),X-PNP,Narwana_Shivmndr_DPP (Haryana),Shipment not received from client,FALSE,,,,,,,15/09/2021,19/09/2021
8445110096821,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0012925,15/09/2021,15/09/2021,,COD,Not Picked,Ludhiana_Sector39_D (Punjab),Undelivered,0,,B,1699,1699,Ludhiana,Punjab,141001,Narwana_Shivmndr_DPP (Haryana),X-PNP,Narwana_Shivmndr_DPP (Haryana),Shipment not received from client,FALSE,,,,,,,15/09/2021,19/09/2021
8445110099201,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0013401,15/09/2021,15/09/2021,,COD,Not Picked,Rohtak_RajendraNgr_D (Haryana),Undelivered,0,,B,649,649,Rohtak,Haryana,124001,Narwana_Shivmndr_DPP (Haryana),X-PNP,Narwana_Shivmndr_DPP (Haryana),Shipment not received from client,FALSE,,,,,,,15/09/2021,19/09/2021
8445110010883,RAPPIDX SURFACE,VJ Enterprises,RPDX002546,01/09/2021,01/09/2021,01/09/2021,COD,RTO,Tungaturthi_ThirumalagiriRoad_DPP (Telangana),Delivered,1,1,D2,1699,1699,Tungaturthi,Telangana,508280,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,14/09/2021,08/09/2021,09/09/2021,04/09/2021,04/09/2021,14/09/2021,01/09/2021,14/09/2021
8445110083016,RAPPIDX SURFACE,Ignis Traders,RPDX0011561,14/09/2021,14/09/2021,14/09/2021,COD,In Transit,Namsai_TinaliRd_D (Arunachal Pradesh),RT,1,1,E,649,649,Diyun,Arunachal Pradesh,792103,Delhi_Airport_GW (Delhi),X-DBL1F,Namsai_TinaliRd_D (Arunachal Pradesh),Added to Bag,FALSE,,21/09/2021,22/09/2021,21/09/2021,21/09/2021,21/09/2021,14/09/2021,23/09/2021
8445110059006,RAPPIDX SURFACE,Ignis Traders,RPDX008962,12/09/2021,13/09/2021,13/09/2021,COD,Pending,Mumbai_VedHeightVirar_D (Maharashtra),Undelivered,1,1,C2,649,649,VirarEast,Maharashtra,401209,Delhi_Airport_GW (Delhi),EOD-11,Mumbai_VedHeightVirar_D (Maharashtra),Consignee Unavailable,FALSE,,17/09/2021,17/09/2021,19/09/2021,23/09/2021,23/09/2021,12/09/2021,23/09/2021
8445110110563,RAPPIDX SURFACE,Renu Enterprises,RPDX0015089,20/09/2021,20/09/2021,20/09/2021,COD,Pending,Pune_WadgaonSheri_D (Maharashtra),Undelivered,0,,D2,1698,1698,Pune,Maharashtra,411014,Chandigarh_Raiprkln_C (Chandigarh),X-IBD3F,Pune_WadgaonSheri_D (Maharashtra),Shipment Received at Facility,TRUE,,24/09/2021,24/09/2021,23/09/2021,,,20/09/2021,23/09/2021
8445110089611,RAPPIDX SURFACE,Ignis Traders,RPDX0012221,14/09/2021,14/09/2021,14/09/2021,COD,In Transit,Bngnpalle_Enkndla_D (Andhra Pradesh),RT,1,1,D2,649,649,Banaganapalli,Andhra Pradesh,518135,Delhi_Airport_GW (Delhi),X-DLL2F,Kurnool_Dinnedevrpdu_I (Andhra Pradesh),Bag Added To Trip,FALSE,,19/09/2021,20/09/2021,18/09/2021,18/09/2021,18/09/2021,14/09/2021,23/09/2021
8445110016450,RAPPIDX SURFACE,Renu Enterprises,RPDX004951,07/09/2021,07/09/2021,07/09/2021,COD,In Transit,Holnrsipr_KoteRd_DPP (Karnataka),RT,3,3,D2,1698,1698,Holenarasipur,Karnataka,573211,Chandigarh_Raiprkln_C (Chandigarh),X-ILL2F,Bangalore_Soukyaroad_GW (Karnataka),Trip Arrived,FALSE,,15/09/2021,15/09/2021,13/09/2021,19/09/2021,21/09/2021,07/09/2021,24/09/2021
8445110095071,RAPPIDX SURFACE,Ignis Traders,RPDX0012766,14/09/2021,14/09/2021,14/09/2021,COD,In Transit,Mumbai_DaulatNgr_D (Maharashtra),RT,1,1,C2,1248,1248,Mumbai,Maharashtra,400101,Delhi_Airport_GW (Delhi),X-DLL2F,Bhiwandi_Mega_GW (Maharashtra),Bag Added To Trip,FALSE,,20/09/2021,21/09/2021,20/09/2021,20/09/2021,20/09/2021,14/09/2021,23/09/2021
8445110093870,RAPPIDX SURFACE,Ignis Traders,RPDX0012647,14/09/2021,14/09/2021,14/09/2021,COD,In Transit,Jukhala_Rihan_DPP (Himachal Pradesh),RT,3,3,E,649,649,Jukhala,Himachal Pradesh,174033,Delhi_Airport_GW (Delhi),X-ILL1F,Delhi_Airport_GW (Delhi),Bag Received at Facility,FALSE,,16/09/2021,17/09/2021,16/09/2021,17/09/2021,19/09/2021,14/09/2021,23/09/2021
8445110096751,RAPPIDX SURFACE,VJ Enterprises,RPDX0012972,15/09/2021,15/09/2021,15/09/2021,COD,Delivered,Chintpurni_Bharwain_D (Himachal Pradesh),Delivered,1,1,E,1399,1399,Chintpurni,Himachal Pradesh,177110,Delhi_Airport_GW (Delhi),EOD-38,Chintpurni_Bharwain_D (Himachal Pradesh),Delivered to consignee,FALSE,18/09/2021,17/09/2021,18/09/2021,18/09/2021,18/09/2021,18/09/2021,15/09/2021,18/09/2021
8445110106411,RAPPIDX SURFACE,Ignis Traders 2,RPDX0014359,18/09/2021,18/09/2021,18/09/2021,COD,In Transit,Nellore_Anagunta_D (Andhra Pradesh),Undelivered,0,,D2,1399,1399,Nellore,Andhra Pradesh,534002,Delhi_Airport_GW (Delhi),X-DLL2F,Vijayawada_Gudavalli_H (Andhra Pradesh),Bag Added To Trip,TRUE,,22/09/2021,23/09/2021,22/09/2021,,,18/09/2021,24/09/2021
8445110098943,RAPPIDX SURFACE,Ignis Traders,RPDX0013375,15/09/2021,15/09/2021,15/09/2021,COD,In Transit,Nasrullaganj_SehoreRd_D (Madhya Pradesh),RT,1,1,D1,649,649,Nasrullaganj,Madhya Pradesh,466331,Delhi_Airport_GW (Delhi),X-DBL1F,Gurgaon_Tauru_RP (Haryana),Added to Bag,FALSE,,20/09/2021,21/09/2021,19/09/2021,19/09/2021,19/09/2021,15/09/2021,23/09/2021
8445110072656,RAPPIDX SURFACE,Ignis Traders,RPDX0010327,12/09/2021,13/09/2021,13/09/2021,COD,Pending,Mumbai_MiraRdIndEstate_D (Maharashtra),Undelivered,0,,C2,649,649,Mumbai,Maharashtra,401107,Delhi_Airport_GW (Delhi),X-IBD3F,Mumbai_MiraRdIndEstate_D (Maharashtra),Shipment Received at Facility,FALSE,,18/09/2021,18/09/2021,18/09/2021,,,12/09/2021,18/09/2021
8445110037295,RAPPIDX SURFACE,Ignis Traders,RPDX006143,08/09/2021,08/09/2021,08/09/2021,COD,Delivered,Korba_Tilknagr_DC (Chhattisgarh),Delivered,2,2,D1,649,649,Korba,Chhattisgarh,495677,Delhi_Airport_GW (Delhi),EOD-38,Korba_Tilknagr_DC (Chhattisgarh),Delivered to consignee,FALSE,12/09/2021,13/09/2021,13/09/2021,11/09/2021,11/09/2021,12/09/2021,08/09/2021,12/09/2021
8445110059894,RAPPIDX SURFACE,Ignis Traders,RPDX009051,12/09/2021,13/09/2021,13/09/2021,COD,In Transit,Siliguri_ShyamNgr_D (West Bengal),RT,2,2,D1,649,649,Siliguri,West Bengal,734003,Delhi_Airport_GW (Delhi),X-DLL2F,Siliguri_Fulbari_H (West Bengal),Bag Added To Trip,TRUE,,17/09/2021,17/09/2021,17/09/2021,17/09/2021,18/09/2021,12/09/2021,23/09/2021
