Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110269021,RAPPIDX SURFACE,Balaji Enterprises,IWEX901738,19-02-22,21-02-22,21-02-22,COD,In Transit,Jaysingpur_Swapnanagari_D (Maharashtra),Undelivered,0,,D2,1299,1299,Jaysingpur,Maharashtra,416101,Delhi_Airport_GW (Delhi),X-DBL1F,Gurgaon_Tauru_GW (Haryana),Added to Bag,FALSE,,26-02-22,26-02-22,,,,19-02-22,22-02-22
8445110267245,RAPPIDX SURFACE,Balaji Enterprises,IWEX901157,16-02-22,16-02-22,16-02-22,COD,Pending,Dharmanagr_Ranakant_D (Tripura),Undelivered,0,,E,1299,1299,Dharmanagar,Tripura,799253,Delhi_Airport_GW (Delhi),X-SC,Dharmanagr_Ranakant_D (Tripura),Consignee to collect from branch,FALSE,,22-02-22,23-02-22,21-02-22,,,16-02-22,22-02-22
8445110266836,RAPPIDX SURFACE,Vindhya Enterprises,#4203,11-02-22,11-02-22,11-02-22,COD,Pending,Kozhikode_Chelembra_D (Kerala),Undelivered,2,3,D2,999,999,Kozhikode,Kerala,676317,Delhi_Airport_GW (Delhi),ST-115,Kozhikode_Chelembra_D (Kerala),Agent remark verified,FALSE,,18-02-22,19-02-22,16-02-22,20-02-22,22-02-22,11-02-22,22-02-22
8445110267002,RAPPIDX SURFACE,Vindhya Enterprises,#4218,14-02-22,14-02-22,14-02-22,COD,In Transit,Gummudipoondi_Kvpti_D (Tamil Nadu),RT,1,1,D2,999,999,Gummudipoondi,Tamil Nadu,601203,Delhi_Airport_GW (Delhi),RT-108,Gummudipoondi_Kvpti_D (Tamil Nadu),No client instructions to Reattempt,FALSE,,20-02-22,20-02-22,19-02-22,19-02-22,19-02-22,14-02-22,22-02-22
8445110267050,RAPPIDX SURFACE,Vindhya Enterprises,#4228,14-02-22,14-02-22,14-02-22,COD,In Transit,Challakere_Chandana_D (Karnataka),RT,2,2,D2,999,999,Challakere,Karnataka,577522,Delhi_Airport_GW (Delhi),RT-108,Challakere_Chandana_D (Karnataka),No client instructions to Reattempt,FALSE,,19-02-22,19-02-22,18-02-22,18-02-22,19-02-22,14-02-22,22-02-22
8445110267094,RAPPIDX SURFACE,Vindhya Enterprises,#4232,15-02-22,15-02-22,15-02-22,COD,In Transit,Karaikal_Mthakadi_D (Pondicherry),RT,1,1,D2,999,999,Karaikal,Pondicherry,609609,Delhi_Airport_GW (Delhi),X-DLL2F,Karaikal_Mthakadi_D (Pondicherry),Bag Added To Trip,FALSE,,21-02-22,21-02-22,20-02-22,20-02-22,20-02-22,15-02-22,22-02-22
8445110266615,RAPPIDX SURFACE,Vindhya Enterprises,#24379464941702,10-02-22,10-02-22,10-02-22,COD,Pending,Srinagar_KothiBagh_DPP (Jammu & Kashmir),RT,3,3,F,899,899,Srinagar,Jammu & Kashmir,190017,Delhi_Airport_GW (Delhi),ST-120,Srinagar_KothiBagh_DPP (Jammu & Kashmir),Maximum attempts reached for self collect,FALSE,,18-02-22,18-02-22,15-02-22,19-02-22,21-02-22,10-02-22,22-02-22
8445110269264,RAPPIDX SURFACE,Balaji Enterprises,IWEX901599,19-02-22,21-02-22,21-02-22,COD,In Transit,Kopargaon_NkshtrPz_D (Maharashtra),Undelivered,0,,D1,1299,1299,Kopargaon,Maharashtra,423601,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,27-02-22,27-02-22,,,,19-02-22,22-02-22
8445110269253,RAPPIDX SURFACE,Balaji Enterprises,IWEX901602,19-02-22,21-02-22,21-02-22,COD,In Transit,Ajmer_ShivMandir_D (Rajasthan),Undelivered,0,,B,1299,1299,Ajmer,Rajasthan,305001,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,24-02-22,24-02-22,,,,19-02-22,22-02-22
8445110267665,RAPPIDX SURFACE,Balaji Enterprises,IWEX901238,16-02-22,16-02-22,16-02-22,COD,In Transit,Roorkee_Dc (Uttarakhand),RT,1,1,B,1299,1299,Roorkee,Uttarakhand,247667,Delhi_Airport_GW (Delhi),X-DBL1F,Roorkee_Dc (Uttarakhand),Added to Bag,FALSE,,18-02-22,19-02-22,18-02-22,18-02-22,18-02-22,16-02-22,22-02-22
8445110264714,RAPPIDX SURFACE,Balaji Enterprises,RPDX0050193,02-02-22,03-02-22,03-02-22,COD,Pending,Bhesan_STroad_DPP (Gujarat),Undelivered,3,3,D1,1299,1299,Bhesan,Gujarat,365480,Delhi_Airport_GW (Delhi),U-PMA,Bhesan_STroad_DPP (Gujarat),Package Confirmed Not Missing in Audit,FALSE,09-02-22,07-02-22,07-02-22,08-02-22,08-02-22,18-02-22,02-02-22,19-02-22
8445110264821,RAPPIDX SURFACE,Balaji Enterprises,RPDX0050241,03-02-22,03-02-22,03-02-22,COD,RTO,Baraut_OmNagar_D (Uttar Pradesh),Delivered,1,1,B,1299,1299,Baraut,Uttar Pradesh,250622,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,15-02-22,06-02-22,06-02-22,05-02-22,05-02-22,14-02-22,03-02-22,15-02-22
8445110268564,RAPPIDX SURFACE,Rappidx Warehouse,UWA3431061,18-02-22,18-02-22,18-02-22,COD,Pending,Tiruvanamalai_Vjylkxmi_D (Tamil Nadu),Undelivered,0,,D2,1299,1299,Tiruvannamalai,Tamil Nadu,606753,Delhi_Airport_GW (Delhi),X-IBD3F,Tiruvanamalai_Vjylkxmi_D (Tamil Nadu),Shipment Received at Facility,FALSE,,23-02-22,23-02-22,22-02-22,,,18-02-22,22-02-22
8445110266442,RAPPIDX SURFACE,Vindhya Enterprises,#4167,09-02-22,09-02-22,09-02-22,COD,In Transit,Vapi_MahavirEstat_D (Gujarat),RT,4,4,D1,899,899,Vapi,Gujarat,396191,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,16-02-22,17-02-22,13-02-22,14-02-22,17-02-22,09-02-22,20-02-22
8445110266862,RAPPIDX SURFACE,Vindhya Enterprises,#4206,11-02-22,11-02-22,11-02-22,COD,In Transit,Dhmngaon_Bypass_DPP (Maharashtra),RT,2,2,D1,999,999,Dhamangaon,Maharashtra,444901,Delhi_Airport_GW (Delhi),X-DLL2F,Dhmngaon_Bypass_DPP (Maharashtra),Bag Added To Trip,FALSE,,15-02-22,15-02-22,14-02-22,16-02-22,17-02-22,11-02-22,22-02-22
8445110269135,RAPPIDX SURFACE,Balaji Enterprises,IWEX901673,19-02-22,21-02-22,21-02-22,COD,In Transit,Indapur_ChaitanyaPlaza_D (Maharashtra),Undelivered,0,,D2,1299,1299,Indapur,Maharashtra,413106,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,25-02-22,25-02-22,,,,19-02-22,22-02-22
8445110268811,RAPPIDX SURFACE,Balaji Enterprises,IWEX901546,18-02-22,19-02-22,19-02-22,COD,Dispatched,Dinanagar_KakaHosp_D (Punjab),Undelivered,1,,B,1299,1299,Dinanagar,Punjab,143534,Delhi_Airport_GW (Delhi),ST-114,Dinanagar_KakaHosp_D (Punjab),Call placed to consignee,FALSE,,22-02-22,23-02-22,22-02-22,22-02-22,22-02-22,18-02-22,22-02-22
8445110269076,RAPPIDX SURFACE,Balaji Enterprises,IWEX901715,19-02-22,21-02-22,21-02-22,COD,In Transit,ValmikiNagar_TankiBazar_D (Bihar),Undelivered,0,,D1,1299,1299,Valmiki Nagar,Bihar,845107,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,24-02-22,24-02-22,,,,19-02-22,22-02-22
8445110269150,RAPPIDX SURFACE,Balaji Enterprises,IWEX901656,19-02-22,21-02-22,21-02-22,COD,In Transit,Osmanabad_RajasabH_D (Maharashtra),Undelivered,0,,D2,1299,1299,Osmanabad,Maharashtra,413506,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,27-02-22,27-02-22,,,,19-02-22,22-02-22
8445110267433,RAPPIDX SURFACE,Balaji Enterprises,IWEX901021,16-02-22,16-02-22,16-02-22,COD,Dispatched,Hojai_KrishnaNagar_D (Assam),Undelivered,1,,E,1299,1299,Hojai,Assam,782445,Delhi_Airport_GW (Delhi),X-DDD3FD,Hojai_KrishnaNagar_D (Assam),Out for delivery,FALSE,,21-02-22,24-02-22,20-02-22,22-02-22,22-02-22,16-02-22,22-02-22
8445110267783,RAPPIDX SURFACE,Balaji Enterprises,IWEX901163,16-02-22,16-02-22,16-02-22,COD,Dispatched,CCU_Taratala (West Bengal),Undelivered,2,1,C2,1299,1299,Kolkata,West Bengal,700018,Delhi_Airport_GW (Delhi),X-DDD3FD,CCU_Taratala (West Bengal),Out for delivery,FALSE,,21-02-22,22-02-22,20-02-22,21-02-22,22-02-22,16-02-22,22-02-22
8445110266523,RAPPIDX SURFACE,Vindhya Enterprises,#4182,09-02-22,09-02-22,09-02-22,COD,Delivered,Goa_Panaji_D (Goa),Delivered,1,1,D2,999,999,Panjim,Goa,403006,Delhi_Airport_GW (Delhi),EOD-38,Goa_Panaji_D (Goa),Delivered to consignee,FALSE,13-02-22,16-02-22,16-02-22,13-02-22,13-02-22,13-02-22,09-02-22,13-02-22
8445110266486,RAPPIDX SURFACE,Vindhya Enterprises,#4174,09-02-22,09-02-22,09-02-22,COD,In Transit,Koraput_Balda_DPP (Orissa),RT,1,1,D2,999,999,Koraput,Orissa,764038,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,TRUE,,15-02-22,15-02-22,14-02-22,14-02-22,14-02-22,09-02-22,21-02-22
8445110266626,RAPPIDX SURFACE,Vindhya Enterprises,#24388679270534,10-02-22,10-02-22,10-02-22,COD,In Transit,Kodad_OldNH9_D (Telangana),RT,2,2,D2,899,899,Kodad,Telangana,508206,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,15-02-22,15-02-22,13-02-22,13-02-22,14-02-22,10-02-22,21-02-22
8445110265720,RAPPIDX SURFACE,Balaji Enterprises,HSC452113,07-02-22,07-02-22,07-02-22,COD,In Transit,Kathipudi_YdvaSt_D (Andhra Pradesh),RT,1,1,D2,1299,1299,Kathipudi,Andhra Pradesh,533449,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,14-02-22,14-02-22,15-02-22,15-02-22,15-02-22,07-02-22,21-02-22
8445110266022,RAPPIDX SURFACE,Balaji Enterprises,HSC452021,07-02-22,07-02-22,07-02-22,COD,In Transit,Kalimela_BlockClny_DPP (Orissa),RT,3,3,D2,1299,1299,Kalimela,Orissa,764047,Delhi_Airport_GW (Delhi),X-DLL2F,Vijayawada_Gudavalli_H (Andhra Pradesh),Bag Added To Trip,FALSE,,14-02-22,14-02-22,12-02-22,12-02-22,16-02-22,07-02-22,20-02-22
8445110267293,RAPPIDX SURFACE,Balaji Enterprises,IWEX901133,16-02-22,16-02-22,16-02-22,COD,Pending,Barpeta_Bhera_D (Assam),Undelivered,1,1,E,1299,1299,Barpeta,Assam,781316,Delhi_Airport_GW (Delhi),X-SC,Barpeta_Bhera_D (Assam),Consignee to collect from branch,FALSE,,22-02-22,23-02-22,21-02-22,22-02-22,22-02-22,16-02-22,21-02-22
8445110268774,RAPPIDX SURFACE,Balaji Enterprises,IWEX901554,18-02-22,19-02-22,19-02-22,COD,In Transit,UrliKanchan_TupeVastiRd_D (Maharashtra),Undelivered,0,,D2,1299,1299,UrliKanchan,Maharashtra,412203,Delhi_Airport_GW (Delhi),X-DBL1F,Supe_BusStop_D (Maharashtra),Added to Bag,FALSE,,24-02-22,25-02-22,22-02-22,,,18-02-22,22-02-22
8445110267735,RAPPIDX SURFACE,Balaji Enterprises,IWEX901203,16-02-22,16-02-22,16-02-22,COD,In Transit,Padrauna_BauliChwk_D (Uttar Pradesh),RT,1,1,D1,1299,1299,Padrauna,Uttar Pradesh,274304,Delhi_Airport_GW (Delhi),X-DBL1F,Padrauna_BauliChwk_D (Uttar Pradesh),Added to Bag,FALSE,,19-02-22,21-02-22,19-02-22,19-02-22,19-02-22,16-02-22,22-02-22
8445110268026,RAPPIDX SURFACE,Balaji Enterprises,IWEX901072,16-02-22,16-02-22,16-02-22,COD,In Transit,Vadodara_HarniRoad_D (Gujarat),RT,1,1,D1,1299,1299,Vadodara,Gujarat,391760,Delhi_Airport_GW (Delhi),RT-108,Vadodara_HarniRoad_D (Gujarat),No client instructions to Reattempt,FALSE,,21-02-22,22-02-22,19-02-22,19-02-22,19-02-22,16-02-22,22-02-22
8445110267606,RAPPIDX SURFACE,Balaji Enterprises,IWEX901269,16-02-22,16-02-22,16-02-22,COD,Pending,Jalalpur_BibanMau_D (Uttar Pradesh),Undelivered,0,,B,1299,1299,Jalalpur-UP,Uttar Pradesh,226101,Delhi_Airport_GW (Delhi),X-SC,Jalalpur_BibanMau_D (Uttar Pradesh),Consignee to collect from branch,FALSE,,20-02-22,20-02-22,18-02-22,,,16-02-22,22-02-22
8445110267466,RAPPIDX SURFACE,Vindhya Enterprises,#4236,16-02-22,16-02-22,16-02-22,COD,In Transit,Bardhaman_Ulhas_D (West Bengal),RT,2,3,D1,999,999,Bardhaman,West Bengal,713102,Delhi_Airport_GW (Delhi),RT-108,Bardhaman_Ulhas_D (West Bengal),No client instructions to Reattempt,FALSE,,21-02-22,21-02-22,19-02-22,19-02-22,20-02-22,16-02-22,22-02-22
8445110267282,RAPPIDX SURFACE,Balaji Enterprises,IWEX901134,16-02-22,16-02-22,16-02-22,COD,In Transit,Chinnur_AsnsdhRD_D (Telangana),RT,1,2,D1,1299,1299,Chinnur,Telangana,504214,Delhi_Airport_GW (Delhi),RT-108,Chinnur_AsnsdhRD_D (Telangana),No client instructions to Reattempt,FALSE,,20-02-22,21-02-22,20-02-22,20-02-22,20-02-22,16-02-22,22-02-22
8445110268881,RAPPIDX SURFACE,Balaji Enterprises,IWEX901483,18-02-22,19-02-22,19-02-22,COD,In Transit,Melmaruvathur_IOBank_D (Tamil Nadu),Undelivered,0,,D2,1299,1299,Melmaruvathur,Tamil Nadu,603406,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,25-02-22,26-02-22,,,,18-02-22,20-02-22
8445110268800,RAPPIDX SURFACE,Balaji Enterprises,IWEX901547,18-02-22,19-02-22,19-02-22,COD,Dispatched,Jaunpur_Sipah_D (Uttar Pradesh),Undelivered,1,,D1,1299,1299,Jaunpur,Uttar Pradesh,222002,Delhi_Airport_GW (Delhi),X-DDD3FD,Jaunpur_Sipah_D (Uttar Pradesh),Out for delivery,FALSE,,23-02-22,24-02-22,22-02-22,22-02-22,22-02-22,18-02-22,22-02-22
8445110269183,RAPPIDX SURFACE,Balaji Enterprises,IWEX901647,19-02-22,21-02-22,21-02-22,COD,In Transit,Dholpur_KamlaColony_D (Rajasthan),Undelivered,0,,B,1299,1299,Dholpur,Rajasthan,328030,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,23-02-22,23-02-22,,,,19-02-22,22-02-22
8445110268236,RAPPIDX SURFACE,Balaji Enterprises,IWEX901404,17-02-22,17-02-22,17-02-22,COD,Pending,Sivasagar_Babupaty_D (Assam),Undelivered,0,,E,1299,1299,Sivasagar,Assam,785640,Delhi_Airport_GW (Delhi),X-IBD3F,Sivasagar_Babupaty_D (Assam),Shipment Received at Facility,FALSE,,24-02-22,25-02-22,22-02-22,,,17-02-22,22-02-22
8445110268424,RAPPIDX SURFACE,Balaji Enterprises,IWEX901303,17-02-22,17-02-22,17-02-22,COD,In Transit,Pupri_SngihiRD_D (Bihar),RT,1,1,D1,1299,1299,Pupri,Bihar,847302,Delhi_Airport_GW (Delhi),RT-108,Pupri_SngihiRD_D (Bihar),No client instructions to Reattempt,FALSE,,22-02-22,23-02-22,20-02-22,20-02-22,20-02-22,17-02-22,22-02-22
8445110267536,RAPPIDX SURFACE,Balaji Enterprises,IWEX901289,16-02-22,16-02-22,16-02-22,COD,In Transit,Allahabad_Bajha_D (Uttar Pradesh),RT,1,1,D1,1299,1299,Allahabad,Uttar Pradesh,211015,Delhi_Airport_GW (Delhi),X-DBL1F,Allahabad_Bajha_D (Uttar Pradesh),Added to Bag,FALSE,,20-02-22,21-02-22,20-02-22,20-02-22,20-02-22,16-02-22,22-02-22
8445110268085,RAPPIDX SURFACE,Balaji Enterprises,IWEX901044,16-02-22,16-02-22,16-02-22,COD,In Transit,Latur_Kanheri_D (Maharashtra),RT,1,1,D2,1299,1299,Latur,Maharashtra,413512,Delhi_Airport_GW (Delhi),RT-108,Latur_Kanheri_D (Maharashtra),No client instructions to Reattempt,FALSE,,20-02-22,22-02-22,20-02-22,20-02-22,20-02-22,16-02-22,22-02-22
8445110268601,RAPPIDX SURFACE,Rappidx Warehouse,UWA3431025,18-02-22,18-02-22,18-02-22,COD,In Transit,Tarsikka_SaidoLehal_D (Punjab),RT,1,1,B,1299,1299,Tarsikka,Punjab,143119,Delhi_Airport_GW (Delhi),RT-108,Tarsikka_SaidoLehal_D (Punjab),No client instructions to Reattempt,FALSE,,21-02-22,21-02-22,20-02-22,20-02-22,20-02-22,18-02-22,22-02-22
8445110268332,RAPPIDX SURFACE,Balaji Enterprises,IWEX901327,17-02-22,17-02-22,17-02-22,COD,In Transit,Saharanpur_DelhiRd_D (Uttar Pradesh),RT,1,1,B,1299,1299,Saharanpur,Uttar Pradesh,247001,Delhi_Airport_GW (Delhi),X-DBL1F,Saharanpur_DelhiRd_D (Uttar Pradesh),Added to Bag,FALSE,,20-02-22,21-02-22,19-02-22,19-02-22,19-02-22,17-02-22,22-02-22
8445110267186,RAPPIDX SURFACE,Balaji Enterprises,IWEX901230,16-02-22,16-02-22,16-02-22,COD,Delivered,Husnabad_HanmakondaRd_D (Telangana),Delivered,1,1,D2,1299,1299,Husnabad,Telangana,505467,Delhi_Airport_GW (Delhi),EOD-38,Husnabad_HanmakondaRd_D (Telangana),Delivered to consignee,FALSE,20-02-22,21-02-22,22-02-22,20-02-22,20-02-22,20-02-22,16-02-22,20-02-22
8445110267024,RAPPIDX SURFACE,Vindhya Enterprises,#4221,14-02-22,14-02-22,14-02-22,COD,In Transit,Satara_DC (Maharashtra),RT,3,3,D2,999,999,Satara,Maharashtra,415518,Delhi_Airport_GW (Delhi),X-DLL2F,Satara_DC (Maharashtra),Bag Added To Trip,FALSE,,19-02-22,19-02-22,18-02-22,19-02-22,21-02-22,14-02-22,22-02-22
8445110267540,RAPPIDX SURFACE,Balaji Enterprises,IWEX901284,16-02-22,16-02-22,16-02-22,COD,In Transit,Vansda_Chikatiya_D (Gujarat),RT,1,1,D1,1299,1299,Vansda,Gujarat,394248,Delhi_Airport_GW (Delhi),RT-108,Vansda_Chikatiya_D (Gujarat),No client instructions to Reattempt,FALSE,,20-02-22,21-02-22,19-02-22,19-02-22,19-02-22,16-02-22,22-02-22
8445110268004,RAPPIDX SURFACE,Balaji Enterprises,IWEX901076,16-02-22,16-02-22,16-02-22,COD,In Transit,Devarakonda_DindiRD_D (Telangana),RT,1,1,D2,1299,1299,Devarakonda,Telangana,508248,Delhi_Airport_GW (Delhi),RT-108,Devarakonda_DindiRD_D (Telangana),No client instructions to Reattempt,FALSE,,21-02-22,22-02-22,20-02-22,20-02-22,20-02-22,16-02-22,22-02-22
8445110268796,RAPPIDX SURFACE,Balaji Enterprises,IWEX901549,18-02-22,19-02-22,19-02-22,COD,In Transit,Chodavaram_DurgaTemple_D (Andhra Pradesh),Undelivered,0,,D2,1299,1299,Chodavaram,Andhra Pradesh,531023,Delhi_Airport_GW (Delhi),X-DBL1F,Visakhapatnam_AutoNgr_H (Andhra Pradesh),Added to Bag,FALSE,,24-02-22,25-02-22,,,,18-02-22,22-02-22
8445110268623,RAPPIDX SURFACE,Rappidx Warehouse,UWA3431023,18-02-22,18-02-22,18-02-22,COD,Pending,Sattnpalle_Revenue_D (Andhra Pradesh),Undelivered,1,1,D2,1299,1299,Sattenapalle,Andhra Pradesh,522410,Delhi_Airport_GW (Delhi),EOD-69,Sattnpalle_Revenue_D (Andhra Pradesh),Customer asked for open delivery,FALSE,,23-02-22,23-02-22,22-02-22,22-02-22,22-02-22,18-02-22,22-02-22
8445110268936,RAPPIDX SURFACE,Balaji Enterprises,IWEX901455,18-02-22,19-02-22,19-02-22,COD,In Transit,Koruprolu_Thimmapuram_D (Andhra Pradesh),Undelivered,0,,D2,1299,1299,Koruprolu,Andhra Pradesh,531082,Delhi_Airport_GW (Delhi),X-IBD3F,Visakhapatnam_AutoNgr_H (Andhra Pradesh),Shipment Received at Facility,FALSE,,25-02-22,26-02-22,,,,18-02-22,22-02-22
8445110267595,RAPPIDX SURFACE,Balaji Enterprises,IWEX901270,16-02-22,16-02-22,16-02-22,COD,Dispatched,Bangalore_MarthalliNew_D (Karnataka),Undelivered,3,2,C2,1299,1299,Bangalore,Karnataka,560037,Delhi_Airport_GW (Delhi),X-DDD3FD,Bangalore_MarthalliNew_D (Karnataka),Out for delivery,FALSE,21-02-22,23-02-22,24-02-22,20-02-22,20-02-22,22-02-22,16-02-22,22-02-22
8445110269080,RAPPIDX SURFACE,Balaji Enterprises,IWEX901708,19-02-22,21-02-22,21-02-22,COD,In Transit,NarsapurTS_MarketRd_D (Telangana),Undelivered,0,,D2,1299,1299,Narsapur-TS,Telangana,502313,Delhi_Airport_GW (Delhi),X-ILL1F,Gurgaon_Tauru_GW (Haryana),Bag Received at Facility,FALSE,,24-02-22,24-02-22,,,,19-02-22,22-02-22
8445110266663,RAPPIDX SURFACE,Vindhya Enterprises,#4193,10-02-22,10-02-22,10-02-22,COD,Pending,Berla_CommunityCntr_DPP (Chhattisgarh),RT,1,1,D1,999,999,Berla,Chhattisgarh,491331,Delhi_Airport_GW (Delhi),X-DBL1F,Faridabad_Sector27_R (Haryana),Added to Bag,FALSE,,15-02-22,15-02-22,14-02-22,14-02-22,14-02-22,10-02-22,22-02-22
8445110269006,RAPPIDX SURFACE,Balaji Enterprises,IWEX901746,19-02-22,21-02-22,21-02-22,COD,In Transit,Jhunir_BhaRDDPP_D (Punjab),Undelivered,0,,B,1299,1299,Jhunir,Punjab,151506,Delhi_Airport_GW (Delhi),X-DBL1F,Gurgaon_Tauru_GW (Haryana),Added to Bag,FALSE,,24-02-22,24-02-22,,,,19-02-22,22-02-22
8445110267820,RAPPIDX SURFACE,Balaji Enterprises,IWEX901148,16-02-22,16-02-22,16-02-22,COD,In Transit,Satara_VithaiEnter_D (Maharashtra),RT,1,1,D2,1299,1299,Satara,Maharashtra,415002,Delhi_Airport_GW (Delhi),X-DLL2F,Satara_VithaiEnter_D (Maharashtra),Bag Added To Trip,TRUE,,22-02-22,23-02-22,20-02-22,20-02-22,20-02-22,16-02-22,22-02-22
