Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110125786,RAPPIDX SURFACE,Renu Enterprises,RPDX0017983,24/09/2021,24/09/2021,24/09/2021,COD,In Transit,Ongole_Satynryana_D (Andhra Pradesh),RT,1,1,D2,1689,1689,Ongole,Andhra Pradesh,523001,Chandigarh_Raiprkln_C (Chandigarh),X-DLL2F,Bangalore_Soukyaroad_GW (Karnataka),Bag Added To Trip,FALSE,,29/09/2021,29/09/2021,29/09/2021,29/09/2021,29/09/2021,24/09/2021,04/10/2021
8445110111370,RAPPIDX SURFACE,Renu Enterprises,RPDX0015227,21/09/2021,21/09/2021,21/09/2021,COD,In Transit,Mahuva_Aambavadi_DPP (Gujarat),RT,3,3,D2,1698,1698,Mahuva,Gujarat,364290,Chandigarh_Raiprkln_C (Chandigarh),X-ILL1F,Chandigarh_Rajpura_GW (Punjab),Bag Received at Facility,TRUE,,25/09/2021,25/09/2021,24/09/2021,25/09/2021,27/09/2021,21/09/2021,04/10/2021
8445110116756,RAPPIDX SURFACE,Ignis Traders 2,RPDX0016041,22/09/2021,22/09/2021,22/09/2021,COD,In Transit,Kolar_Jayanagara_D (Karnataka),RT,1,1,D2,1399,1399,Kolar,Karnataka,563101,Delhi_Airport_GW (Delhi),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,FALSE,,27/09/2021,28/09/2021,27/09/2021,27/09/2021,27/09/2021,22/09/2021,04/10/2021
8445110126195,RAPPIDX SURFACE,Renu Enterprises,RPDX0018049,24/09/2021,24/09/2021,24/09/2021,COD,In Transit,Yellamanchili_MannaChrch_DPP (Andhra Pradesh),RT,1,1,D2,1638,1638,Yellamanchili,Andhra Pradesh,531055,Chandigarh_Raiprkln_C (Chandigarh),RT-108,Yellamanchili_MannaChrch_DPP (Andhra Pradesh),No client instructions to Reattempt,FALSE,,29/09/2021,29/09/2021,28/09/2021,30/09/2021,30/09/2021,24/09/2021,02/10/2021
8445110132274,RAPPIDX SURFACE,Ignis Traders 2,RPDX0019528,27/09/2021,27/09/2021,27/09/2021,COD,Pending,Dharmavram_SaiNgr_D (Andhra Pradesh),Undelivered,2,2,D2,1399,1399,Dharmavaram,Andhra Pradesh,515101,Delhi_Airport_GW (Delhi),DLYRG-132,Dharmavram_SaiNgr_D (Andhra Pradesh),"Delay due to Infra issues (IT, Power, HQ, Dock)",FALSE,,04/10/2021,05/10/2021,01/10/2021,01/10/2021,03/10/2021,27/09/2021,03/10/2021
8445110125285,RAPPIDX SURFACE,Ignis Traders 2,RPDX0017886,24/09/2021,24/09/2021,24/09/2021,COD,In Transit,Bangalore_JPNgr_D (Karnataka),RT,1,1,C2,1399,1399,Bangalore,Karnataka,560078,Delhi_Airport_GW (Delhi),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,FALSE,,29/09/2021,30/09/2021,29/09/2021,29/09/2021,29/09/2021,24/09/2021,04/10/2021
8445110121332,RAPPIDX SURFACE,VJ Enterprises,RPDX0016906,23/09/2021,23/09/2021,23/09/2021,COD,Pending,Lucknow_JankiPuram_D (Uttar Pradesh),RT,2,2,D1,1399,1399,Lucknow,Uttar Pradesh,225302,Delhi_Airport_GW (Delhi),X-DBL1F,Delhi_UdhyogNgr_R (Delhi),Added to Bag,FALSE,,26/09/2021,27/09/2021,26/09/2021,26/09/2021,28/09/2021,23/09/2021,03/10/2021
8445110145611,RAPPIDX SURFACE,Ignis Traders 2,RPDX0021462,28/09/2021,29/09/2021,29/09/2021,COD,Pending,Kallikkad_Mutyvila_D (Kerala),Undelivered,0,,D2,1399,1399,Kallikkad,Kerala,695572,Delhi_Airport_GW (Delhi),X-IBD3F,Kallikkad_Mutyvila_D (Kerala),Shipment Received at Facility,TRUE,,04/10/2021,05/10/2021,04/10/2021,,,28/09/2021,04/10/2021
8445110140862,RAPPIDX SURFACE,Renu Enterprises,RPDX0020777,28/09/2021,29/09/2021,29/09/2021,COD,In Transit,Nandyal_SaleemNgr_D (Andhra Pradesh),Undelivered,0,,D2,1698,1698,Nandyal,Andhra Pradesh,518112,Chandigarh_Raiprkln_C (Chandigarh),X-ILL1F,Nandyal_SaleemNgr_D (Andhra Pradesh),Bag Received at Facility,FALSE,,05/10/2021,05/10/2021,,,,28/09/2021,04/10/2021
8445110043046,RAPPIDX SURFACE,Ignis Traders,RPDX006718,08/09/2021,08/09/2021,08/09/2021,COD,Pending,CCU_Taratala (West Bengal),RT,3,2,C2,649,649,Kolkata,West Bengal,700023,Delhi_Airport_GW (Delhi),X-DBL1F,Delhi_UdhyogNgr_R (Delhi),Added to Bag,FALSE,,12/09/2021,22/09/2021,12/09/2021,17/09/2021,24/09/2021,08/09/2021,02/10/2021
8445110106901,RAPPIDX SURFACE,VJ Enterprises,RPDX0014468,18/09/2021,18/09/2021,18/09/2021,COD,In Transit,Srinivaspur_KolarRD_D (Karnataka),RT,3,3,D2,1399,1399,Srinivaspur,Karnataka,563138,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,25/09/2021,27/09/2021,25/09/2021,25/09/2021,28/09/2021,18/09/2021,04/10/2021
8445110140615,RAPPIDX SURFACE,Renu Enterprises,RPDX0020752,28/09/2021,29/09/2021,29/09/2021,COD,In Transit,Bengaluru_Bommanahalli_DC (Karnataka),Undelivered,0,,D2,1698,1698,Bangalore,Karnataka,560068,Chandigarh_Raiprkln_C (Chandigarh),X-DLL2F,Bangalore_Soukyaroad_I (Karnataka),Bag Added To Trip,FALSE,,05/10/2021,05/10/2021,,,,28/09/2021,04/10/2021
8445110140700,RAPPIDX SURFACE,Renu Enterprises,RPDX0020761,28/09/2021,29/09/2021,29/09/2021,COD,In Transit,Irinjlkuda_Pothstherry_D (Kerala),Undelivered,0,,D2,1698,1698,Irinjalakuda,Kerala,680681,Chandigarh_Raiprkln_C (Chandigarh),X-ILL1F,Irinjlkuda_Pothstherry_D (Kerala),Bag Received at Facility,FALSE,,07/10/2021,07/10/2021,,,,28/09/2021,04/10/2021
8445110059743,RAPPIDX SURFACE,Ignis Traders,RPDX009036,12/09/2021,13/09/2021,13/09/2021,COD,Pending,Haripad_Sivakripa_D (Kerala),RT,3,4,D2,649,649,Haripad,Kerala,690531,Delhi_Airport_GW (Delhi),X-DBL1F,Delhi_UdhyogNgr_R (Delhi),Added to Bag,FALSE,,19/09/2021,19/09/2021,22/09/2021,22/09/2021,24/09/2021,12/09/2021,03/10/2021
8445110118285,RAPPIDX SURFACE,Ignis Traders 2,RPDX0016194,22/09/2021,22/09/2021,22/09/2021,COD,Pending,Gwalior_Bahodapur_D (Madhya Pradesh),RT,2,2,B,1399,1399,Gwalior,Madhya Pradesh,474008,Delhi_Airport_GW (Delhi),X-DBL1F,Delhi_UdhyogNgr_R (Delhi),Added to Bag,FALSE,,25/09/2021,27/09/2021,26/09/2021,26/09/2021,28/09/2021,22/09/2021,03/10/2021
8445110132322,RAPPIDX SURFACE,Ignis Traders 2,RPDX0019533,27/09/2021,27/09/2021,27/09/2021,COD,Pending,Bengaluru_Domlur_D (Karnataka),Undelivered,1,1,C2,1399,1399,Bangalore,Karnataka,560017,Delhi_Airport_GW (Delhi),EOD-11,Bengaluru_Domlur_D (Karnataka),Consignee Unavailable,FALSE,,01/10/2021,04/10/2021,01/10/2021,03/10/2021,03/10/2021,27/09/2021,03/10/2021
8445110131902,RAPPIDX SURFACE,Ignis Traders 2,RPDX0019491,27/09/2021,27/09/2021,27/09/2021,COD,Pending,Ambala_Barara_D (Haryana),RT,1,2,B,1399,1399,Ambala,Haryana,133207,Delhi_Airport_GW (Delhi),X-DBL1F,Delhi_UdhyogNgr_R (Delhi),Added to Bag,FALSE,,29/09/2021,30/09/2021,29/09/2021,29/09/2021,29/09/2021,27/09/2021,02/10/2021
8445110132941,RAPPIDX SURFACE,Ignis Traders 2,RPDX0019595,27/09/2021,27/09/2021,27/09/2021,COD,In Transit,Kanpur_AshokNagar_D (Uttar Pradesh),RT,1,1,B,1399,1399,Kanpur,Uttar Pradesh,208001,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,29/09/2021,30/09/2021,29/09/2021,29/09/2021,29/09/2021,27/09/2021,04/10/2021
8445110086601,RAPPIDX SURFACE,Ignis Traders,RPDX0011920,14/09/2021,14/09/2021,14/09/2021,COD,Pending,Attingal_Central_D_2 (Kerala),RT,3,3,D2,649,649,Attingal,Kerala,695316,Delhi_Airport_GW (Delhi),X-DBL1F,Delhi_UdhyogNgr_R (Delhi),Added to Bag,FALSE,,20/09/2021,21/09/2021,19/09/2021,19/09/2021,24/09/2021,14/09/2021,02/10/2021
8445110149516,RAPPIDX SURFACE,Ignis Traders 2,RPDX0022307,29/09/2021,29/09/2021,29/09/2021,COD,In Transit,Sitarganj_SidculRd_D (Uttarakhand),RT,1,1,B,1399,1399,Sitarganj,Uttarakhand,263151,Delhi_Airport_GW (Delhi),X-DLL2F,Sitarganj_SidculRd_D (Uttarakhand),Bag Added To Trip,TRUE,,01/10/2021,04/10/2021,01/10/2021,01/10/2021,01/10/2021,29/09/2021,04/10/2021
8445110140512,RAPPIDX SURFACE,Renu Enterprises,RPDX0020713,28/09/2021,29/09/2021,29/09/2021,COD,In Transit,Bidar_AdarshClny_D (Karnataka),Undelivered,0,,D2,1698,1698,Bidar,Karnataka,585226,Chandigarh_Raiprkln_C (Chandigarh),X-DBL1F,Gulbarga_Nehrugnj_I (Karnataka),Added to Bag,FALSE,,05/10/2021,05/10/2021,,,,28/09/2021,04/10/2021
8445110140733,RAPPIDX SURFACE,Renu Enterprises,RPDX0020764,28/09/2021,29/09/2021,29/09/2021,COD,In Transit,Shimoga_Central_D_2 (Karnataka),Undelivered,0,,D2,1698,1698,Shimoga,Karnataka,577201,Chandigarh_Raiprkln_C (Chandigarh),DLYLH-105,Gurgaon_Tauru_GW (Haryana),Vehicle delayed,FALSE,,07/10/2021,07/10/2021,,,,28/09/2021,04/10/2021
8445110124445,RAPPIDX SURFACE,Ignis Traders 2,RPDX0017802,24/09/2021,24/09/2021,24/09/2021,COD,Delivered,Jamugiri_Bebejia_DPP (Assam),Delivered,1,1,E,1399,1399,Jamugiri,Assam,782142,Delhi_Airport_GW (Delhi),EOD-38,Jamugiri_Bebejia_DPP (Assam),Delivered to consignee,FALSE,01/10/2021,01/10/2021,04/10/2021,01/10/2021,01/10/2021,01/10/2021,24/09/2021,01/10/2021
8445110119173,RAPPIDX SURFACE,Renu Enterprises,RPDX0016326,23/09/2021,23/09/2021,23/09/2021,COD,In Transit,Bangalore_MarthalliNew_D (Karnataka),RT,2,3,D2,1698,1698,Bangalore,Karnataka,560078,Chandigarh_Raiprkln_C (Chandigarh),X-DLL2F,Bangalore_Soukyaroad_GW (Karnataka),Bag Added To Trip,FALSE,,28/09/2021,28/09/2021,27/09/2021,27/09/2021,29/09/2021,23/09/2021,03/10/2021
8445110113610,RAPPIDX SURFACE,Renu Enterprises,RPDX0015713,22/09/2021,23/09/2021,23/09/2021,COD,In Transit,Rajkot_Kothriya_DC (Gujarat),RT,1,1,D1,1698,1698,Rajkot,Gujarat,360004,Chandigarh_Raiprkln_C (Chandigarh),X-DLL2F,Ahmedabad_AslaliRoad_GW (Gujarat),Bag Added To Trip,TRUE,,28/09/2021,29/09/2021,26/09/2021,28/09/2021,28/09/2021,22/09/2021,03/10/2021
8445110113643,RAPPIDX SURFACE,Renu Enterprises,RPDX0015716,22/09/2021,23/09/2021,23/09/2021,COD,In Transit,Duburi_KalingaNgr_DPP (Orissa),RT,1,1,D2,1698,1698,Duburi,Orissa,755026,Chandigarh_Raiprkln_C (Chandigarh),X-DLL2F,Kolkata_Dankuni_GW (West Bengal),Bag Added To Trip,FALSE,,28/09/2021,28/09/2021,28/09/2021,28/09/2021,28/09/2021,22/09/2021,02/10/2021
8445110132193,RAPPIDX SURFACE,Ignis Traders 2,RPDX0019520,27/09/2021,27/09/2021,27/09/2021,COD,Delivered,Bellary_Dc (Karnataka),Delivered,1,1,D2,1399,1399,Bellary,Karnataka,583102,Delhi_Airport_GW (Delhi),EOD-38,Bellary_Dc (Karnataka),Delivered to consignee,FALSE,01/10/2021,01/10/2021,04/10/2021,01/10/2021,01/10/2021,01/10/2021,27/09/2021,01/10/2021
