Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110095642,RAPPIDX SURFACE,Renu Enterprises,RPDX0012821,14/09/2021,14/09/2021,14/09/2021,COD,Pending,Nenmara_Pothundi_DPP (Kerala),Undelivered,2,2,D2,1698,1698,Nenmara,Kerala,678508,Chandigarh_Raiprkln_C (Chandigarh),ST-107,Nenmara_Pothundi_DPP (Kerala),Reattempt as per Client's instruction,FALSE,21/09/2021,22/09/2021,22/09/2021,19/09/2021,21/09/2021,24/09/2021,14/09/2021,28/09/2021
8445110111930,RAPPIDX SURFACE,Renu Enterprises,RPDX0015283,21/09/2021,21/09/2021,21/09/2021,COD,Pending,Vijayawada_Patamata_D (Andhra Pradesh),Undelivered,1,1,D2,1698,1698,Vijayawada,Andhra Pradesh,521139,Chandigarh_Raiprkln_C (Chandigarh),ST-107,Vijayawada_Patamata_D (Andhra Pradesh),Reattempt as per Client's instruction,TRUE,,27/09/2021,27/09/2021,25/09/2021,25/09/2021,25/09/2021,21/09/2021,28/09/2021
8445110109874,RAPPIDX SURFACE,Renu Enterprises,RPDX0015020,20/09/2021,20/09/2021,20/09/2021,COD,Pending,Fatepur_NH117_D (West Bengal),Undelivered,1,1,D2,1638,1638,Fatepur,West Bengal,743377,Chandigarh_Raiprkln_C (Chandigarh),ST-107,Fatepur_NH117_D (West Bengal),Reattempt as per Client's instruction,FALSE,,25/09/2021,25/09/2021,25/09/2021,25/09/2021,25/09/2021,20/09/2021,28/09/2021
8445110113411,RAPPIDX SURFACE,Renu Enterprises,RPDX0015689,22/09/2021,22/09/2021,22/09/2021,COD,Delivered,Vadodara_Tandalja_D (Gujarat),Delivered,2,2,D1,748,748,Vadodara,Gujarat,390021,Chandigarh_Raiprkln_C (Chandigarh),EOD-38,Vadodara_Tandalja_D (Gujarat),Delivered to consignee,FALSE,27/09/2021,26/09/2021,26/09/2021,26/09/2021,26/09/2021,27/09/2021,22/09/2021,27/09/2021
8445110047854,RAPPIDX SURFACE,Ignis Traders,RPDX007199,08/09/2021,08/09/2021,08/09/2021,COD,LOST,Mirganj_Lalmrkt_D (Bihar),Lost,1,1,D1,649,649,Mirganj,Bihar,841438,Delhi_Airport_GW (Delhi),LT-100,Gurgaon_Tauru_RP (Haryana),Shipment LOST,FALSE,,13/09/2021,13/09/2021,12/09/2021,12/09/2021,12/09/2021,08/09/2021,27/09/2021
8445110110865,RAPPIDX SURFACE,Renu Enterprises,RPDX0015125,20/09/2021,20/09/2021,20/09/2021,COD,Pending,Aurangabad_Pratpngr_D (Maharashtra),Undelivered,1,1,D2,1689,1689,Aurangabad,Maharashtra,431001,Chandigarh_Raiprkln_C (Chandigarh),U-PMA,Aurangabad_Pratpngr_D (Maharashtra),Package Confirmed Not Missing in Audit,TRUE,,25/09/2021,25/09/2021,25/09/2021,25/09/2021,25/09/2021,20/09/2021,27/09/2021
8445110130443,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0019024,27/09/2021,27/09/2021,,COD,Manifested,Buhana_Satnali_D (Rajasthan),Undelivered,0,,B,1399,1399,Buhana,Rajasthan,333034,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,27/09/2021,27/09/2021
8445110107822,RAPPIDX SURFACE,Renu Enterprises,RPDX0014725,18/09/2021,18/09/2021,18/09/2021,COD,In Transit,Kolkata_Barendrapara_D (West Bengal),RT,1,1,D2,1698,1698,Kolkata,West Bengal,700154,Chandigarh_Raiprkln_C (Chandigarh),X-ILL1F,Kolkata_Dankuni_I (West Bengal),Bag Received at Facility,FALSE,,23/09/2021,23/09/2021,23/09/2021,23/09/2021,23/09/2021,18/09/2021,27/09/2021
8445110130804,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0019313,27/09/2021,27/09/2021,,COD,Manifested,Bhadaur_BChwkDPP_D (Punjab),Undelivered,0,,B,1399,1399,Bhadaur,Punjab,142039,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,TRUE,,,,,,,27/09/2021,27/09/2021
8445110130583,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0019162,27/09/2021,27/09/2021,,COD,Manifested,Goa_PondaCurti_D (Goa),Undelivered,0,,D2,1399,1399,Goa,Goa,403410,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,27/09/2021,27/09/2021
8445110140081,RAPPIDX SURFACE,VJ Enterprises,RPDX0020562,28/09/2021,28/09/2021,28/09/2021,COD,In Transit,Jogipet_Andole_D (Telangana),Undelivered,0,,D2,1399,1399,Jogipet,Telangana,502314,Delhi_Airport_GW (Delhi),X-DLL2F,Delhi_Airport_GW (Delhi),Bag Added To Trip,FALSE,,06/10/2021,07/10/2021,,,,28/09/2021,29/09/2021
8445110129975,RAPPIDX SURFACE,Renu Enterprises,RPDX0018727,25/09/2021,25/09/2021,25/09/2021,COD,Delivered,Kotdwara_Central_D_2 (Uttarakhand),Delivered,1,1,B,1689,1689,Kotdwara,Uttarakhand,246149,Chandigarh_Raiprkln_C (Chandigarh),EOD-38,Kotdwara_Central_D_2 (Uttarakhand),Delivered to consignee,TRUE,28/09/2021,30/09/2021,30/09/2021,28/09/2021,28/09/2021,28/09/2021,25/09/2021,28/09/2021
8445110151093,RAPPIDX SURFACE,Ignis Traders 2,RPDX0022465,29/09/2021,29/09/2021,29/09/2021,COD,In Transit,Khutar_MailaniRd_D (Uttar Pradesh),Undelivered,0,,B,1399,1399,Khutar,Uttar Pradesh,242401,Delhi_Airport_GW (Delhi),DOFF-128,Gurgaon_Tauru_GW (Haryana),Transit Delay,FALSE,,04/10/2021,05/10/2021,,,,29/09/2021,30/09/2021
8445110131843,RAPPIDX SURFACE,Ignis Traders 2,RPDX0019485,27/09/2021,27/09/2021,27/09/2021,COD,In Transit,Cuttack_KhanNgr_D (Orissa),Undelivered,0,,D2,1399,1399,Cuttack,Orissa,753009,Delhi_Airport_GW (Delhi),X-ILL1F,Cuttack_KhanNgr_D (Orissa),Bag Received at Facility,FALSE,,30/09/2021,01/10/2021,,,,27/09/2021,30/09/2021
8445110145504,RAPPIDX SURFACE,Ignis Traders 2,RPDX0021451,28/09/2021,29/09/2021,29/09/2021,COD,In Transit,PaliaKalan_Bhanpuri_D (Uttar Pradesh),Undelivered,0,,B,1399,1399,Bailaha,Uttar Pradesh,262902,Delhi_Airport_GW (Delhi),DOFF-128,Gurgaon_Tauru_GW (Haryana),Transit Delay,TRUE,,04/10/2021,05/10/2021,,,,28/09/2021,30/09/2021
8445110125565,RAPPIDX SURFACE,Renu Enterprises,RPDX0017961,24/09/2021,24/09/2021,24/09/2021,COD,Delivered,Ahmedabad_MayroseTower_D (Gujarat),Delivered,1,1,D1,1398,1398,Ahmedabad,Gujarat,380006,Chandigarh_Raiprkln_C (Chandigarh),EOD-38,Ahmedabad_MayroseTower_D (Gujarat),Delivered to consignee,TRUE,27/09/2021,28/09/2021,28/09/2021,27/09/2021,27/09/2021,27/09/2021,24/09/2021,27/09/2021
8445110123373,RAPPIDX SURFACE,Ignis Traders 2,RPDX0017695,24/09/2021,24/09/2021,24/09/2021,COD,Pending,NarsapurTS_MarketRd_D (Telangana),Undelivered,1,1,D2,1399,1399,Narsapur-TS,Telangana,502313,Delhi_Airport_GW (Delhi),EOD-3,NarsapurTS_MarketRd_D (Telangana),Delivery date rescheduled,TRUE,,30/09/2021,01/10/2021,27/09/2021,27/09/2021,27/09/2021,24/09/2021,27/09/2021
8445110106050,RAPPIDX SURFACE,Ignis Traders 2,RPDX0014372,18/09/2021,18/09/2021,18/09/2021,COD,In Transit,Bharuch_GIDC_D (Gujarat),RT,4,3,D1,1399,1399,Bharuch,Gujarat,392012,Delhi_Airport_GW (Delhi),X-ILL1F,Surat_Kacholi_GW (Gujarat),Bag Received at Facility,FALSE,,23/09/2021,24/09/2021,21/09/2021,21/09/2021,24/09/2021,18/09/2021,27/09/2021
8445110074012,RAPPIDX SURFACE,Ignis Traders,RPDX0010463,12/09/2021,13/09/2021,13/09/2021,COD,Pending,Medchal_Honda_DPP (Telangana),Undelivered,0,,C2,649,649,Hyderabad,Telangana,500043,Delhi_Airport_GW (Delhi),U-PMA,Medchal_Honda_DPP (Telangana),Package Confirmed Not Missing in Audit,FALSE,,17/09/2021,17/09/2021,16/09/2021,,,12/09/2021,27/09/2021
8445110131633,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0019464,27/09/2021,27/09/2021,,COD,Manifested,Faridpur_RanaClny_D (Uttar Pradesh),Undelivered,0,,B,1399,1399,Faridpur,Uttar Pradesh,243503,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,27/09/2021,27/09/2021
