Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110020263,RAPPIDX SURFACE,VJ Enterprises,RPDX005503,08/09/2021,08/09/2021,08/09/2021,COD,RTO,MohiuddinNagar_Manjha_D (Bihar),Delivered,2,2,D1,1699,1699,Mohiuddin Nagar,Bihar,848501,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,20/09/2021,13/09/2021,13/09/2021,11/09/2021,11/09/2021,20/09/2021,08/09/2021,20/09/2021
8445110054423,RAPPIDX SURFACE,Ignis Traders,RPDX008504,12/09/2021,13/09/2021,13/09/2021,COD,RTO,Mumbai_DaulatNgr_D (Maharashtra),Delivered,2,2,C2,649,649,Mumbai,Maharashtra,400101,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,27/09/2021,18/09/2021,18/09/2021,17/09/2021,17/09/2021,27/09/2021,12/09/2021,27/09/2021
8445110040806,RAPPIDX SURFACE,Ignis Traders,RPDX006494,08/09/2021,08/09/2021,08/09/2021,COD,RTO,Thanabhawan_FlourMill_DPP (Uttar Pradesh),Delivered,1,1,B,649,649,Thanabhawan,Uttar Pradesh,251305,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,16/09/2021,11/09/2021,11/09/2021,10/09/2021,10/09/2021,16/09/2021,08/09/2021,16/09/2021
8445110080695,RAPPIDX SURFACE,Ignis Traders,RPDX0011329,14/09/2021,14/09/2021,14/09/2021,COD,RTO,Bhaderwah_Dandi_D (Jammu & Kashmir),Delivered,3,3,E,649,649,Bhaderwah,Jammu & Kashmir,182222,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,25/09/2021,18/09/2021,20/09/2021,18/09/2021,19/09/2021,25/09/2021,14/09/2021,25/09/2021
8445110124353,RAPPIDX SURFACE,Ignis Traders 2,RPDX0017793,24/09/2021,24/09/2021,24/09/2021,COD,Delivered,PaliaKalan_Bhanpuri_D (Uttar Pradesh),Delivered,1,1,B,1399,1399,Bailaha,Uttar Pradesh,262902,Delhi_Airport_GW (Delhi),EOD-135,PaliaKalan_Bhanpuri_D (Uttar Pradesh),Delivered to consignee - OTP Verified delivery,FALSE,27/09/2021,29/09/2021,30/09/2021,27/09/2021,27/09/2021,27/09/2021,24/09/2021,27/09/2021
8445110060480,RAPPIDX SURFACE,Ignis Traders,RPDX009110,12/09/2021,13/09/2021,13/09/2021,COD,RTO,Barhalganj_Lakhnapar_DPP (Uttar Pradesh),Delivered,3,3,D1,649,649,Barhalganj,Uttar Pradesh,274208,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,25/09/2021,17/09/2021,18/09/2021,16/09/2021,16/09/2021,25/09/2021,12/09/2021,25/09/2021
8445110080776,RAPPIDX SURFACE,Ignis Traders,RPDX0011337,14/09/2021,15/09/2021,15/09/2021,COD,RTO,Kaptanganj_Subshngr_D (Uttar Pradesh),Delivered,1,1,D1,649,649,Kaptanganj,Uttar Pradesh,273151,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,27/09/2021,19/09/2021,20/09/2021,18/09/2021,18/09/2021,27/09/2021,14/09/2021,27/09/2021
8445110110994,RAPPIDX SURFACE,Renu Enterprises,RPDX0015138,20/09/2021,20/09/2021,20/09/2021,COD,Delivered,Arumanai_KaliyalRd_D (Tamil Nadu),Delivered,1,1,D2,1689,1689,Marthandam,Tamil Nadu,629152,Chandigarh_Raiprkln_C (Chandigarh),EOD-38,Arumanai_KaliyalRd_D (Tamil Nadu),Delivered to consignee,FALSE,26/09/2021,26/09/2021,26/09/2021,26/09/2021,26/09/2021,26/09/2021,20/09/2021,26/09/2021
8445110040316,RAPPIDX SURFACE,Ignis Traders,RPDX006445,08/09/2021,08/09/2021,08/09/2021,COD,RTO,Jakh_Channi_D (Jammu & Kashmir),Delivered,3,3,E,649,649,Jakh,Jammu & Kashmir,181143,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,20/09/2021,11/09/2021,13/09/2021,11/09/2021,12/09/2021,20/09/2021,08/09/2021,20/09/2021
8445110105512,RAPPIDX SURFACE,Ignis Traders 2,RPDX0014290,18/09/2021,18/09/2021,18/09/2021,COD,RTO,Katodara_GldnSqr_D (Gujarat),Delivered,1,1,D1,1399,1399,Katodara,Gujarat,394315,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,27/09/2021,23/09/2021,24/09/2021,21/09/2021,21/09/2021,27/09/2021,18/09/2021,27/09/2021
8445110050525,RAPPIDX SURFACE,Renu Enterprises,RPDX007566,10/09/2021,10/09/2021,10/09/2021,COD,RTO,Bhubaneswar_ShdNgr_DC (Orissa),Delivered,4,3,D2,1599,1599,Bhubaneshwar,Orissa,751010,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,23/09/2021,17/09/2021,17/09/2021,14/09/2021,14/09/2021,23/09/2021,10/09/2021,23/09/2021
8445110092024,RAPPIDX SURFACE,Ignis Traders,RPDX0012462,14/09/2021,14/09/2021,14/09/2021,COD,RTO,RampurNaikin_Agahar_DPP (Madhya Pradesh),Delivered,1,1,D1,649,649,Rampur Naikin,Madhya Pradesh,486776,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,24/09/2021,20/09/2021,21/09/2021,18/09/2021,18/09/2021,24/09/2021,14/09/2021,24/09/2021
8445110040445,RAPPIDX SURFACE,Ignis Traders,RPDX006458,08/09/2021,08/09/2021,08/09/2021,COD,RTO,Lakhnadon_BsStnd_DPP (Madhya Pradesh),Delivered,1,1,D1,649,649,Lakhnadon,Madhya Pradesh,480888,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,18/09/2021,12/09/2021,12/09/2021,11/09/2021,11/09/2021,18/09/2021,08/09/2021,18/09/2021
