Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110048451,RAPPIDX SURFACE,Renu Enterprises,RPDX007358,09/09/2021,09/09/2021,09/09/2021,COD,RTO,Jhanjharpur_Wardno6_D (Bihar),Delivered,1,1,D1,1698,1698,Jhanjharpur,Bihar,847408,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,13/09/2021,13/09/2021,13/09/2021,13/09/2021,20/09/2021,09/09/2021,20/09/2021
8445110016951,RAPPIDX SURFACE,Renu Enterprises,RPDX005001,07/09/2021,07/09/2021,07/09/2021,COD,RTO,Nagaur_KisanCo_D (Rajasthan),Delivered,4,4,D1,1698,1698,Nagaur,Rajasthan,341001,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,11/09/2021,13/09/2021,10/09/2021,10/09/2021,20/09/2021,07/09/2021,20/09/2021
8445110014980,RAPPIDX SURFACE,Renu Enterprises,RPDX004575,06/09/2021,06/09/2021,06/09/2021,COD,RTO,Bengaluru_BTM_D (Karnataka),Delivered,1,1,D2,1698,1698,Bangalore,Karnataka,560076,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,12/09/2021,12/09/2021,11/09/2021,11/09/2021,20/09/2021,06/09/2021,20/09/2021
8445110019666,RAPPIDX SURFACE,Renu Enterprises,RPDX005281,08/09/2021,09/09/2021,09/09/2021,COD,RTO,Saharsa_NayaBzar_D (Bihar),Delivered,1,1,D1,1599,1599,Saharsa,Bihar,852201,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,14/09/2021,14/09/2021,14/09/2021,14/09/2021,20/09/2021,08/09/2021,20/09/2021
8445110018620,RAPPIDX SURFACE,Renu Enterprises,RPDX005177,08/09/2021,09/09/2021,09/09/2021,COD,RTO,Mahasamund_WardNo15_D (Chhattisgarh),Delivered,1,1,D2,1698,1698,Mahasamund,Chhattisgarh,493445,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,14/09/2021,14/09/2021,13/09/2021,13/09/2021,20/09/2021,08/09/2021,20/09/2021
8445110019250,RAPPIDX SURFACE,Renu Enterprises,RPDX005240,08/09/2021,09/09/2021,09/09/2021,COD,RTO,Dehradun_NalapaniRd_D (Uttarakhand),Delivered,2,2,B,1698,1698,Dehradun,Uttarakhand,248001,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,12/09/2021,14/09/2021,12/09/2021,14/09/2021,20/09/2021,08/09/2021,20/09/2021
8445110049464,RAPPIDX SURFACE,Renu Enterprises,RPDX007459,09/09/2021,09/09/2021,09/09/2021,COD,RTO,Channapatna_2ndCross_D (Karnataka),Delivered,1,1,D2,1698,1698,Channapatna,Karnataka,562160,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,16/09/2021,16/09/2021,13/09/2021,13/09/2021,20/09/2021,09/09/2021,20/09/2021
8445110048904,RAPPIDX SURFACE,Renu Enterprises,RPDX007403,09/09/2021,09/09/2021,09/09/2021,COD,RTO,Ramgarh_HotelPrk_D (Jharkhand),Delivered,1,2,D1,1599,1599,Ramgarh,Jharkhand,829101,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,15/09/2021,15/09/2021,13/09/2021,13/09/2021,20/09/2021,09/09/2021,20/09/2021
8445110014910,RAPPIDX SURFACE,Renu Enterprises,RPDX004568,06/09/2021,06/09/2021,06/09/2021,COD,RTO,Madukkarai_PlkdMnRd_DPP (Tamil Nadu),Delivered,1,1,D2,1698,1698,Madukkarai,Tamil Nadu,641050,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,13/09/2021,13/09/2021,11/09/2021,11/09/2021,20/09/2021,06/09/2021,20/09/2021
8445110015621,RAPPIDX SURFACE,Renu Enterprises,RPDX004639,06/09/2021,06/09/2021,06/09/2021,COD,RTO,Navipet_BasaraRd_DPP (Telangana),Delivered,1,1,D2,1698,1698,Navipet,Telangana,503212,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,13/09/2021,13/09/2021,11/09/2021,11/09/2021,20/09/2021,06/09/2021,20/09/2021
8445110014932,RAPPIDX SURFACE,Renu Enterprises,RPDX004570,06/09/2021,06/09/2021,06/09/2021,COD,RTO,Visakhapatnam_Sagarngr_D (Andhra Pradesh),Delivered,1,1,D2,1698,1698,Visakhapatnam,Andhra Pradesh,530048,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,14/09/2021,14/09/2021,12/09/2021,13/09/2021,20/09/2021,06/09/2021,20/09/2021
8445110017975,RAPPIDX SURFACE,Renu Enterprises,RPDX005103,07/09/2021,07/09/2021,07/09/2021,COD,RTO,Miryalguda_Ragvendr_D (Telangana),Delivered,1,1,D2,1649,1649,Miryalaguda,Telangana,508207,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,13/09/2021,13/09/2021,11/09/2021,11/09/2021,20/09/2021,07/09/2021,20/09/2021
8445110048860,RAPPIDX SURFACE,Renu Enterprises,RPDX007399,09/09/2021,09/09/2021,09/09/2021,COD,RTO,Begusarai_Mlgodown_D (Bihar),Delivered,1,1,D1,1599,1599,Begusarai,Bihar,851131,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,14/09/2021,14/09/2021,14/09/2021,14/09/2021,20/09/2021,09/09/2021,20/09/2021
8445110016586,RAPPIDX SURFACE,Renu Enterprises,RPDX004964,07/09/2021,07/09/2021,07/09/2021,COD,RTO,Gorakhpur_Budhvihr_D (Uttar Pradesh),Delivered,2,2,D1,1698,1698,Gorakhpur,Uttar Pradesh,273001,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,TRUE,20/09/2021,12/09/2021,14/09/2021,10/09/2021,10/09/2021,20/09/2021,07/09/2021,20/09/2021
8445110015046,RAPPIDX SURFACE,Renu Enterprises,RPDX004581,06/09/2021,06/09/2021,06/09/2021,COD,RTO,Ongole_Satynryana_D (Andhra Pradesh),Delivered,1,1,D2,1698,1698,Ongole,Andhra Pradesh,523002,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,14/09/2021,14/09/2021,12/09/2021,12/09/2021,20/09/2021,06/09/2021,20/09/2021
8445110052603,RAPPIDX SURFACE,Renu Enterprises,RPDX008012,11/09/2021,11/09/2021,11/09/2021,COD,RTO,Jawali_BhaneiLubh_DPP (Himachal Pradesh),Delivered,3,3,E,1698,1698,Jawali,Himachal Pradesh,176023,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,20/09/2021,13/09/2021,13/09/2021,13/09/2021,13/09/2021,20/09/2021,11/09/2021,20/09/2021
8445110049346,RAPPIDX SURFACE,Renu Enterprises,RPDX007447,09/09/2021,09/09/2021,09/09/2021,COD,RTO,Birpara_BirparaClg_DPP (West Bengal),Delivered,1,1,D2,1698,1698,Birpara,West Bengal,735204,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,TRUE,20/09/2021,15/09/2021,15/09/2021,13/09/2021,13/09/2021,20/09/2021,09/09/2021,20/09/2021
