Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110172126,RAPPIDX SURFACE,Vishal Traders,RPDX0027408,12/10/2021,12/10/2021,13/10/2021,COD,In Transit,Kasganj_BnkrGate_D (Uttar Pradesh),Undelivered,0,,B,1399,1399,Kasganj,Uttar Pradesh,207245,Delhi_Airport_GW (Delhi),X-PPOM,Delhi_Airport_GW (Delhi),Shipment picked up,FALSE,,16/10/2021,16/10/2021,,,,12/10/2021,13/10/2021
8445110171953,RAPPIDX SURFACE,Vishal Traders,RPDX0027391,12/10/2021,12/10/2021,13/10/2021,COD,In Transit,Moradabad_Menather_D (Uttar Pradesh),Undelivered,0,,B,1399,1399,Moradabad,Uttar Pradesh,244001,Delhi_Airport_GW (Delhi),X-PPOM,Delhi_Airport_GW (Delhi),Shipment picked up,FALSE,,15/10/2021,15/10/2021,,,,12/10/2021,13/10/2021
8445110171872,RAPPIDX SURFACE,Vishal Traders,RPDX0027383,12/10/2021,13/10/2021,13/10/2021,COD,In Transit,AsangiJath_NrSwamiTmple_DPP (Maharashtra),Undelivered,0,,D1,1399,1399,AsangiJath,Maharashtra,416412,Delhi_Airport_GW (Delhi),X-PIOM,Delhi_Airport_GW (Delhi),Shipment Recieved at Origin Center,FALSE,,18/10/2021,18/10/2021,,,,12/10/2021,14/10/2021
8445110172012,RAPPIDX SURFACE,Vishal Traders,RPDX0027397,12/10/2021,12/10/2021,13/10/2021,COD,In Transit,Mandvi_Ashpura_DPP (Gujarat),Undelivered,0,,D1,1399,1399,Mandvi,Gujarat,370465,Delhi_Airport_GW (Delhi),X-PPOM,Delhi_Airport_GW (Delhi),Shipment picked up,FALSE,,19/10/2021,19/10/2021,,,,12/10/2021,13/10/2021
8445110171732,RAPPIDX SURFACE,Vishal Traders,RPDX0027369,12/10/2021,13/10/2021,13/10/2021,COD,In Transit,Jorhat_RicMilRd_D (Assam),Undelivered,0,,E,1399,1399,Jorhat,Assam,785001,Delhi_Airport_GW (Delhi),X-PIOM,Delhi_Airport_GW (Delhi),Shipment Recieved at Origin Center,TRUE,,20/10/2021,20/10/2021,,,,12/10/2021,14/10/2021
8445110172281,RAPPIDX SURFACE,Vishal Traders,RPDX0027424,12/10/2021,12/10/2021,13/10/2021,COD,In Transit,Bengaluru_Arakere_Dc (Karnataka),Undelivered,0,,D2,1399,1399,Bangalore,Karnataka,560083,Delhi_Airport_GW (Delhi),X-PPOM,Delhi_Airport_GW (Delhi),Shipment picked up,FALSE,,20/10/2021,20/10/2021,,,,12/10/2021,13/10/2021
8445110171651,RAPPIDX SURFACE,Vishal Traders,RPDX0027361,12/10/2021,13/10/2021,13/10/2021,COD,In Transit,Unnao_LokNagar_D (Uttar Pradesh),Undelivered,0,,B,1399,1399,Unnao,Uttar Pradesh,209801,Delhi_Airport_GW (Delhi),X-ILL1F,Gurgaon_Tauru_GW (Haryana),Bag Received at Facility,FALSE,,16/10/2021,16/10/2021,,,,12/10/2021,14/10/2021
8445110172362,RAPPIDX SURFACE,Vishal Traders,RPDX0027432,12/10/2021,13/10/2021,13/10/2021,COD,In Transit,Kozhikode_WestHill_D (Kerala),Undelivered,0,,D2,1399,1399,Kozhikode,Kerala,673002,Delhi_Airport_GW (Delhi),X-PIOM,Delhi_Airport_GW (Delhi),Shipment Recieved at Origin Center,FALSE,,20/10/2021,20/10/2021,,,,12/10/2021,14/10/2021
8445110172174,RAPPIDX SURFACE,Vishal Traders,RPDX0027413,12/10/2021,13/10/2021,13/10/2021,COD,In Transit,Hyderabad_Kachiguda_D (Telangana),Undelivered,0,,D2,1399,1399,Hyderabad,Telangana,500027,Delhi_Airport_GW (Delhi),X-DLL2F,Delhi_Airport_GW (Delhi),Bag Added To Trip,TRUE,,18/10/2021,18/10/2021,,,,12/10/2021,14/10/2021
8445110172200,RAPPIDX SURFACE,Vishal Traders,RPDX0027416,12/10/2021,13/10/2021,13/10/2021,COD,In Transit,Alephata_BhrtPetrol_D (Maharashtra),Undelivered,0,,D1,1399,1399,Alephata,Maharashtra,412411,Delhi_Airport_GW (Delhi),X-DLL2F,Delhi_Airport_GW (Delhi),Bag Added To Trip,FALSE,,17/10/2021,17/10/2021,,,,12/10/2021,14/10/2021
