Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110144981,RAPPIDX SURFACE,Ignis Traders 2,RPDX0021399,28/09/2021,29/09/2021,29/09/2021,COD,RTO,Nanded_HarshNager_D (Maharashtra),Delivered,4,4,D1,1399,1399,Nanded,Maharashtra,431604,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,16/10/2021,03/10/2021,05/10/2021,03/10/2021,03/10/2021,16/10/2021,28/09/2021,16/10/2021
8445110104882,RAPPIDX SURFACE,Ignis Traders 2,RPDX0014230,18/09/2021,18/09/2021,18/09/2021,COD,RTO,Aurangabad_Pratpngr_D (Maharashtra),Delivered,1,1,D1,1399,1399,Aurangabad,Maharashtra,431154,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,16/10/2021,24/09/2021,25/09/2021,22/09/2021,08/10/2021,16/10/2021,18/09/2021,16/10/2021
8445110105431,RAPPIDX SURFACE,Ignis Traders 2,RPDX0014284,18/09/2021,18/09/2021,18/09/2021,COD,RTO,Ranaghat_Chakdaha_DPP (West Bengal),Delivered,1,1,D2,1399,1399,Ranaghat,West Bengal,741222,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,16/10/2021,23/09/2021,27/09/2021,22/09/2021,22/09/2021,16/10/2021,18/09/2021,16/10/2021
8445110169050,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0027101,11/10/2021,13/10/2021,13/10/2021,COD,In Transit,Satlasana_Hndutmpl_DPP (Gujarat),RT,1,1,D1,1399,1399,Satlasana,Gujarat,384340,Delhi_Airport_GW (Delhi),X-DLL2F,Ahmedabad_AslaliRoad_GW (Gujarat),Bag Added To Trip,FALSE,,18/10/2021,18/10/2021,17/10/2021,18/10/2021,18/10/2021,11/10/2021,24/10/2021
8445110181985,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028462,13/10/2021,16/10/2021,16/10/2021,COD,Pending,Vizianagaram_NatrajClny_D (Andhra Pradesh),Undelivered,0,,D2,1399,1399,Vizianagaram,Andhra Pradesh,535002,Delhi_Airport_GW (Delhi),DLYRG-132,Vizianagaram_NatrajClny_D (Andhra Pradesh),"Delay due to Infra issues (IT, Power, HQ, Dock)",FALSE,,22/10/2021,22/10/2021,23/10/2021,,,13/10/2021,25/10/2021
8445110180305,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028247,13/10/2021,15/10/2021,15/10/2021,COD,In Transit,Bodhan_VamshiSchl_D (Telangana),RT,3,3,D2,1399,1399,Bodhan,Telangana,503185,Delhi_Airport_GW (Delhi),X-DLL2F,Bodhan_VamshiSchl_D (Telangana),Bag Added To Trip,FALSE,,20/10/2021,20/10/2021,19/10/2021,19/10/2021,22/10/2021,13/10/2021,26/10/2021
8445110179141,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028139,13/10/2021,15/10/2021,15/10/2021,COD,In Transit,Cochin_Thoppumpdy_D (Kerala),RT,3,3,D2,1399,1399,Cochin,Kerala,682011,Delhi_Airport_GW (Delhi),X-DLL2F,Aluva_Peedika_H (Kerala),Bag Added To Trip,FALSE,,21/10/2021,21/10/2021,20/10/2021,20/10/2021,22/10/2021,13/10/2021,25/10/2021
8445110181591,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028423,13/10/2021,16/10/2021,16/10/2021,COD,Pending,Muzaffrngr_MhmodNgr_D (Uttar Pradesh),RT,3,3,B,1399,1399,Muzaffarnagar,Uttar Pradesh,251307,Delhi_Airport_GW (Delhi),X-IBD3F,Gurgaon_PalamVihar_R (Haryana),Shipment Received at Facility,FALSE,,18/10/2021,19/10/2021,18/10/2021,19/10/2021,21/10/2021,13/10/2021,25/10/2021
8445110182851,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028549,13/10/2021,16/10/2021,16/10/2021,COD,Pending,Mumbai_DaulatNgr_D (Maharashtra),RT,1,1,D2,1399,1399,Mumbai,Maharashtra,400101,Delhi_Airport_GW (Delhi),X-IBD3F,Gurgaon_PalamVihar_R (Haryana),Shipment Received at Facility,FALSE,,22/10/2021,22/10/2021,19/10/2021,20/10/2021,20/10/2021,13/10/2021,25/10/2021
8445110186126,RAPPIDX SURFACE,Balaji Enterprises,RPDX0029133,14/10/2021,14/10/2021,14/10/2021,COD,Pending,Chennai_SrinivasanNgr_D (Tamil Nadu),RT,1,1,D2,1699,1699,Chennai,Tamil Nadu,600113,Delhi_Airport_GW (Delhi),X-DBL1F,Delhi_UdhyogNgr_R (Delhi),Added to Bag,FALSE,,19/10/2021,19/10/2021,19/10/2021,19/10/2021,19/10/2021,14/10/2021,25/10/2021
8445110184516,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028792,14/10/2021,18/10/2021,18/10/2021,COD,In Transit,Rajdhanwar_Barjo_D (Jharkhand),RT,1,1,D1,1399,1399,Rajdhanwar,Jharkhand,825412,Delhi_Airport_GW (Delhi),X-ILL2F,Kolkata_Dankuni_GW (West Bengal),Trip Arrived,FALSE,,22/10/2021,22/10/2021,21/10/2021,22/10/2021,22/10/2021,14/10/2021,26/10/2021
8445110190573,RAPPIDX SURFACE,Balaji Enterprises,RPDX0030412,22/10/2021,22/10/2021,22/10/2021,COD,Pending,Nirmal_AdarshNgr_D (Telangana),Undelivered,0,,D1,1899,1899,Nirmal,Telangana,504106,Delhi_Airport_GW (Delhi),X-IBD3F,Nirmal_AdarshNgr_D (Telangana),Shipment Received at Facility,FALSE,,27/10/2021,27/10/2021,26/10/2021,,,22/10/2021,26/10/2021
8445110171975,RAPPIDX SURFACE,Vishal Traders,RPDX0027393,12/10/2021,13/10/2021,13/10/2021,COD,In Transit,Sirohi_Ricco_D (Rajasthan),RT,2,2,D1,1399,1399,Sirohi,Rajasthan,307001,Delhi_Airport_GW (Delhi),DLYLH-105,Pali_SuryaColony_I (Rajasthan),Vehicle delayed,FALSE,,16/10/2021,18/10/2021,17/10/2021,18/10/2021,22/10/2021,12/10/2021,26/10/2021
8445110183363,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028600,13/10/2021,16/10/2021,16/10/2021,COD,In Transit,Agra_Central_D_3 (Uttar Pradesh),RT,2,2,B,1399,1399,Agra,Uttar Pradesh,282001,Delhi_Airport_GW (Delhi),X-ILL1F,Gurgaon_Tauru_GW (Haryana),Bag Received at Facility,FALSE,,19/10/2021,20/10/2021,18/10/2021,18/10/2021,22/10/2021,13/10/2021,26/10/2021
8445110189862,RAPPIDX SURFACE,Shipxpress,RPDX0030135,21/10/2021,21/10/2021,21/10/2021,COD,In Transit,Sedam_LaxmiNrayanTwr_DPP (Karnataka),Undelivered,0,,D2,1399,1399,Sedam,Karnataka,585318,Meerut_Rihani_D (Uttar Pradesh),X-DBL1F,Gulbarga_Kapnoor_I (Karnataka),Added to Bag,FALSE,,28/10/2021,28/10/2021,,,,21/10/2021,26/10/2021
8445110180762,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028370,13/10/2021,16/10/2021,16/10/2021,COD,In Transit,Basta_Deulpara_DPP (Orissa),RT,2,2,D2,1399,1399,Basta,Orissa,756029,Delhi_Airport_GW (Delhi),RT-108,Basta_Deulpara_DPP (Orissa),No client instructions to Reattempt,FALSE,,21/10/2021,21/10/2021,21/10/2021,21/10/2021,23/10/2021,13/10/2021,25/10/2021
8445110189151,RAPPIDX SURFACE,Shipxpress,RPDX0029822,18/10/2021,18/10/2021,18/10/2021,COD,In Transit,Rania_kshrwla_D (Uttar Pradesh),RT,2,2,B,1399,1399,Rania,Uttar Pradesh,209304,Meerut_Rihani_D (Uttar Pradesh),RT-108,Rania_kshrwla_D (Uttar Pradesh),No client instructions to Reattempt,FALSE,,22/10/2021,22/10/2021,21/10/2021,21/10/2021,23/10/2021,18/10/2021,25/10/2021
8445110186546,RAPPIDX SURFACE,Balaji Enterprises,RPDX0029175,14/10/2021,14/10/2021,14/10/2021,COD,In Transit,Ranchi_HinooChowk_D (Jharkhand),RT,2,2,D1,1699,1699,Ranchi,Jharkhand,834002,Delhi_Airport_GW (Delhi),X-DBL1F,Ranchi_HinooChowk_D (Jharkhand),Added to Bag,FALSE,,18/10/2021,19/10/2021,18/10/2021,21/10/2021,24/10/2021,14/10/2021,26/10/2021
8445110172244,RAPPIDX SURFACE,Vishal Traders,RPDX0027420,12/10/2021,13/10/2021,13/10/2021,COD,In Transit,Kotkhai_Nehra_D (Himachal Pradesh),RT,3,3,E,1399,1399,Kotkhai,Himachal Pradesh,171202,Delhi_Airport_GW (Delhi),X-ILL1F,Gurgaon_Tauru_RP (Haryana),Bag Received at Facility,FALSE,,18/10/2021,18/10/2021,16/10/2021,17/10/2021,19/10/2021,12/10/2021,26/10/2021
8445110189394,RAPPIDX SURFACE,Balaji Enterprises,RPDX0029859,19/10/2021,19/10/2021,19/10/2021,COD,Pending,Dimapur_KhrmlDPP_D (Nagaland),Undelivered,0,,E,1699,1699,Dimapur,Nagaland,797112,Delhi_Airport_GW (Delhi),X-IBD3F,Dimapur_KhrmlDPP_D (Nagaland),Shipment Received at Facility,FALSE,,28/10/2021,29/10/2021,26/10/2021,,,19/10/2021,26/10/2021
8445110179104,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028137,13/10/2021,15/10/2021,15/10/2021,COD,In Transit,Kolkata_Beleghta_D (West Bengal),Undelivered,0,,D2,1399,1399,Kolkata,West Bengal,700010,Delhi_Airport_GW (Delhi),DLYLH-126,Kolkata_TempIPC_I (West Bengal),On hold. Destination unable to receive,FALSE,,21/10/2021,21/10/2021,,,,13/10/2021,26/10/2021
8445110179233,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028194,13/10/2021,15/10/2021,15/10/2021,COD,In Transit,Dhanbad_PuranaBzar_D (Jharkhand),RT,1,1,D1,1399,1399,Dhanbad,Jharkhand,826001,Delhi_Airport_GW (Delhi),X-DLL2F,Dhanbad_PuranaBzar_D (Jharkhand),Bag Added To Trip,FALSE,,20/10/2021,20/10/2021,23/10/2021,23/10/2021,23/10/2021,13/10/2021,26/10/2021
