Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110057072,RAPPIDX SURFACE,Ignis Traders,RPDX008769,12/09/2021,13/09/2021,13/09/2021,COD,In Transit,Hosur_BypassrRD_D (Tamil Nadu),RT,2,2,D2,649,649,Hosur,Tamil Nadu,635109,Delhi_Airport_GW (Delhi),X-DLL2F,Bangalore_Soukyaroad_GW (Karnataka),Bag Added To Trip,FALSE,,18/09/2021,18/09/2021,19/09/2021,20/09/2021,21/09/2021,12/09/2021,24/09/2021
8445110062856,RAPPIDX SURFACE,Ignis Traders,RPDX009347,12/09/2021,13/09/2021,13/09/2021,COD,Dispatched,Haflong_Dmahasao_D (Assam),Undelivered,3,2,E,649,649,Haflong,Assam,788819,Delhi_Airport_GW (Delhi),X-DDD3FD,Haflong_Dmahasao_D (Assam),Out for delivery,FALSE,,21/09/2021,21/09/2021,19/09/2021,20/09/2021,24/09/2021,12/09/2021,24/09/2021
8445110096176,RAPPIDX SURFACE,Renu Enterprises,RPDX0012874,14/09/2021,14/09/2021,14/09/2021,COD,In Transit,Ranchi_Delatoli_D (Jharkhand),Undelivered,0,,D2,1698,1698,Ranchi,Jharkhand,834001,Chandigarh_Raiprkln_C (Chandigarh),DTUP-205,Ranchi_AgrasenChowk_D (Jharkhand),Package details changed by Delhivery,TRUE,,19/09/2021,18/09/2021,17/09/2021,,,14/09/2021,23/09/2021
8445110043201,RAPPIDX SURFACE,Ignis Traders,RPDX006734,08/09/2021,08/09/2021,08/09/2021,COD,Pending,Surat_Althan_D (Gujarat),RT,3,3,D1,649,649,Surat,Gujarat,395007,Delhi_Airport_GW (Delhi),X-IBD3F,Delhi_UdhyogNgr_R (Delhi),Shipment Received at Facility,FALSE,,13/09/2021,14/09/2021,12/09/2021,13/09/2021,16/09/2021,08/09/2021,24/09/2021
8445110082316,RAPPIDX SURFACE,Ignis Traders,RPDX0011491,14/09/2021,14/09/2021,14/09/2021,COD,Pending,Mumbai South (Maharashtra),Undelivered,2,2,C2,649,649,Mumbai,Maharashtra,400010,Delhi_Airport_GW (Delhi),ST-107,Mumbai South (Maharashtra),Reattempt as per Client's instruction,FALSE,,20/09/2021,21/09/2021,20/09/2021,21/09/2021,22/09/2021,14/09/2021,24/09/2021
8445110057234,RAPPIDX SURFACE,Ignis Traders,RPDX008785,12/09/2021,13/09/2021,13/09/2021,COD,In Transit,Mumbai_Govandi_D (Maharashtra),RT,4,3,C2,649,649,Mumbai,Maharashtra,400088,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,18/09/2021,18/09/2021,16/09/2021,16/09/2021,19/09/2021,12/09/2021,24/09/2021
8445110076646,RAPPIDX SURFACE,Renu Enterprises,RPDX0010869,13/09/2021,13/09/2021,13/09/2021,COD,In Transit,Satara_DC (Maharashtra),RT,1,1,D2,1698,1698,Satara,Maharashtra,415002,Chandigarh_Raiprkln_C (Chandigarh),X-DBL1F,Gurgaon_Tauru_GW (Haryana),Added to Bag,FALSE,,20/09/2021,20/09/2021,17/09/2021,17/09/2021,17/09/2021,13/09/2021,24/09/2021
8445110111355,RAPPIDX SURFACE,Renu Enterprises,RPDX0015225,21/09/2021,21/09/2021,21/09/2021,COD,In Transit,HYD_Vikrampuri_ODC (Telangana),Undelivered,0,,D2,1698,1698,Hyderabad,Telangana,500009,Chandigarh_Raiprkln_C (Chandigarh),X-DBL1F,Hyderabad_Shamshbd_H (Telangana),Added to Bag,FALSE,,27/09/2021,27/09/2021,,,,21/09/2021,24/09/2021
8445110091486,RAPPIDX SURFACE,Ignis Traders,RPDX0012408,14/09/2021,14/09/2021,14/09/2021,COD,In Transit,Klkurchi_MrnNagar_D (Tamil Nadu),RT,2,2,D2,649,649,Kallakurichi,Tamil Nadu,606206,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,19/09/2021,20/09/2021,18/09/2021,18/09/2021,19/09/2021,14/09/2021,24/09/2021
8445110111016,RAPPIDX SURFACE,Renu Enterprises,RPDX0015140,20/09/2021,20/09/2021,20/09/2021,COD,In Transit,Goa_Panaji_D (Goa),Undelivered,0,,D2,1689,1689,Panjim,Goa,403005,Chandigarh_Raiprkln_C (Chandigarh),X-ILL1F,Bhiwandi_Mega_GW (Maharashtra),Bag Received at Facility,FALSE,,26/09/2021,26/09/2021,,,,20/09/2021,24/09/2021
