Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110002391,RAPPIDX SURFACE,J2J TRADE SOLUTIONS,RPDX00661,2021-06-14 21:29:36.000,2021-06-15 17:26:20.000,2021-06-15 17:26:20.000,COD,In Transit,Rajdhanwar_Barjo_D (Jharkhand),RT,1,1,D1,1699.0,1699.0,Rajdhanwar,Jharkhand,825418,Delhi_Airport_GW (Delhi),RT-108,Rajdhanwar_Barjo_D (Jharkhand),No client instructions to Reattempt,False,,2021-06-21 23:59:59.000,2021-06-21 23:59:59.000,2021-06-19 11:52:10.000,2021-06-29 11:10:42.000,2021-06-29 11:10:42.000,2021-06-14 21:29:36.000,2021-07-01 05:30:44.000
8445110003522,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX00462,2021-06-24 11:54:09.000,2021-06-24 11:54:09.000,,COD,Not Picked,Pasighat_MissonRd_D (Arunachal Pradesh),Undelivered,0,,E,1211.0,1211.0,Pasighat,Arunachal Pradesh,791102,Narwana_Shivmndr_DPP (Haryana),X-PNP,Narwana_Shivmndr_DPP (Haryana),Shipment not received from client,False,,,,,,,2021-06-24 11:54:09.000,2021-06-28 19:55:01.000
8445110003636,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX00473,2021-06-24 12:15:18.000,2021-06-24 12:15:19.000,,COD,Not Picked,Pasighat_MissonRd_D (Arunachal Pradesh),Undelivered,0,,E,1211.0,1211.0,Pasighat,Arunachal Pradesh,791102,Narwana_Shivmndr_DPP (Haryana),X-PNP,Narwana_Shivmndr_DPP (Haryana),Shipment not received from client,True,,,,,,,2021-06-24 12:15:19.000,2021-06-28 19:55:01.000
8445110002553,RAPPIDX SURFACE,Loan 1st,RPDX00716,2021-06-19 00:54:25.000,2021-06-19 17:46:41.000,2021-06-19 17:46:41.000,COD,In Transit,Balasore_Ganeshwr_D (Orissa),RT,1,1,D2,1699.0,1699.0,Balasore,Orissa,756060,Delhi_Airport_GW (Delhi),X-UNEX,Gurgaon_TauruGW_R (Haryana),Unexpected scan,False,,2021-06-24 23:59:59.000,2021-06-24 23:59:59.000,2021-06-23 07:54:03.000,2021-06-23 10:26:55.000,2021-06-23 10:26:55.000,2021-06-19 00:54:25.000,2021-06-29 12:09:52.000
8445110002715,RAPPIDX SURFACE,Loan 1st,RPDX00799,2021-06-19 22:41:47.000,2021-06-21 12:43:44.000,2021-06-21 12:43:44.000,COD,Pending,Raniganj_Central_DPP_1 (Bihar),Undelivered,2,2,D1,1699.0,1699.0,Raniganj,Bihar,854334,Delhi_Airport_GW (Delhi),EOD-6,Raniganj_Central_DPP_1 (Bihar),Consignee refused to accept/order cancelled,False,,2021-06-25 23:59:59.000,2021-06-25 23:59:59.000,2021-06-24 10:13:30.000,2021-06-24 12:04:18.000,2021-06-30 11:28:15.000,2021-06-19 22:41:47.000,2021-06-30 23:35:45.000
8445110001035,RAPPIDX SURFACE,,RPDXM0014,2021-05-10 12:21:16.000,2021-05-10 12:21:16.000,,COD,Not Picked,Dadri_ICDCant_D (Uttar Pradesh),Undelivered,0,,NA,1599.0,1599.0,Dadri,Uttar Pradesh,203207,,X-PNP,HQ (Haryana),Shipment not received from client,False,,,,,,,2021-05-10 12:21:16.000,2021-06-28 15:25:22.000
8445110002612,RAPPIDX SURFACE,Loan 1st,RPDX00758,2021-06-19 00:54:51.000,2021-06-19 17:46:58.000,2021-06-19 17:46:58.000,COD,In Transit,Byadagi_RattihalliRd_DPP (Karnataka),RT,1,1,D2,1699.0,1699.0,Byadagi,Karnataka,581106,Delhi_Airport_GW (Delhi),DLYLH-105,Bhiwandi_Mega_GW (Maharashtra),Vehicle delayed,False,,2021-06-26 23:59:59.000,2021-06-26 23:59:59.000,2021-06-25 09:32:34.000,2021-06-25 11:25:20.000,2021-06-25 11:25:20.000,2021-06-19 00:54:51.000,2021-06-30 05:38:23.000
8445110002645,RAPPIDX SURFACE,Loan 1st,RPDX00764,2021-06-19 00:54:55.000,2021-06-19 17:47:18.000,2021-06-19 17:47:18.000,COD,In Transit,Ranipool_NH10_D (Sikkim),RT,3,3,E,1699.0,1699.0,Ranipool,Sikkim,737135,Delhi_Airport_GW (Delhi),X-ILL1F,Gurgaon_Tauru_GW (Haryana),Bag Received at Facility,False,,2021-06-26 23:59:59.000,2021-06-26 23:59:59.000,2021-06-23 07:57:04.000,2021-06-24 06:38:15.000,2021-06-26 06:37:57.000,2021-06-19 00:54:55.000,2021-07-01 03:33:17.000
8445110002376,RAPPIDX SURFACE,J2J TRADE SOLUTIONS,RPDX00656,2021-06-14 21:29:33.000,2021-06-15 17:27:09.000,2021-06-15 17:27:09.000,COD,In Transit,Satna_RamTekri_D (Madhya Pradesh),Undelivered,2,1,D1,1699.0,1699.0,Satna,Madhya Pradesh,485666,Delhi_Airport_GW (Delhi),X-DBL1F,Majhgawa_MPSEB_DPP (Madhya Pradesh),Added to Bag,True,,2021-06-21 23:59:59.000,2021-06-21 23:59:59.000,2021-06-19 12:22:06.000,2021-06-19 12:28:52.000,2021-06-20 12:47:07.000,2021-06-14 21:29:33.000,2021-06-29 16:52:52.000
8445110002343,RAPPIDX SURFACE,J2J TRADE SOLUTIONS,RPDX00641,2021-06-14 21:29:23.000,2021-06-15 17:26:13.000,2021-06-15 17:26:13.000,COD,RTO,Rusera_Wardno4_D (Bihar),Delivered,3,3,D1,1499.0,1499.0,Rusera,Bihar,848209,Delhi_Airport_GW (Delhi),RD-AC,Delhi_North_R_8 (Delhi),RETURN Accepted,False,2021-06-28 18:56:37.000,2021-06-20 23:59:59.000,2021-06-20 23:59:59.000,2021-06-19 09:21:11.000,2021-06-20 06:36:58.000,2021-06-28 12:22:51.000,2021-06-14 21:29:23.000,2021-06-28 18:56:37.000
8445110003662,RAPPIDX SURFACE,Mobikasa Venture,RPDX00895,2021-06-24 12:46:56.000,2021-06-25 14:50:00.000,2021-06-25 14:50:00.000,COD,In Transit,Pasighat_MissonRd_D (Arunachal Pradesh),Undelivered,0,,E,1211.0,1211.0,Pasighat,Arunachal Pradesh,791102,Delhi_Airport_GW (Delhi),X-DLL2F,Dibrugarh_Mohanbari_H (Assam),Bag Added To Trip,False,,2021-07-04 23:59:59.000,2021-07-04 23:59:59.000,,,,2021-06-24 12:46:56.000,2021-07-01 01:47:38.000
8445110002542,RAPPIDX SURFACE,Loan 1st,RPDX00713,2021-06-19 00:54:23.000,2021-06-19 17:46:40.000,2021-06-19 17:46:40.000,COD,In Transit,Guntur_Mnglgiri_DC (Andhra Pradesh),RT,1,1,D2,1699.0,1699.0,Guntur,Andhra Pradesh,522508,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_TauruGW_R (Haryana),Bag Added To Trip,False,,2021-06-24 23:59:59.000,2021-06-24 23:59:59.000,2021-06-23 06:51:41.000,2021-06-23 08:27:46.000,2021-06-23 08:27:46.000,2021-06-19 00:54:23.000,2021-07-01 02:11:54.000
