Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8.44511E+12,RAPPIDX SURFACE,Ignis Traders,RPDX006716,50:36.0,42:59.0,42:59.0,COD,Pending,Dehradun_NalapaniRd_D (Uttarakhand),RT,1,1,B,649,649,Dehradun,Uttarakhand,248001,Delhi_Airport_GW (Delhi),X-DBL1F,Delhi_UdhyogNgr_R (Delhi),Added to Bag,FALSE,,59:59.0,59:59.0,07:11.0,18:03.0,18:03.0,50:36.0,08:50.0
8.44511E+12,RAPPIDX SURFACE,Ignis Traders,RPDX009605,50:18.0,14:42.0,14:42.0,COD,In Transit,Karad_Malkapur_D (Maharashtra),Undelivered,0,,D2,649,649,Karad,Maharashtra,415110,Delhi_Airport_GW (Delhi),X-ILL1F,Kolhapur_Central_H_2 (Maharashtra),Bag Received at Facility,FALSE,,59:59.0,59:59.0,,,,50:18.0,11:31.0
8.44511E+12,RAPPIDX SURFACE,Renu Enterprises,RPDX007525,03:25.0,30:04.0,30:04.0,COD,In Transit,Piparcity_JodhpurRd_DPP (Rajasthan),RT,1,1,D1,1599,1599,Piparcity,Rajasthan,342601,Chandigarh_Raiprkln_C (Chandigarh),X-DLL2F,Chandigarh_Rajpura_GW (Punjab),Bag Added To Trip,FALSE,,59:59.0,59:59.0,50:29.0,33:11.0,33:11.0,03:25.0,26:43.0
8.44511E+12,RAPPIDX SURFACE,Ignis Traders,RPDX006177,41:59.0,05:31.0,05:31.0,COD,In Transit,Nandigama_RTOoffice_D (Andhra Pradesh),RT,1,2,D2,649,649,Nandigama,Andhra Pradesh,521180,Delhi_Airport_GW (Delhi),X-DLL2F,Hyderabad_Shamshbd_H (Telangana),Bag Added To Trip,FALSE,,59:59.0,59:59.0,12:23.0,51:53.0,51:53.0,41:59.0,39:44.0
8.44511E+12,RAPPIDX SURFACE,Ignis Traders,RPDX0011562,49:12.0,49:15.0,49:15.0,COD,In Transit,Bhopal_Kohefiza_D (Madhya Pradesh),Undelivered,0,,D1,649,649,Bhopal,Madhya Pradesh,462001,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,59:59.0,59:59.0,,,,49:12.0,56:26.0
8.44511E+12,RAPPIDX SURFACE,Ignis Traders,RPDX0010148,41:19.0,23:15.0,23:15.0,COD,In Transit,Chaibasa_NewClnyTungri_D (Jharkhand),Undelivered,0,,D1,649,649,Chaibasa,Jharkhand,833201,Delhi_Airport_GW (Delhi),X-DLL2F,Jamshedpur_Asanbani_H (Jharkhand),Bag Added To Trip,FALSE,,59:59.0,59:59.0,,,,41:20.0,31:02.0
8.44511E+12,RAPPIDX SURFACE,Ignis Traders,RPDX007218,18:32.0,10:35.0,10:35.0,COD,In Transit,Ranipool_NH10_D (Sikkim),RT,1,1,E,649,649,Ranipool,Sikkim,737135,Delhi_Airport_GW (Delhi),X-ILL1F,Rangpo_Khanikhola_I (Sikkim),Bag Received at Facility,FALSE,,59:59.0,59:59.0,16:50.0,55:42.0,55:42.0,18:32.0,44:49.0
8.44511E+12,RAPPIDX SURFACE,Ignis Traders,RPDX0011856,55:10.0,49:03.0,49:03.0,COD,In Transit,Hubli_AshokVana_D (Karnataka),Undelivered,0,,D2,649,649,Hubli,Karnataka,580023,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,59:59.0,59:59.0,,,,55:10.0,37:03.0
8.44511E+12,RAPPIDX SURFACE,Ignis Traders,RPDX0013354,09:40.0,43:48.0,43:48.0,COD,In Transit,Krishnanagar_AnadiDPP_D (West Bengal),Undelivered,0,,D2,649,649,Krishnanagar,West Bengal,741101,Delhi_Airport_GW (Delhi),DLYLH-105,Gurgaon_Tauru_GW (Haryana),Vehicle delayed,TRUE,,59:59.0,59:59.0,,,,09:40.0,17:31.0
8.44511E+12,RAPPIDX SURFACE,Ignis Traders,RPDX009403,47:47.0,59:32.0,59:32.0,COD,Pending,Itava_Prsnga_D (Uttar Pradesh),Undelivered,1,1,D1,649,649,Itava,Uttar Pradesh,272163,Delhi_Airport_GW (Delhi),EOD-3,Itava_Prsnga_D (Uttar Pradesh),Delivery date rescheduled,FALSE,,59:59.0,59:59.0,37:37.0,22:13.0,22:13.0,47:47.0,34:41.0
