Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110010290    ,RAPPIDX SURFACE,VJ Enterprises,RPDX002271,05:20.0,26:24.0,26:24.0,COD,In Transit,Birpur_Basantpur_D (Bihar),Undelivered,0,,D1,1699,1699,Birpur,Bihar,854338,Delhi_Airport_GW (Delhi),X-ILL1F,Gurgaon_Tauru_GW (Haryana),Bag Received at Facility,FALSE,,59:59.0,59:59.0,,,,05:20.0,46:34.0
8445110010382    ,RAPPIDX SURFACE,VJ Enterprises,RPDX002301,05:48.0,26:15.0,26:15.0,COD,In Transit,Lucknow_TrnsprtNgr_D (Uttar Pradesh),Undelivered,0,,D1,1699,1699,Lucknow,Uttar Pradesh,226008,Delhi_Airport_GW (Delhi),X-ILL1F,Gurgaon_Tauru_GW (Haryana),Bag Received at Facility,FALSE,,59:59.0,59:59.0,,,,05:48.0,49:12.0
8445110010360    ,RAPPIDX SURFACE,VJ Enterprises,RPDX002298,05:45.0,26:25.0,26:25.0,COD,In Transit,Bhawanipur_SH65_D (Bihar),Undelivered,0,,D1,1699,1699,Bhawanipur Rajdham,Bihar,854204,Delhi_Airport_GW (Delhi),X-ILL1F,Gurgaon_Tauru_GW (Haryana),Bag Received at Facility,FALSE,,59:59.0,59:59.0,,,,05:45.0,52:48.0
8445110010345    ,RAPPIDX SURFACE,VJ Enterprises,RPDX002294,05:41.0,26:04.0,26:04.0,COD,In Transit,Hodel_DC (Haryana),Undelivered,0,,B,1699,1699,Hodal,Haryana,122508,Delhi_Airport_GW (Delhi),X-DBL1F,Faridabad_Mthurard_I (Haryana),Added to Bag,TRUE,,59:59.0,59:59.0,,,,05:41.0,27:52.0
8445110010500    ,RAPPIDX SURFACE,VJ Enterprises,RPDX002360,06:44.0,26:31.0,26:31.0,COD,In Transit,Mumbai_KharghrSec21_D (Maharashtra),Undelivered,0,,C2,1699,1699,Navi mumbai,Maharashtra,410208,Delhi_Airport_GW (Delhi),X-ILL1F,Gurgaon_Tauru_GW (Haryana),Bag Received at Facility,FALSE,,59:59.0,59:59.0,,,,06:44.0,12:42.0
8445110010430    ,RAPPIDX SURFACE,VJ Enterprises,RPDX002320,06:06.0,26:03.0,26:03.0,COD,In Transit,Kagal_TrunkRd_D (Maharashtra),Undelivered,0,,D2,1699,1699,Kagal,Maharashtra,416207,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,59:59.0,59:59.0,,,,06:06.0,19:38.0
8445110007221    ,RAPPIDX SURFACE,VJ Enterprises,RPDX002040,07:18.0,21:03.0,21:03.0,COD,In Transit,Deoband_Ramvlg_D (Uttar Pradesh),Undelivered,0,,B,1699,1699,Deoband,Uttar Pradesh,247451,Delhi_Airport_GW (Delhi),X-ILL2F,Deoband_Ramvlg_D (Uttar Pradesh),Trip Arrived,FALSE,,59:59.0,59:59.0,,,,07:18.0,37:48.0
8445110007103    ,RAPPIDX SURFACE,Kospet Collection,RPDX001963,04:12.0,22:25.0,22:25.0,COD,In Transit,Keshod_GasAgencyRd_D (Gujarat),RT,1,1,D1,1549,1549,Keshod,Gujarat,362245,Delhi_Airport_GW (Delhi),X-DLL2F,Keshod_GasAgencyRd_D (Gujarat),Bag Added To Trip,FALSE,,59:59.0,59:59.0,07:20.0,26:22.0,26:22.0,04:12.0,35:13.0
8445110010496    ,RAPPIDX SURFACE,VJ Enterprises,RPDX002359,06:43.0,26:01.0,26:01.0,COD,In Transit,Manamelkudi_HondaShow_D (Tamil Nadu),Undelivered,0,,D2,1699,1699,Manamelkudi,Tamil Nadu,614620,Delhi_Airport_GW (Delhi),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,FALSE,,59:59.0,59:59.0,,,,06:43.0,54:11.0
8445110010522    ,RAPPIDX SURFACE,VJ Enterprises,RPDX002370,06:57.0,26:14.0,26:14.0,COD,In Transit,Jamkhandi_Laxmingr_D (Karnataka),Undelivered,0,,D2,1699,1699,Jamkhandi,Karnataka,587330,Delhi_Airport_GW (Delhi),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,FALSE,,59:59.0,59:59.0,,,,06:57.0,54:11.0
