Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110194493,RAPPIDX SURFACE,Renu Enterprises,RPDX0030906,28/10/2021,28/10/2021,28/10/2021,COD,In Transit,Ramgarh_HotelPrk_D (Jharkhand),RT,1,1,D1,899,899,Ramgarh,Jharkhand,829117,Chandigarh_Raiprkln_C (Chandigarh),X-DBL1F,Ranchi_Namkom_H (Jharkhand),Added to Bag,FALSE,,03/11/2021,03/11/2021,02/11/2021,02/11/2021,02/11/2021,28/10/2021,06/11/2021
8445110192953,RAPPIDX SURFACE,KD Enterprises,RPDX0030656,28/10/2021,28/10/2021,28/10/2021,COD,In Transit,Pune_Bavdhan_D (Maharashtra),RT,3,3,D2,1399,1399,Pune,Maharashtra,411038,Noida_Sector63DBlock_C (Uttar Pradesh),X-DLL2F,Pune_Sudhwadi_GW (Maharashtra),Bag Added To Trip,FALSE,,02/11/2021,02/11/2021,01/11/2021,01/11/2021,03/11/2021,28/10/2021,06/11/2021
8445110192850,RAPPIDX SURFACE,KD Enterprises,RPDX0030646,27/10/2021,28/10/2021,28/10/2021,COD,In Transit,Chaksu_TonkRoad_D (Rajasthan),RT,1,1,B,1499,1399,Chaksu,Rajasthan,303905,Noida_Sector63DBlock_C (Uttar Pradesh),X-ILL1F,Noida_Sector59_R (Uttar Pradesh),Bag Received at Facility,FALSE,,01/11/2021,01/11/2021,31/10/2021,31/10/2021,31/10/2021,27/10/2021,05/11/2021
8445110172793,RAPPIDX SURFACE,Ignis Traders,RPDX0027475,12/10/2021,12/10/2021,12/10/2021,COD,Pending,Ujjain (Madhya Pradesh),RT,3,3,D1,799,799,Ujjain,Madhya Pradesh,456006,Delhi_Airport_GW (Delhi),X-DBL1F,Delhi_UdhyogNgr_R (Delhi),Added to Bag,FALSE,,16/10/2021,16/10/2021,17/10/2021,18/10/2021,23/10/2021,12/10/2021,04/11/2021
8445110166585,RAPPIDX SURFACE,Ignis Traders,RPDX0026211,08/10/2021,08/10/2021,08/10/2021,COD,Pending,Mangan_Barfok_D (Sikkim),RT,2,1,E,799,799,Mangan,Sikkim,737116,Delhi_Airport_GW (Delhi),X-DBL1F,Delhi_UdhyogNgr_R (Delhi),Added to Bag,FALSE,,15/10/2021,15/10/2021,21/10/2021,21/10/2021,22/10/2021,08/10/2021,04/11/2021
8445110192334,RAPPIDX SURFACE,KD Enterprises,RPDX0030594,27/10/2021,28/10/2021,28/10/2021,COD,In Transit,Imphal_Porompat_D (Manipur),Undelivered,0,,F,1399,1399,Imphal,Manipur,795004,Noida_Sector63DBlock_C (Uttar Pradesh),X-ILL1F,Imphal_Porompat_D (Manipur),Bag Received at Facility,FALSE,,06/11/2021,06/11/2021,,,,27/10/2021,04/11/2021
8445110123992,RAPPIDX SURFACE,Ignis Traders 2,RPDX0017757,24/09/2021,24/09/2021,24/09/2021,COD,Pending,Shankarpalle_Mandi_D (Telangana),RT,0,,D2,1399,1399,Shankarpalle,Telangana,500075,Delhi_Airport_GW (Delhi),X-DBL1F,Delhi_UdhyogNgr_R (Delhi),Added to Bag,TRUE,,28/09/2021,28/09/2021,27/09/2021,,,24/09/2021,04/11/2021
8445110188812,RAPPIDX SURFACE,Balaji Enterprises,RPDX0029616,16/10/2021,19/10/2021,19/10/2021,COD,In Transit,Dimapur_KhrmlDPP_D (Nagaland),RT,1,1,E,1699,1699,Dimapur,Nagaland,797112,Delhi_Airport_GW (Delhi),X-DLL2F,Tezpur_Sirajuli_I (Assam),Bag Added To Trip,FALSE,,28/10/2021,29/10/2021,26/10/2021,26/10/2021,26/10/2021,16/10/2021,06/11/2021
8445110179561,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0028260,13/10/2021,15/10/2021,15/10/2021,COD,In Transit,Aizawl_Veng_D (Mizoram),RT,3,3,E,1399,1399,Aizawl,Mizoram,796001,Delhi_Airport_GW (Delhi),X-DLL2F,Silchar_Sirikona_H (Assam),Bag Added To Trip,FALSE,,25/10/2021,26/10/2021,25/10/2021,26/10/2021,02/11/2021,13/10/2021,06/11/2021
8445110200045,RAPPIDX SURFACE,KD Enterprises,RPDX0031460,30/10/2021,02/11/2021,02/11/2021,COD,In Transit,Devanahalli_Central_D (Karnataka),Undelivered,0,,D2,1399,1399,Devanahalli,Karnataka,562110,Noida_Sector63DBlock_C (Uttar Pradesh),X-ILL2F,Bengaluru_KGAirprt_HB (Karnataka),Trip Arrived,TRUE,,08/11/2021,08/11/2021,,,,30/10/2021,06/11/2021
