Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110017161,RAPPIDX SURFACE,Renu Enterprises,RPDX005022,07/09/2021,07/09/2021,07/09/2021,COD,Delivered,Tirupur_KangayamRd_D (Tamil Nadu),Delivered,1,1,D2,1698,1698,Tirupur,Tamil Nadu,641687,Chandigarh_Raiprkln_C (Chandigarh),EOD-38,Tirupur_KangayamRd_D (Tamil Nadu),Delivered to consignee,TRUE,12/09/2021,15/09/2021,15/09/2021,12/09/2021,12/09/2021,12/09/2021,07/09/2021,12/09/2021
8445110018826,RAPPIDX SURFACE,Renu Enterprises,RPDX005197,08/09/2021,09/09/2021,09/09/2021,COD,In Transit,Aurangabad (Maharashtra),RT,1,1,D2,1698,1698,Aurangabad,Maharashtra,431003,Chandigarh_Raiprkln_C (Chandigarh),X-ILL1F,Surat_Kacholi_GW (Gujarat),Bag Received at Facility,FALSE,,15/09/2021,15/09/2021,13/09/2021,13/09/2021,13/09/2021,08/09/2021,17/09/2021
8445110061994,RAPPIDX SURFACE,Ignis Traders,RPDX009261,12/09/2021,13/09/2021,13/09/2021,COD,Delivered,Bansi_RaptiNagar_D (Uttar Pradesh),Delivered,1,1,D1,649,649,Bansi,Uttar Pradesh,272153,Delhi_Airport_GW (Delhi),EOD-38,Bansi_RaptiNagar_D (Uttar Pradesh),Delivered to consignee,FALSE,16/09/2021,17/09/2021,17/09/2021,16/09/2021,16/09/2021,16/09/2021,12/09/2021,16/09/2021
8445110067384,RAPPIDX SURFACE,Ignis Traders,RPDX009800,12/09/2021,13/09/2021,13/09/2021,COD,Delivered,Asika_DsarathiNgr_DPP (Orissa),Delivered,1,1,D2,649,649,Asika,Orissa,761122,Delhi_Airport_GW (Delhi),EOD-38,Asika_DsarathiNgr_DPP (Orissa),Delivered to consignee,FALSE,17/09/2021,20/09/2021,20/09/2021,17/09/2021,17/09/2021,17/09/2021,12/09/2021,17/09/2021
8445110062274,RAPPIDX SURFACE,Ignis Traders,RPDX009289,12/09/2021,13/09/2021,13/09/2021,COD,Delivered,Mumbai_VedHeightVirar_D (Maharashtra),Delivered,1,1,C2,649,649,VirarEast,Maharashtra,401209,Delhi_Airport_GW (Delhi),EOD-135,Mumbai_VedHeightVirar_D (Maharashtra),Delivered to consignee - OTP Verified delivery,FALSE,17/09/2021,17/09/2021,17/09/2021,17/09/2021,17/09/2021,17/09/2021,12/09/2021,17/09/2021
8445110072450,RAPPIDX SURFACE,Ignis Traders,RPDX0010307,12/09/2021,13/09/2021,13/09/2021,COD,Delivered,Dahegam_Temple_DPP (Gujarat),Delivered,1,1,C1,649,649,Dahegam,Gujarat,382305,Delhi_Airport_GW (Delhi),EOD-38,Dahegam_Temple_DPP (Gujarat),Delivered to consignee,FALSE,17/09/2021,18/09/2021,18/09/2021,17/09/2021,17/09/2021,17/09/2021,12/09/2021,17/09/2021
8445110042604,RAPPIDX SURFACE,Ignis Traders,RPDX006674,08/09/2021,08/09/2021,08/09/2021,COD,Delivered,Dharmavram_SaiNgr_D (Andhra Pradesh),Delivered,1,1,D2,649,649,Dharmavaram,Andhra Pradesh,515661,Delhi_Airport_GW (Delhi),EOD-38,Dharmavram_SaiNgr_D (Andhra Pradesh),Delivered to consignee,FALSE,17/09/2021,15/09/2021,15/09/2021,15/09/2021,17/09/2021,17/09/2021,08/09/2021,17/09/2021
8445110079376,RAPPIDX SURFACE,Ignis Traders,RPDX0011198,14/09/2021,14/09/2021,14/09/2021,COD,Delivered,Thunag_SBI_D (Himachal Pradesh),Delivered,1,1,E,649,649,Thunag,Himachal Pradesh,175048,Delhi_Airport_GW (Delhi),EOD-38,Thunag_SBI_D (Himachal Pradesh),Delivered to consignee,FALSE,17/09/2021,18/09/2021,20/09/2021,17/09/2021,17/09/2021,17/09/2021,14/09/2021,17/09/2021
8445110050794,RAPPIDX SURFACE,Renu Enterprises,RPDX007593,10/09/2021,10/09/2021,10/09/2021,COD,In Transit,Bellampalli_Rlwaycolny_DPP (Telangana),RT,1,1,D2,1698,1698,Bellampalli,Telangana,504251,Chandigarh_Raiprkln_C (Chandigarh),X-DLL2F,Hyderabad_Shamshbd_H (Telangana),Bag Added To Trip,FALSE,,16/09/2021,16/09/2021,14/09/2021,14/09/2021,14/09/2021,10/09/2021,17/09/2021
8445110048705,RAPPIDX SURFACE,Renu Enterprises,RPDX007383,09/09/2021,09/09/2021,09/09/2021,COD,In Transit,Khammam_Pedathnda_D (Telangana),RT,1,1,D2,1599,1599,Khammam,Telangana,507001,Chandigarh_Raiprkln_C (Chandigarh),X-DLL2F,Hyderabad_Shamshbd_H (Telangana),Bag Added To Trip,FALSE,,15/09/2021,15/09/2021,13/09/2021,13/09/2021,13/09/2021,09/09/2021,17/09/2021
