Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110234356,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0041400,14/12/2021,16/12/2021,16/12/2021,COD,In Transit,Batala_ShastriNgr_D (Punjab),Undelivered,0,,B,1649,1649,Batala,Punjab,143511,Delhi_Airport_GW (Delhi),DLYRG-125,Gurgaon_Tauru_GW (Haryana),Delayed. Local disturbance/strike,FALSE,,19/12/2021,20/12/2021,,,,14/12/2021,17/12/2021
8445110233225,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0041287,13/12/2021,13/12/2021,13/12/2021,COD,In Transit,Mathania_Osian_DPP (Rajasthan),RT,1,1,D1,1599,1599,Mathania,Rajasthan,342303,Delhi_Airport_GW (Delhi),X-DLL2F,Mathania_Osian_DPP (Rajasthan),Bag Added To Trip,FALSE,,17/12/2021,17/12/2021,16/12/2021,16/12/2021,16/12/2021,13/12/2021,18/12/2021
8445110226052,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0039026,07/12/2021,07/12/2021,07/12/2021,COD,In Transit,Rohru_Samala_D (Himachal Pradesh),RT,3,3,E,1599,1599,Rohru,Himachal Pradesh,171207,Delhi_Airport_GW (Delhi),X-DLL2F,Chandigarh_Rajpura_GW (Punjab),Bag Added To Trip,TRUE,,12/12/2021,12/12/2021,09/12/2021,10/12/2021,14/12/2021,07/12/2021,18/12/2021
8445110222994,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0037978,04/12/2021,04/12/2021,04/12/2021,COD,RTO,Pithorgarh_Kumud_D (Uttarakhand),Delivered,2,2,B,1599,1599,Pithoragarh,Uttarakhand,262501,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,TRUE,15/12/2021,07/12/2021,07/12/2021,06/12/2021,06/12/2021,15/12/2021,04/12/2021,15/12/2021
8445110222736,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0037887,04/12/2021,04/12/2021,04/12/2021,COD,RTO,Ferozepur_DC (Punjab),Delivered,2,1,B,1599,1599,Firozpur,Punjab,152005,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,15/12/2021,07/12/2021,07/12/2021,07/12/2021,07/12/2021,15/12/2021,04/12/2021,15/12/2021
8445110211890,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0033227,25/11/2021,26/11/2021,26/11/2021,COD,RTO,Chennai_MuthialStrt_D (Tamil Nadu),Delivered,2,3,C2,1599,1599,Chennai,Tamil Nadu,600032,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,15/12/2021,02/12/2021,02/12/2021,05/12/2021,06/12/2021,15/12/2021,25/11/2021,15/12/2021
8445110225956,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0039016,07/12/2021,07/12/2021,07/12/2021,COD,RTO,Bansur_TransportNagar_D (Rajasthan),Delivered,1,1,B,1599,1599,Bansur,Rajasthan,301402,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,15/12/2021,11/12/2021,11/12/2021,09/12/2021,09/12/2021,15/12/2021,07/12/2021,15/12/2021
8445110212343,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0033272,25/11/2021,27/11/2021,27/11/2021,COD,RTO,Pudukkottai_KannanHosp_D (Tamil Nadu),Delivered,3,3,D2,1599,1599,Pudukkottai,Tamil Nadu,622003,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,15/12/2021,03/12/2021,03/12/2021,03/12/2021,03/12/2021,15/12/2021,25/11/2021,15/12/2021
8445110216856,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0036079,27/11/2021,30/11/2021,30/11/2021,COD,RTO,Srinagar_KothiBagh_DPP (Jammu & Kashmir),Delivered,3,3,F,1599,1599,Srinagar,Jammu & Kashmir,190001,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,TRUE,15/12/2021,08/12/2021,08/12/2021,04/12/2021,05/12/2021,15/12/2021,27/11/2021,15/12/2021
8445110216510,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0035943,27/11/2021,30/11/2021,30/11/2021,COD,RTO,Chennai_Avadi_D (Tamil Nadu),Delivered,3,3,C2,1599,1599,Chennai,Tamil Nadu,600072,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,15/12/2021,06/12/2021,06/12/2021,05/12/2021,05/12/2021,15/12/2021,27/11/2021,15/12/2021
8445110224733,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0038894,07/12/2021,07/12/2021,07/12/2021,COD,RTO,Jind_DC (Haryana),Delivered,1,1,B,1599,1599,Jind,Haryana,126113,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,15/12/2021,10/12/2021,10/12/2021,09/12/2021,09/12/2021,15/12/2021,07/12/2021,15/12/2021
8445110215305,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0035483,26/11/2021,30/11/2021,30/11/2021,COD,RTO,Guntur_Mnglgiri_DC (Andhra Pradesh),Delivered,1,1,D2,1599,1599,Guntur,Andhra Pradesh,522501,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,15/12/2021,06/12/2021,06/12/2021,05/12/2021,05/12/2021,15/12/2021,26/11/2021,15/12/2021
8445110215095,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0035462,26/11/2021,30/11/2021,30/11/2021,COD,RTO,Hubli_AshokVana_D (Karnataka),Delivered,1,1,D2,1599,1599,Hubli,Karnataka,580028,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,15/12/2021,06/12/2021,06/12/2021,04/12/2021,04/12/2021,15/12/2021,26/11/2021,15/12/2021
8445110223510,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0038517,06/12/2021,06/12/2021,06/12/2021,COD,RTO,Rampur_AghapurRd_DPP (Uttar Pradesh),Delivered,1,2,B,1599,1599,Rampur,Uttar Pradesh,244925,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,TRUE,15/12/2021,09/12/2021,09/12/2021,09/12/2021,09/12/2021,15/12/2021,06/12/2021,15/12/2021
8445110224464,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0038867,07/12/2021,07/12/2021,07/12/2021,COD,RTO,Kanpur_Central_D_5 (Uttar Pradesh),Delivered,1,1,B,1599,1599,Kanpur,Uttar Pradesh,208017,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,15/12/2021,11/12/2021,11/12/2021,09/12/2021,09/12/2021,15/12/2021,07/12/2021,15/12/2021
8445110212925,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0033330,25/11/2021,25/11/2021,25/11/2021,COD,RTO,Sandesh_Pawna_D (Bihar),Delivered,1,1,D1,1599,1599,Sandesh,Bihar,802203,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,06/12/2021,01/12/2021,01/12/2021,28/11/2021,28/11/2021,06/12/2021,25/11/2021,06/12/2021
8445110205634,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0032306,22/11/2021,22/11/2021,22/11/2021,COD,RTO,Bengaluru_Chandapura_D (Karnataka),Delivered,1,1,C2,1599,1599,Bangalore,Karnataka,562106,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,06/12/2021,29/11/2021,30/11/2021,26/11/2021,27/11/2021,06/12/2021,22/11/2021,06/12/2021
8445110211061,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0033144,24/11/2021,24/11/2021,24/11/2021,COD,RTO,Buhana_Satnali_D (Rajasthan),Delivered,2,1,B,1599,1599,Buhana,Rajasthan,333502,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,06/12/2021,26/11/2021,26/11/2021,26/11/2021,26/11/2021,06/12/2021,24/11/2021,06/12/2021
8445110204411,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0032184,22/11/2021,22/11/2021,22/11/2021,COD,RTO,Mysuru_VivekanandaNgr_D (Karnataka),Delivered,2,2,D2,1599,1599,Mysore,Karnataka,570025,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,06/12/2021,29/11/2021,30/11/2021,27/11/2021,27/11/2021,06/12/2021,22/11/2021,06/12/2021
8445110207421,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0032485,22/11/2021,22/11/2021,22/11/2021,COD,RTO,Bengaluru_BagalurRoad_D (Karnataka),Delivered,2,2,C2,1599,1599,Bangalore,Karnataka,562157,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,06/12/2021,28/11/2021,29/11/2021,26/11/2021,26/11/2021,06/12/2021,22/11/2021,06/12/2021
8445110207152,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0032458,22/11/2021,22/11/2021,22/11/2021,COD,RTO,Kodad_OldNH9_D (Telangana),Delivered,1,1,D2,1599,1599,Kodad,Telangana,508204,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,06/12/2021,27/11/2021,29/11/2021,26/11/2021,26/11/2021,06/12/2021,22/11/2021,06/12/2021
