Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110259350,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0048415,12/01/2022,12/01/2022,12/01/2022,COD,In Transit,Hyderabad_ASRaoNgr_D (Telangana),RT,2,2,C2,1649,1649,Hyderabad,Telangana,500083,Delhi_Airport_GW (Delhi),X-ILL1F,Gurgaon_Tauru_GW (Haryana),Bag Received at Facility,FALSE,,19/01/2022,19/01/2022,15/01/2022,16/01/2022,17/01/2022,12/01/2022,22/01/2022
8445110252803,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0046813,06/01/2022,06/01/2022,06/01/2022,COD,Pending,Bengaluru_Nagarabhavi_D (Karnataka),RT,3,3,C2,1599,1599,Bangalore,Karnataka,560072,Delhi_Airport_GW (Delhi),X-DBL1F,Gurgaon_PalamVihar_R (Haryana),Added to Bag,FALSE,,12/01/2022,12/01/2022,10/01/2022,10/01/2022,12/01/2022,06/01/2022,20/01/2022
8445110258403,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0048320,12/01/2022,12/01/2022,12/01/2022,COD,Pending,Ahmedabad_Naroda_D (Gujarat),RT,1,1,C1,1649,1649,Ahmedabad,Gujarat,382433,Delhi_Airport_GW (Delhi),X-IBD3F,Gurgaon_PalamVihar_R (Haryana),Shipment Received at Facility,TRUE,,18/01/2022,18/01/2022,17/01/2022,17/01/2022,17/01/2022,12/01/2022,22/01/2022
8445110256060,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0047734,10/01/2022,10/01/2022,10/01/2022,COD,Pending,Ranipool_NH10_D (Sikkim),RT,1,1,E,1649,1649,Ranipool,Sikkim,737135,Delhi_Airport_GW (Delhi),X-DBL1F,Gurgaon_PalamVihar_R (Haryana),Added to Bag,TRUE,,18/01/2022,19/01/2022,14/01/2022,14/01/2022,14/01/2022,10/01/2022,22/01/2022
8445110257375,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0048045,11/01/2022,11/01/2022,11/01/2022,COD,Pending,Jalalpur_BibanMau_D (Uttar Pradesh),RT,1,1,D1,1649,1649,Jalalpur-UP,Uttar Pradesh,221207,Delhi_Airport_GW (Delhi),X-DBL1F,Gurgaon_PalamVihar_R (Haryana),Added to Bag,FALSE,,17/01/2022,18/01/2022,14/01/2022,14/01/2022,14/01/2022,11/01/2022,22/01/2022
8445110261472,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0049196,15/01/2022,15/01/2022,15/01/2022,COD,In Transit,Udaipur_TekriRd_D (Rajasthan),RT,1,1,D1,1649,1649,Udaipur,Rajasthan,313001,Delhi_Airport_GW (Delhi),X-DLL2F,Jaipur_Sez_GW (Rajasthan),Bag Added To Trip,FALSE,,20/01/2022,20/01/2022,18/01/2022,18/01/2022,18/01/2022,15/01/2022,22/01/2022
8445110257493,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0048057,11/01/2022,11/01/2022,11/01/2022,COD,Pending,Jaipur_VarunCly_DC (Rajasthan),RT,1,1,B,1649,1649,Jaipur,Rajasthan,302029,Delhi_Airport_GW (Delhi),X-DBL1F,Gurgaon_PalamVihar_R (Haryana),Added to Bag,FALSE,,16/01/2022,17/01/2022,13/01/2022,15/01/2022,15/01/2022,11/01/2022,22/01/2022
8445110258834,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0048363,12/01/2022,12/01/2022,12/01/2022,COD,Pending,Jhansi_Ansalcol_D (Uttar Pradesh),RT,1,1,B,1649,1649,Jhansi,Uttar Pradesh,284001,Delhi_Airport_GW (Delhi),X-DBL1F,Gurgaon_PalamVihar_R (Haryana),Added to Bag,FALSE,,14/01/2022,14/01/2022,14/01/2022,14/01/2022,14/01/2022,12/01/2022,22/01/2022
8445110252943,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0046827,06/01/2022,06/01/2022,06/01/2022,COD,Pending,Ghatgaon_Dhenkikot_D (Orissa),RT,3,3,D2,1599,1599,Ghatgaon,Orissa,758080,Delhi_Airport_GW (Delhi),X-DBL1F,Gurgaon_PalamVihar_R (Haryana),Added to Bag,TRUE,,12/01/2022,12/01/2022,10/01/2022,11/01/2022,13/01/2022,06/01/2022,22/01/2022
8445110255894,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0047717,10/01/2022,10/01/2022,10/01/2022,COD,In Transit,Bengaluru_sharadhanagar19_D (Karnataka),RT,1,1,C2,1649,1649,Bangalore,Karnataka,560062,Delhi_Airport_GW (Delhi),X-ILL1F,Gurgaon_Tauru_GW (Haryana),Bag Received at Facility,FALSE,,17/01/2022,18/01/2022,16/01/2022,16/01/2022,16/01/2022,10/01/2022,22/01/2022
