Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110203394,RAPPIDX SURFACE,Renu Enterprises,RPDX0032082,19/11/2021,19/11/2021,19/11/2021,COD,In Transit,Chumukeidma_2ndGate_D (Nagaland),Undelivered,0,,E,899,899,Chumukeidma,Nagaland,797115,Chandigarh_Raiprkln_C (Chandigarh),X-DLL2F,Tezpur_Sirajuli_I (Assam),Bag Added To Trip,FALSE,,29/11/2021,29/11/2021,,,,19/11/2021,26/11/2021
8445110203556,RAPPIDX SURFACE,Renu Enterprises,RPDX0032098,20/11/2021,20/11/2021,20/11/2021,COD,Delivered,Srinagar_KothiBagh_DPP (Jammu & Kashmir),Delivered,1,1,F,899,899,Srinagar,Jammu & Kashmir,190003,Chandigarh_Raiprkln_C (Chandigarh),EOD-38,Srinagar_KothiBagh_DPP (Jammu & Kashmir),Delivered to consignee,FALSE,25/11/2021,27/11/2021,27/11/2021,24/11/2021,25/11/2021,25/11/2021,20/11/2021,25/11/2021
8445110203313,RAPPIDX SURFACE,Renu Enterprises,RPDX0032043,16/11/2021,16/11/2021,16/11/2021,COD,Delivered,PortBlair_PNBBranch_D (Andaman & Nicobar),Delivered,1,1,F,899,899,Port Blair,Andaman & Nicobar,744101,Chandigarh_Raiprkln_C (Chandigarh),ED-100,PortBlair_PNBBranch_D (Andaman & Nicobar),Delivered to Consignee,FALSE,19/11/2021,25/11/2021,25/11/2021,18/11/2021,19/11/2021,19/11/2021,16/11/2021,19/11/2021
8445110202016,RAPPIDX SURFACE,Renu Enterprises,RPDX0031962,02/11/2021,02/11/2021,02/11/2021,COD,Delivered,PortBlair_Nayagon_D (Andaman & Nicobar),Delivered,1,1,F,899,899,Port Blair,Andaman & Nicobar,744106,Chandigarh_Raiprkln_C (Chandigarh),EOD-38,PortBlair_Nayagon_D (Andaman & Nicobar),Delivered to consignee,TRUE,24/11/2021,11/11/2021,16/11/2021,23/11/2021,24/11/2021,24/11/2021,02/11/2021,24/11/2021
8445110210210,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0033059,24/11/2021,25/11/2021,25/11/2021,COD,In Transit,CCU_Taratala (West Bengal),Undelivered,0,,C2,1599,1599,Kolkata,West Bengal,700044,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,30/11/2021,30/11/2021,,,,24/11/2021,26/11/2021
8445110209484,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0032807,23/11/2021,23/11/2021,23/11/2021,COD,In Transit,Daudnagar_Tarar_D (Bihar),Undelivered,0,,D1,1599,1599,Daudnagar,Bihar,824127,Delhi_Airport_GW (Delhi),X-DLL2F,Gaya_Kharanti_I (Bihar),Bag Added To Trip,FALSE,,27/11/2021,27/11/2021,,,,23/11/2021,26/11/2021
8445110205166,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0032259,22/11/2021,22/11/2021,22/11/2021,COD,In Transit,Tirupur_KangayamRd_D (Tamil Nadu),Undelivered,0,,D2,1599,1599,Tirupur,Tamil Nadu,641604,Delhi_Airport_GW (Delhi),X-ILL1F,Coimbatore_Kaniyur_H (Tamil Nadu),Bag Received at Facility,FALSE,,29/11/2021,30/11/2021,,,,22/11/2021,26/11/2021
8445110205564,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0032299,22/11/2021,22/11/2021,22/11/2021,COD,In Transit,Vijayawada_Patamata_D (Andhra Pradesh),Undelivered,0,,D2,1599,1599,Vijayawada,Andhra Pradesh,520010,Delhi_Airport_GW (Delhi),X-ILL1F,Vijayawada_Patamata_D (Andhra Pradesh),Bag Received at Facility,FALSE,,28/11/2021,29/11/2021,,,,22/11/2021,26/11/2021
8445110205892,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0032332,22/11/2021,22/11/2021,22/11/2021,COD,In Transit,Vijayawada_Patamata_D (Andhra Pradesh),Undelivered,0,,D2,1599,1599,Vijayawada,Andhra Pradesh,521151,Delhi_Airport_GW (Delhi),X-ILL1F,Vijayawada_Patamata_D (Andhra Pradesh),Bag Received at Facility,FALSE,,28/11/2021,29/11/2021,,,,22/11/2021,26/11/2021
8445110204632,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0032206,22/11/2021,22/11/2021,22/11/2021,COD,Pending,Vijayawada_RamNgr_D (Andhra Pradesh),Undelivered,0,,D2,1599,1599,Vijayawada,Andhra Pradesh,520010,Delhi_Airport_GW (Delhi),X-IBD3F,Vijayawada_RamNgr_D (Andhra Pradesh),Shipment Received at Facility,TRUE,,28/11/2021,29/11/2021,26/11/2021,,,22/11/2021,26/11/2021
