Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110264390,RAPPIDX SURFACE,Balaji Enterprises,RPDX0050037,01/02/2022,01/02/2022,01/02/2022,COD,Dispatched,Kanpur_AshokNagar_D (Uttar Pradesh),Undelivered,1,,B,1299,1299,Kanpur,Uttar Pradesh,208001,Delhi_Airport_GW (Delhi),X-DDD3FD,Kanpur_AshokNagar_D (Uttar Pradesh),Out for delivery,FALSE,,05/02/2022,07/02/2022,03/02/2022,03/02/2022,03/02/2022,01/02/2022,03/02/2022
8445110260400,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0048872,14/01/2022,14/01/2022,14/01/2022,COD,RTO,Dehradun_Nathanpur_D (Uttarakhand),Delivered,1,1,B,1649,1649,Dehradun,Uttarakhand,248001,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,25/01/2022,18/01/2022,19/01/2022,16/01/2022,16/01/2022,25/01/2022,14/01/2022,25/01/2022
8445110258381,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0048318,12/01/2022,12/01/2022,12/01/2022,COD,RTO,Khair_DhundhiNagla_D (Uttar Pradesh),Delivered,1,1,B,1649,1649,Khair,Uttar Pradesh,202141,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,25/01/2022,16/01/2022,16/01/2022,14/01/2022,14/01/2022,25/01/2022,12/01/2022,25/01/2022
8445110256211,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0047749,10/01/2022,10/01/2022,10/01/2022,COD,RTO,DalsinghSarai_Pagara_D (Bihar),Delivered,3,3,D1,1649,1649,Dalsingh Sarai,Bihar,848114,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,TRUE,25/01/2022,16/01/2022,17/01/2022,13/01/2022,16/01/2022,25/01/2022,10/01/2022,25/01/2022
8445110258484,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0048328,12/01/2022,12/01/2022,12/01/2022,COD,RTO,Udakishanganj_ClgChwk_D (Bihar),Delivered,2,2,D1,1649,1649,Udakishanganj,Bihar,852101,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,25/01/2022,18/01/2022,18/01/2022,15/01/2022,15/01/2022,25/01/2022,12/01/2022,25/01/2022
8445110261623,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0049211,15/01/2022,15/01/2022,15/01/2022,COD,RTO,Mumbai_GhansliSec5_D (Maharashtra),Delivered,1,1,C2,1649,1649,Navi mumbai,Maharashtra,400708,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,25/01/2022,20/01/2022,20/01/2022,18/01/2022,18/01/2022,25/01/2022,15/01/2022,25/01/2022
8445110259022,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0048382,12/01/2022,12/01/2022,12/01/2022,COD,RTO,Robertsganj_Ghurma_D (Uttar Pradesh),Delivered,1,1,D1,1649,1649,Robertsganj,Uttar Pradesh,231206,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,TRUE,25/01/2022,17/01/2022,17/01/2022,15/01/2022,15/01/2022,25/01/2022,12/01/2022,25/01/2022
8445110259092,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0048389,12/01/2022,12/01/2022,12/01/2022,COD,RTO,Parora_Narayanpur_DPP (Uttar Pradesh),Delivered,2,2,D1,1649,1649,Parora,Uttar Pradesh,231302,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,25/01/2022,19/01/2022,19/01/2022,15/01/2022,15/01/2022,25/01/2022,12/01/2022,25/01/2022
8445110252932,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0046826,06/01/2022,06/01/2022,06/01/2022,COD,RTO,Jabalpur_KashodhanNagar_D (Madhya Pradesh),Delivered,4,3,D1,1599,1599,Jabalpur,Madhya Pradesh,482002,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,TRUE,25/01/2022,10/01/2022,10/01/2022,09/01/2022,11/01/2022,25/01/2022,06/01/2022,25/01/2022
8445110262290,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0049446,17/01/2022,17/01/2022,17/01/2022,COD,RTO,Babrala_RajghatRd_D (Uttar Pradesh),Delivered,1,1,B,1649,1649,Babrala,Uttar Pradesh,244410,Delhi_Airport_GW (Delhi),RD-AC,Gurgaon_PalamVihar_R (Haryana),RETURN Accepted,FALSE,25/01/2022,22/01/2022,22/01/2022,19/01/2022,19/01/2022,25/01/2022,17/01/2022,25/01/2022
