Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110198015,RAPPIDX SURFACE,KD Enterprises,RPDX0031256,29/10/2021,30/10/2021,30/10/2021,COD,RTO,Mumbai_Diva_D (Maharashtra),Delivered,2,2,C2,1399,1399,Greater Thane,Maharashtra,421302,Noida_Sector63DBlock_C (Uttar Pradesh),RD-AC,Noida_Sector59_R (Uttar Pradesh),RETURN Accepted,FALSE,18/11/2021,05/11/2021,04/11/2021,02/11/2021,10/11/2021,18/11/2021,29/10/2021,18/11/2021
8445110200502,RAPPIDX SURFACE,KD Enterprises,RPDX0031524,30/10/2021,02/11/2021,02/11/2021,COD,RTO,Bavla_CrystalCmplx_D (Gujarat),Delivered,3,3,C1,1399,1399,Bavla,Gujarat,382213,Noida_Sector63DBlock_C (Uttar Pradesh),RD-AC,Noida_Sector59_R (Uttar Pradesh),RETURN Accepted,FALSE,18/11/2021,07/11/2021,07/11/2021,06/11/2021,06/11/2021,18/11/2021,30/10/2021,18/11/2021
8445110211540,RAPPIDX SURFACE,Renu Enterprises,RPDX0033192,25/11/2021,25/11/2021,25/11/2021,COD,In Transit,Ichalkaranji_TmbeMala_D (Maharashtra),Undelivered,0,,D2,899,899,Ichalkaranji,Maharashtra,416115,Chandigarh_Raiprkln_C (Chandigarh),X-ILL2F,Ichalkaranji_TmbeMala_D (Maharashtra),Trip Arrived,FALSE,,01/12/2021,01/12/2021,,,,25/11/2021,30/11/2021
8445110213905,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0033623,25/11/2021,26/11/2021,26/11/2021,COD,In Transit,Ichalkaranji_TmbeMala_D (Maharashtra),Undelivered,0,,D2,1599,1599,Ichalkaranji,Maharashtra,416115,Delhi_Airport_GW (Delhi),X-ILL2F,Ichalkaranji_TmbeMala_D (Maharashtra),Trip Arrived,FALSE,,01/12/2021,01/12/2021,,,,25/11/2021,30/11/2021
8445110214270,RAPPIDX SURFACE,Renu Enterprises,RPDX0035380,26/11/2021,26/11/2021,26/11/2021,COD,In Transit,Mumbai_Kalyan West _Dc (Maharashtra),Undelivered,0,,D2,899,899,Greater Thane,Maharashtra,421301,Chandigarh_Raiprkln_C (Chandigarh),X-DLL2F,Bhiwandi_Mega_GW (Maharashtra),Bag Added To Trip,FALSE,,01/12/2021,01/12/2021,,,,26/11/2021,30/11/2021
8445110211190,RAPPIDX SURFACE,Renu Enterprises,RPDX0033157,25/11/2021,25/11/2021,25/11/2021,COD,Delivered,Hyderabad_Jublehills_D (Telangana),Delivered,1,1,D2,899,899,Hyderabad,Telangana,500028,Chandigarh_Raiprkln_C (Chandigarh),EOD-38,Hyderabad_Jublehills_D (Telangana),Delivered to consignee,FALSE,28/11/2021,30/11/2021,30/11/2021,28/11/2021,28/11/2021,28/11/2021,25/11/2021,28/11/2021
8445110211142,RAPPIDX SURFACE,Renu Enterprises,RPDX0033152,25/11/2021,25/11/2021,25/11/2021,COD,Delivered,Gonda_VeerPur_D (Uttar Pradesh),Delivered,1,2,D1,899,899,Gonda,Uttar Pradesh,271002,Chandigarh_Raiprkln_C (Chandigarh),EOD-38,Gonda_VeerPur_D (Uttar Pradesh),Delivered to consignee,FALSE,28/11/2021,30/11/2021,30/11/2021,28/11/2021,28/11/2021,28/11/2021,25/11/2021,28/11/2021
8445110207572,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0032500,22/11/2021,22/11/2021,22/11/2021,COD,In Transit,Trichy_LingamNgr_D (Tamil Nadu),RT,1,1,D2,1599,1599,Tiruchi,Tamil Nadu,620017,Delhi_Airport_GW (Delhi),X-DLL2F,Tiruchi_Navalur_H (Tamil Nadu),Bag Added To Trip,FALSE,,29/11/2021,30/11/2021,26/11/2021,26/11/2021,26/11/2021,22/11/2021,28/11/2021
8445110208283,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0032571,22/11/2021,22/11/2021,22/11/2021,COD,Pending,Agra_Khndri_D (Uttar Pradesh),RT,2,2,B,1599,1599,Agra,Uttar Pradesh,282005,Delhi_Airport_GW (Delhi),X-IBD3F,Gurgaon_PalamVihar_R (Haryana),Shipment Received at Facility,TRUE,,26/11/2021,27/11/2021,24/11/2021,24/11/2021,25/11/2021,22/11/2021,29/11/2021
8445110208703,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0032638,23/11/2021,23/11/2021,23/11/2021,COD,Pending,Ooty_Davisdle_D (Tamil Nadu),Undelivered,1,2,D2,1599,1599,Ooty,Tamil Nadu,643006,Delhi_Airport_GW (Delhi),EOD-3,Ooty_Davisdle_D (Tamil Nadu),Delivery date rescheduled,FALSE,,29/11/2021,30/11/2021,28/11/2021,28/11/2021,28/11/2021,23/11/2021,28/11/2021
8445110208482,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0032616,23/11/2021,23/11/2021,23/11/2021,COD,Pending,Gurgaon_Central_D_16 (Haryana),RT,2,2,A,1599,1599,Gurgaon,Haryana,122022,Delhi_Airport_GW (Delhi),X-IBD3F,Gurgaon_PalamVihar_R (Haryana),Shipment Received at Facility,FALSE,,24/11/2021,24/11/2021,24/11/2021,24/11/2021,25/11/2021,23/11/2021,29/11/2021
8445110218993,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0036326,29/11/2021,29/11/2021,29/11/2021,COD,In Transit,Sabalgarh_SunherraRd_D (Madhya Pradesh),Undelivered,0,,B,1599,1599,Sabalgarh,Madhya Pradesh,476224,Delhi_Airport_GW (Delhi),X-DBL1F,Delhi_Airport_GW (Delhi),Added to Bag,FALSE,,02/12/2021,02/12/2021,,,,29/11/2021,30/11/2021
8445110208445,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0032612,23/11/2021,23/11/2021,23/11/2021,COD,Pending,Madhugiri_SBI_DPP (Karnataka),Undelivered,1,1,D2,1599,1599,Madhugiri,Karnataka,572132,Delhi_Airport_GW (Delhi),ST-107,Madhugiri_SBI_DPP (Karnataka),Reattempt as per Client's instruction,FALSE,,30/11/2021,30/11/2021,27/11/2021,27/11/2021,27/11/2021,23/11/2021,29/11/2021
8445110206216,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0032364,22/11/2021,22/11/2021,22/11/2021,COD,In Transit,Baramkela_ChndrprRd_DPP (Chhattisgarh),RT,1,1,D1,1599,1599,Baramkela,Chhattisgarh,496551,Delhi_Airport_GW (Delhi),DLYLH-105,Bilaspur_Parsada_I (Chhattisgarh),Vehicle delayed,FALSE,,27/11/2021,29/11/2021,26/11/2021,26/11/2021,26/11/2021,22/11/2021,30/11/2021
8445110210545,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0033092,24/11/2021,25/11/2021,25/11/2021,COD,In Transit,Ernakulam_Kureekad_D (Kerala),Undelivered,0,,D2,1599,1599,ERNAKAULM,Kerala,682301,Delhi_Airport_GW (Delhi),X-ILL1F,Ernakulam_Kureekad_D (Kerala),Bag Received at Facility,FALSE,,02/12/2021,03/12/2021,,,,24/11/2021,30/11/2021
8445110217851,RAPPIDX SURFACE,Renu Enterprises,RPDX0036212,29/11/2021,29/11/2021,29/11/2021,COD,In Transit,Kanpur_AshokNagar_D (Uttar Pradesh),Undelivered,0,,D1,899,899,Kanpur,Uttar Pradesh,208001,Chandigarh_Raiprkln_C (Chandigarh),X-DLL2F,Chandigarh_Rajpura_GW (Punjab),Bag Added To Trip,FALSE,,03/12/2021,03/12/2021,,,,29/11/2021,30/11/2021
8445110202005,RAPPIDX SURFACE,Renu Enterprises,RPDX0031961,02/11/2021,02/11/2021,02/11/2021,COD,RTO,Metpally_GunjRDPP_D (Telangana),Delivered,1,1,D2,899,899,Metpally,Telangana,505453,Chandigarh_Raiprkln_C (Chandigarh),RD-AC,Chandigarh_Raiprkln_C (Chandigarh),RETURN Accepted,FALSE,19/11/2021,09/11/2021,11/11/2021,08/11/2021,11/11/2021,19/11/2021,02/11/2021,19/11/2021
8445110203313,RAPPIDX SURFACE,Renu Enterprises,RPDX0032043,16/11/2021,16/11/2021,16/11/2021,COD,Delivered,PortBlair_PNBBranch_D (Andaman & Nicobar),Delivered,1,1,F,899,899,Port Blair,Andaman & Nicobar,744101,Chandigarh_Raiprkln_C (Chandigarh),ED-100,PortBlair_PNBBranch_D (Andaman & Nicobar),Delivered to Consignee,FALSE,19/11/2021,25/11/2021,25/11/2021,18/11/2021,19/11/2021,19/11/2021,16/11/2021,19/11/2021
8445110212236,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0033261,25/11/2021,25/11/2021,25/11/2021,COD,Pending,Siliguri_Ashram_DC (West Bengal),Undelivered,1,1,D1,1599,1599,Siliguri,West Bengal,734001,Delhi_Airport_GW (Delhi),EOD-69,Siliguri_Ashram_DC (West Bengal),Customer asked for open delivery,FALSE,,30/11/2021,30/11/2021,28/11/2021,28/11/2021,28/11/2021,25/11/2021,28/11/2021
8445110212575,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0033295,25/11/2021,26/11/2021,26/11/2021,COD,In Transit,Bassi_Thana_D (Rajasthan),Undelivered,0,,B,1599,1599,Bassi,Rajasthan,303301,Delhi_Airport_GW (Delhi),CS-CSL,Jaipur_Sez_I (Rajasthan),Received At Delhivery Hub,TRUE,,29/11/2021,01/12/2021,,,,25/11/2021,30/11/2021
8445110205041,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0032247,22/11/2021,22/11/2021,22/11/2021,COD,In Transit,Raipur_Telibandha_D (Chhattisgarh),RT,1,1,D1,1599,1599,Raipur,Chhattisgarh,492001,Delhi_Airport_GW (Delhi),DLYLH-105,Raipur_Guma_H (Chhattisgarh),Vehicle delayed,TRUE,,27/11/2021,29/11/2021,26/11/2021,26/11/2021,26/11/2021,22/11/2021,30/11/2021
8445110213916,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0033624,25/11/2021,26/11/2021,26/11/2021,COD,In Transit,Samarlakota_CHC_D (Andhra Pradesh),Undelivered,0,,D2,1599,1599,Samarlakota,Andhra Pradesh,533437,Delhi_Airport_GW (Delhi),X-ILL2F,Samarlakota_CHC_D (Andhra Pradesh),Trip Arrived,FALSE,,02/12/2021,02/12/2021,,,,25/11/2021,30/11/2021
