Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110066533,RAPPIDX SURFACE,Ignis Traders,RPDX009715,12/09/2021,13/09/2021,13/09/2021,COD,In Transit,Surendranagar_Wadhwan_D (Gujarat),RT,1,1,D1,649,649,Surendranagar,Gujarat,363002,Delhi_Airport_GW (Delhi),RT-108,Surendranagar_Wadhwan_D (Gujarat),No client instructions to Reattempt,FALSE,,17/09/2021,17/09/2021,17/09/2021,17/09/2021,17/09/2021,12/09/2021,19/09/2021
8445110066802,RAPPIDX SURFACE,Ignis Traders,RPDX009742,12/09/2021,13/09/2021,13/09/2021,COD,In Transit,Jalgaon_DC (Maharashtra),RT,2,2,D1,649,649,Jalgaon,Maharashtra,425001,Delhi_Airport_GW (Delhi),RT-108,Jalgaon_DC (Maharashtra),No client instructions to Reattempt,TRUE,,18/09/2021,18/09/2021,16/09/2021,16/09/2021,17/09/2021,12/09/2021,19/09/2021
8445110062742,RAPPIDX SURFACE,Ignis Traders,RPDX009336,12/09/2021,13/09/2021,13/09/2021,COD,In Transit,Pune_WadgaonBK_D (Maharashtra),RT,1,1,C2,649,649,Pune,Maharashtra,411041,Delhi_Airport_GW (Delhi),RT-108,Pune_WadgaonBK_D (Maharashtra),No client instructions to Reattempt,FALSE,,20/09/2021,20/09/2021,17/09/2021,17/09/2021,17/09/2021,12/09/2021,19/09/2021
8445110068235,RAPPIDX SURFACE,Ignis Traders,RPDX009885,12/09/2021,13/09/2021,13/09/2021,COD,In Transit,Gangapur_Ward6DPP_D (Rajasthan),RT,3,3,D1,649,649,Gangapur,Rajasthan,322201,Delhi_Airport_GW (Delhi),X-DLL2F,Gangapur_Ward6DPP_D (Rajasthan),Bag Added To Trip,FALSE,,16/09/2021,16/09/2021,15/09/2021,16/09/2021,18/09/2021,12/09/2021,20/09/2021
8445110097963,RAPPIDX SURFACE,Ignis Traders,RPDX0013277,15/09/2021,15/09/2021,15/09/2021,COD,In Transit,Silapathar_Junakinagar_D (Assam),Undelivered,0,,E,649,649,Silapathar,Assam,787059,Delhi_Airport_GW (Delhi),X-ILL1F,Silapathar_Junakinagar_D (Assam),Bag Received at Facility,FALSE,,22/09/2021,23/09/2021,,,,15/09/2021,20/09/2021
8445110097974,RAPPIDX SURFACE,Ignis Traders,RPDX0013278,15/09/2021,15/09/2021,15/09/2021,COD,Pending,Aurangabad (Maharashtra),Undelivered,0,,D1,649,649,Aurangabad,Maharashtra,431001,Delhi_Airport_GW (Delhi),X-IBD3F,Aurangabad (Maharashtra),Shipment Received at Facility,FALSE,,21/09/2021,22/09/2021,20/09/2021,,,15/09/2021,20/09/2021
8445110097311,RAPPIDX SURFACE,Ignis Traders,RPDX0013212,15/09/2021,15/09/2021,15/09/2021,COD,Pending,Barpeta_NorthDPP_D (Assam),Undelivered,0,,E,649,649,Barpeta,Assam,781317,Delhi_Airport_GW (Delhi),X-IBD3F,Barpeta_NorthDPP_D (Assam),Shipment Received at Facility,FALSE,,21/09/2021,22/09/2021,20/09/2021,,,15/09/2021,20/09/2021
8445110076860,RAPPIDX SURFACE,Renu Enterprises,RPDX0010891,13/09/2021,13/09/2021,13/09/2021,COD,In Transit,Gondal_MahadevBari_DPP (Gujarat),RT,1,1,D2,1698,1698,Gondal,Gujarat,360311,Chandigarh_Raiprkln_C (Chandigarh),DLYLH-105,Ahmedabad_AslaliRoad_GW (Gujarat),Vehicle delayed,FALSE,,18/09/2021,18/09/2021,17/09/2021,17/09/2021,17/09/2021,13/09/2021,20/09/2021
8445110076845,RAPPIDX SURFACE,Renu Enterprises,RPDX0010889,13/09/2021,13/09/2021,13/09/2021,COD,In Transit,Ahmedabad_Rakhiyal_D (Gujarat),RT,1,1,D1,1698,1698,Ahmedabad,Gujarat,380001,Chandigarh_Raiprkln_C (Chandigarh),DLYLH-105,Ahmedabad_AslaliRoad_GW (Gujarat),Vehicle delayed,FALSE,,17/09/2021,17/09/2021,16/09/2021,16/09/2021,16/09/2021,13/09/2021,20/09/2021
8445110047736,RAPPIDX SURFACE,Ignis Traders,RPDX007187,08/09/2021,08/09/2021,08/09/2021,COD,In Transit,Basti_Central_D_2 (Uttar Pradesh),RT,3,3,D1,649,649,Basti,Uttar Pradesh,272301,Delhi_Airport_GW (Delhi),X-DBL1F,Gurgaon_Tauru_RP (Haryana),Added to Bag,FALSE,,12/09/2021,12/09/2021,11/09/2021,14/09/2021,16/09/2021,08/09/2021,20/09/2021
8445110096305,RAPPIDX SURFACE,Renu Enterprises,RPDX0012887,14/09/2021,14/09/2021,14/09/2021,COD,In Transit,Kolar_Jayanagara_D (Karnataka),Undelivered,0,,D2,1698,1698,Kolar,Karnataka,563102,Chandigarh_Raiprkln_C (Chandigarh),X-ILL1F,Kolar_Jayanagara_D (Karnataka),Bag Received at Facility,FALSE,,19/09/2021,19/09/2021,,,,14/09/2021,20/09/2021
