Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110020145,RAPPIDX SURFACE,VJ Enterprises,RPDX005452,08/09/2021,08/09/2021,08/09/2021,COD,RTO,Amalapuram_KNFrd_D (Andhra Pradesh),Delivered,1,1,D2,1699,1699,Amalapuram,Andhra Pradesh,533201,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,17/09/2021,14/09/2021,14/09/2021,12/09/2021,12/09/2021,17/09/2021,08/09/2021,17/09/2021
8445110085956,RAPPIDX SURFACE,Ignis Traders,RPDX0011855,14/09/2021,14/09/2021,14/09/2021,COD,Delivered,Chandauli_ShubsNGR_D (Uttar Pradesh),Delivered,1,1,D1,649,649,Chandauli,Uttar Pradesh,232102,Delhi_Airport_GW (Delhi),EOD-38,Chandauli_ShubsNGR_D (Uttar Pradesh),Delivered to consignee,FALSE,17/09/2021,18/09/2021,20/09/2021,17/09/2021,17/09/2021,17/09/2021,14/09/2021,17/09/2021
8445110095745,RAPPIDX SURFACE,Renu Enterprises,RPDX0012831,14/09/2021,14/09/2021,14/09/2021,COD,Delivered,Patna_West (Bihar),Delivered,1,1,D1,1698,1698,Patna,Bihar,800024,Chandigarh_Raiprkln_C (Chandigarh),EOD-38,Patna_West (Bihar),Delivered to consignee,TRUE,17/09/2021,19/09/2021,19/09/2021,17/09/2021,17/09/2021,17/09/2021,14/09/2021,17/09/2021
8445110094452,RAPPIDX SURFACE,Ignis Traders,RPDX0012704,14/09/2021,14/09/2021,14/09/2021,COD,Delivered,JognderNgr_Dhelu_D (Himachal Pradesh),Delivered,1,1,E,649,649,Joginder Nagar,Himachal Pradesh,175015,Delhi_Airport_GW (Delhi),EOD-38,JognderNgr_Dhelu_D (Himachal Pradesh),Delivered to consignee,FALSE,17/09/2021,17/09/2021,18/09/2021,17/09/2021,17/09/2021,17/09/2021,14/09/2021,17/09/2021
8445110086903,RAPPIDX SURFACE,Ignis Traders,RPDX0011950,14/09/2021,14/09/2021,14/09/2021,COD,Delivered,Ajmer_Jyotingr_D (Rajasthan),Delivered,1,1,B,649,649,Ajmer,Rajasthan,305001,Delhi_Airport_GW (Delhi),EOD-135,Ajmer_Jyotingr_D (Rajasthan),Delivered to consignee - OTP Verified delivery,FALSE,17/09/2021,17/09/2021,18/09/2021,17/09/2021,17/09/2021,17/09/2021,14/09/2021,17/09/2021
8445110056744,RAPPIDX SURFACE,Ignis Traders,RPDX008736,12/09/2021,13/09/2021,13/09/2021,COD,Delivered,Mount Road (Tamil Nadu),Delivered,1,1,C2,649,649,Chennai,Tamil Nadu,600024,Delhi_Airport_GW (Delhi),EOD-38,Mount Road (Tamil Nadu),Delivered to consignee,FALSE,17/09/2021,18/09/2021,18/09/2021,17/09/2021,17/09/2021,17/09/2021,12/09/2021,17/09/2021
8445110096633,RAPPIDX SURFACE,Renu Enterprises,RPDX0012920,14/09/2021,14/09/2021,14/09/2021,COD,Delivered,Dehradun_Nathanpur_D (Uttarakhand),Delivered,1,1,B,1638,1638,Dehradun,Uttarakhand,248001,Chandigarh_Raiprkln_C (Chandigarh),EOD-38,Dehradun_Nathanpur_D (Uttarakhand),Delivered to consignee,TRUE,17/09/2021,17/09/2021,17/09/2021,17/09/2021,17/09/2021,17/09/2021,14/09/2021,17/09/2021
8445110080231,RAPPIDX SURFACE,Ignis Traders,RPDX0011283,14/09/2021,14/09/2021,14/09/2021,COD,Delivered,Jamnagar_KomlNgr_D (Gujarat),Delivered,1,1,D1,649,649,Jamnagar,Gujarat,361005,Delhi_Airport_GW (Delhi),EOD-135,Jamnagar_KomlNgr_D (Gujarat),Delivered to consignee - OTP Verified delivery,FALSE,17/09/2021,18/09/2021,20/09/2021,17/09/2021,17/09/2021,17/09/2021,14/09/2021,17/09/2021
8445110064046,RAPPIDX SURFACE,Ignis Traders,RPDX009466,12/09/2021,13/09/2021,13/09/2021,COD,Delivered,Malda_MangalBari_D (West Bengal),Delivered,1,2,D2,649,649,Malda,West Bengal,732101,Delhi_Airport_GW (Delhi),EOD-38,Malda_MangalBari_D (West Bengal),Delivered to consignee,TRUE,17/09/2021,18/09/2021,18/09/2021,17/09/2021,17/09/2021,17/09/2021,12/09/2021,17/09/2021
8445110018572,RAPPIDX SURFACE,Renu Enterprises,RPDX005172,08/09/2021,09/09/2021,09/09/2021,COD,Delivered,Bengaluru_West_D_9 (Karnataka),Delivered,2,2,D2,1698,1698,Bangalore,Karnataka,560058,Chandigarh_Raiprkln_C (Chandigarh),EOD-38,Bengaluru_West_D_9 (Karnataka),Delivered to consignee,TRUE,17/09/2021,16/09/2021,16/09/2021,13/09/2021,14/09/2021,17/09/2021,08/09/2021,17/09/2021
