Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110112431,RAPPIDX SURFACE,Renu Enterprises,RPDX0015349,21/09/2021,21/09/2021,21/09/2021,COD,Pending,Hyderabad_Punjagutta_D (Telangana),Undelivered,0,,D2,1689,1689,Hyderabad,Telangana,500045,Chandigarh_Raiprkln_C (Chandigarh),DLYRG-132,Hyderabad_Punjagutta_D (Telangana),"Delay due to Infra issues (IT, Power, HQ, Dock)",FALSE,,27/09/2021,27/09/2021,26/09/2021,,,21/09/2021,26/09/2021
8445110125801,RAPPIDX SURFACE,Renu Enterprises,RPDX0017985,24/09/2021,24/09/2021,24/09/2021,COD,In Transit,Ramnthpurm_TnhbBlkC_D (Tamil Nadu),Undelivered,0,,D2,1689,1689,Ramanathapuram,Tamil Nadu,623501,Chandigarh_Raiprkln_C (Chandigarh),DLYLH-105,Chandigarh_Rajpura_GW (Punjab),Vehicle delayed,FALSE,,30/09/2021,30/09/2021,,,,24/09/2021,26/09/2021
8445110080286,RAPPIDX SURFACE,Ignis Traders,RPDX0011288,14/09/2021,14/09/2021,14/09/2021,COD,In Transit,Sindagi_BandalRd_D (Karnataka),RT,1,1,D2,649,649,Sindagi,Karnataka,586128,Delhi_Airport_GW (Delhi),X-DBL1F,Gurgaon_Tauru_RP (Haryana),Added to Bag,FALSE,,20/09/2021,21/09/2021,19/09/2021,19/09/2021,19/09/2021,14/09/2021,26/09/2021
8445110106610,RAPPIDX SURFACE,Ignis Traders 2,RPDX0014406,18/09/2021,18/09/2021,18/09/2021,COD,Delivered,Malerkotla_DC (Punjab),Delivered,1,1,B,1399,1399,Malerkotla,Punjab,148023,Delhi_Airport_GW (Delhi),EOD-38,Malerkotla_DC (Punjab),Delivered to consignee,FALSE,20/09/2021,20/09/2021,21/09/2021,20/09/2021,20/09/2021,20/09/2021,18/09/2021,20/09/2021
8445110105766,RAPPIDX SURFACE,Ignis Traders 2,RPDX0014335,18/09/2021,18/09/2021,18/09/2021,COD,In Transit,Bhubaneshwar_DharmaVhr_D (Orissa),RT,2,2,D2,1399,1399,Bhubaneshwar,Orissa,751019,Delhi_Airport_GW (Delhi),X-DLL2F,Bhubaneshwar_Central_H_6 (Orissa),Bag Added To Trip,FALSE,,23/09/2021,24/09/2021,22/09/2021,22/09/2021,24/09/2021,18/09/2021,26/09/2021
8445110059161,RAPPIDX SURFACE,Ignis Traders,RPDX008978,12/09/2021,13/09/2021,13/09/2021,COD,In Transit,Guwahati_ShyamNgr_D (Assam),RT,2,2,E,649,649,Guwahati,Assam,781037,Delhi_Airport_GW (Delhi),X-DLL2F,Guwahati_Kaikchi_GW (Assam),Bag Added To Trip,FALSE,,19/09/2021,21/09/2021,18/09/2021,20/09/2021,24/09/2021,12/09/2021,26/09/2021
8445110105641,RAPPIDX SURFACE,Ignis Traders 2,RPDX0014323,18/09/2021,18/09/2021,18/09/2021,COD,In Transit,Rourkela (Orissa),RT,1,1,D1,1399,1399,Rourkela,Orissa,769002,Delhi_Airport_GW (Delhi),X-DLL2F,Raipur_Guma_H (Chhattisgarh),Bag Added To Trip,TRUE,,22/09/2021,23/09/2021,22/09/2021,22/09/2021,22/09/2021,18/09/2021,26/09/2021
8445110125786,RAPPIDX SURFACE,Renu Enterprises,RPDX0017983,24/09/2021,24/09/2021,24/09/2021,COD,In Transit,Ongole_Satynryana_D (Andhra Pradesh),Undelivered,0,,D2,1689,1689,Ongole,Andhra Pradesh,523001,Chandigarh_Raiprkln_C (Chandigarh),X-DLL2F,Hyderabad_Shamshbd_H (Telangana),Bag Added To Trip,FALSE,,29/09/2021,29/09/2021,,,,24/09/2021,28/09/2021
8445110131644,RAPPIDX SURFACE,Ignis Traders 2,RPDX0019465,27/09/2021,27/09/2021,27/09/2021,COD,In Transit,Amritsar_GTroad_D (Punjab),Undelivered,0,,B,1399,1399,Amritsar,Punjab,143022,Delhi_Airport_GW (Delhi),X-ILL2F,Chandigarh_Rajpura_GW (Punjab),Trip Arrived,TRUE,,30/09/2021,01/10/2021,,,,27/09/2021,28/09/2021
8445110013510,RAPPIDX SURFACE,VJ Enterprises,RPDX004144,06/09/2021,06/09/2021,06/09/2021,COD,RTO,Jairampur_Mdiclcly_D (Arunachal Pradesh),Delivered,2,2,E,1699,1699,Jairampur,Arunachal Pradesh,792121,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,FALSE,27/09/2021,13/09/2021,14/09/2021,11/09/2021,11/09/2021,27/09/2021,06/09/2021,27/09/2021
8445110096084,RAPPIDX SURFACE,Renu Enterprises,RPDX0012865,14/09/2021,14/09/2021,14/09/2021,COD,In Transit,Georai_Bazarrd_D (Maharashtra),RT,1,1,D2,1698,1698,Georai,Maharashtra,431127,Chandigarh_Raiprkln_C (Chandigarh),DLYLH-105,Surat_Kacholi_GW (Gujarat),Vehicle delayed,FALSE,,20/09/2021,20/09/2021,19/09/2021,20/09/2021,20/09/2021,14/09/2021,28/09/2021
8445110062856,RAPPIDX SURFACE,Ignis Traders,RPDX009347,12/09/2021,13/09/2021,13/09/2021,COD,In Transit,Haflong_Dmahasao_D (Assam),RT,3,3,E,649,649,Haflong,Assam,788819,Delhi_Airport_GW (Delhi),X-DBL1F,Haflong_Dmahasao_D (Assam),Added to Bag,FALSE,,21/09/2021,21/09/2021,19/09/2021,20/09/2021,24/09/2021,12/09/2021,27/09/2021
