Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110005143,RAPPIDX SURFACE,VJ Enterprises,RPDX001509,2021-07-19 12:38:05.000,2021-07-19 19:40:09.000,2021-07-19 19:40:09.000,COD,In Transit,Bhopal_Kolar Mandakni (Madhya Pradesh),RT,1,1,D1,2299.0,2299.0,Bhopal,Madhya Pradesh,462042,Delhi_Airport_GW (Delhi),RT-108,Bhopal_Kolar Mandakni (Madhya Pradesh),No client instructions to Reattempt,False,,2021-07-22 23:59:59.000,2021-07-22 23:59:59.000,2021-07-22 09:27:25.000,2021-07-22 09:49:29.000,2021-07-22 09:49:29.000,2021-07-19 12:38:05.000,2021-07-24 06:09:20.000
8445110005876,RAPPIDX SURFACE,VJ Enterprises,RPDX001612,2021-07-21 10:03:07.000,2021-07-21 16:46:42.000,2021-07-21 16:46:42.000,COD,In Transit,Nagpur_Jaripatka_D (Maharashtra),Undelivered,0,,D1,2299.0,2299.0,Nagpur,Maharashtra,440017,Delhi_Airport_GW (Delhi),X-DLL2F,Nagpur_Nimji_H (Maharashtra),Bag Added To Trip,False,,2021-07-26 23:59:59.000,2021-07-27 23:59:59.000,,,,2021-07-21 10:03:08.000,2021-07-24 05:47:19.000
8445110005353,RAPPIDX SURFACE,VJ Enterprises,RPDX001530,2021-07-19 12:38:17.000,2021-07-19 19:41:01.000,2021-07-19 19:41:01.000,COD,Delivered,Jodhpur_BasniPhase2_D (Rajasthan),Delivered,1,1,D1,2299.0,2299.0,Jodhpur,Rajasthan,342001,Delhi_Airport_GW (Delhi),EOD-38,Jodhpur_BasniPhase2_D (Rajasthan),Delivered to consignee,False,2021-07-21 09:26:07.000,2021-07-22 23:59:59.000,2021-07-22 23:59:59.000,2021-07-21 05:13:03.000,2021-07-21 08:14:17.000,2021-07-21 08:14:17.000,2021-07-19 12:38:17.000,2021-07-21 09:26:00.000
8445110004723,RAPPIDX SURFACE,VJ Enterprises,RPDX001467,2021-07-19 12:37:33.000,2021-07-19 19:40:10.000,2021-07-19 19:40:10.000,COD,Pending,Durgapur_Bamunara_D (West Bengal),Undelivered,1,1,D1,2299.0,2299.0,Durgapur,West Bengal,713208,Delhi_Airport_GW (Delhi),ST-115,Durgapur_Bamunara_D (West Bengal),Agent remark verified,False,,2021-07-23 23:59:59.000,2021-07-23 23:59:59.000,2021-07-23 07:10:31.000,2021-07-23 08:05:14.000,2021-07-23 08:05:14.000,2021-07-19 12:37:34.000,2021-07-23 10:41:59.000
8445110004771,RAPPIDX SURFACE,VJ Enterprises,RPDX001472,2021-07-19 12:37:36.000,2021-07-19 19:40:34.000,2021-07-19 19:40:34.000,COD,Pending,Bharwari_Tejmati_D (Uttar Pradesh),Undelivered,1,1,D1,2299.0,2299.0,Manjhanpur,Uttar Pradesh,212207,Delhi_Airport_GW (Delhi),ST-115,Bharwari_Tejmati_D (Uttar Pradesh),Agent remark verified,False,,2021-07-24 23:59:59.000,2021-07-24 23:59:59.000,2021-07-22 08:31:22.000,2021-07-22 08:36:00.000,2021-07-22 08:36:00.000,2021-07-19 12:37:37.000,2021-07-22 19:39:50.000
8445110005972,RAPPIDX SURFACE,VJ Enterprises,RPDX001622,2021-07-21 10:03:13.000,2021-07-21 16:46:00.000,2021-07-21 16:46:00.000,COD,In Transit,Kolkata_ArabindaNgr_D (West Bengal),Undelivered,0,,C2,2299.0,2299.0,Kolkata,West Bengal,700045,Delhi_Airport_GW (Delhi),X-ILL2F,Kolkata_ArabindaNgr_D (West Bengal),Trip Arrived,False,,2021-07-25 23:59:59.000,2021-07-26 23:59:59.000,,,,2021-07-21 10:03:13.000,2021-07-24 06:44:40.000
8445110004406,RAPPIDX SURFACE,VJ Enterprises,RPDX001213,2021-07-17 10:58:49.000,2021-07-17 17:44:23.000,2021-07-17 17:44:23.000,COD,Pending,Muzaffrngr_MhmodNgr_D (Uttar Pradesh),RT,2,2,B,2299.0,2299.0,Muzaffarnagar,Uttar Pradesh,251310,Delhi_Airport_GW (Delhi),X-IBD3F,Delhi_North_R_8 (Delhi),Shipment Received at Facility,True,,2021-07-19 23:59:59.000,2021-07-20 23:59:59.000,2021-07-19 08:59:28.000,2021-07-19 09:33:01.000,2021-07-20 08:13:31.000,2021-07-17 10:58:49.000,2021-07-23 19:31:39.000
8445110005316,RAPPIDX SURFACE,VJ Enterprises,RPDX001526,2021-07-19 12:38:15.000,2021-07-19 19:41:07.000,2021-07-19 19:41:07.000,COD,In Transit,Gadarwara_MPward_D (Madhya Pradesh),RT,1,1,D1,2299.0,2299.0,Gadarwara,Madhya Pradesh,487551,Delhi_Airport_GW (Delhi),RT-108,Gadarwara_MPward_D (Madhya Pradesh),No client instructions to Reattempt,False,,2021-07-24 23:59:59.000,2021-07-24 23:59:59.000,2021-07-22 10:37:11.000,2021-07-22 10:58:21.000,2021-07-22 10:58:21.000,2021-07-19 12:38:15.000,2021-07-24 06:09:20.000
8445110005036,RAPPIDX SURFACE,VJ Enterprises,RPDX001498,2021-07-19 12:37:59.000,2021-07-19 19:40:22.000,2021-07-19 19:40:22.000,COD,Pending,Dahod_GirdharNagar_D (Gujarat),Undelivered,2,2,D1,2299.0,2299.0,Dahod,Gujarat,389151,Delhi_Airport_GW (Delhi),EOD-111,Dahod_GirdharNagar_D (Gujarat),Consignee opened the package and refused to accept,False,2021-07-22 12:05:32.000,2021-07-23 23:59:59.000,2021-07-23 23:59:59.000,2021-07-22 09:15:49.000,2021-07-22 10:26:16.000,2021-07-23 11:06:09.000,2021-07-19 12:37:59.000,2021-07-23 17:48:46.000
8445110005784,RAPPIDX SURFACE,VJ Enterprises,RPDX001603,2021-07-21 10:03:02.000,2021-07-21 16:46:14.000,2021-07-21 16:46:14.000,COD,In Transit,Ikauna_Hndutmple_D (Uttar Pradesh),Undelivered,0,,D1,2299.0,2299.0,Ikauna,Uttar Pradesh,271821,Delhi_Airport_GW (Delhi),X-ILL1F,Ikauna_Hndutmple_D (Uttar Pradesh),Bag Received at Facility,False,,2021-07-27 23:59:59.000,2021-07-28 23:59:59.000,,,,2021-07-21 10:03:03.000,2021-07-24 06:41:14.000
