Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110076554,RAPPIDX SURFACE,Renu Enterprises,RPDX0010860,13/09/2021,13/09/2021,13/09/2021,COD,In Transit,Puri_Central_D_2 (Orissa),Undelivered,0,,D2,1698,1698,Puri,Orissa,752001,Chandigarh_Raiprkln_C (Chandigarh),X-ILL2F,Puri_Central_D_2 (Orissa),Trip Arrived,FALSE,,19/09/2021,19/09/2021,,,,13/09/2021,17/09/2021
8445110042512,RAPPIDX SURFACE,Ignis Traders,RPDX006665,08/09/2021,08/09/2021,08/09/2021,COD,In Transit,Udaipur_TekriRd_D (Rajasthan),RT,1,1,D1,649,649,Udaipur,Rajasthan,313001,Delhi_Airport_GW (Delhi),X-ILL1F,Gurgaon_Tauru_GW (Haryana),Bag Received at Facility,FALSE,,12/09/2021,12/09/2021,13/09/2021,13/09/2021,13/09/2021,08/09/2021,17/09/2021
8445110091405,RAPPIDX SURFACE,Ignis Traders,RPDX0012400,14/09/2021,14/09/2021,14/09/2021,COD,In Transit,Srinagar_KothiBagh_DPP (Jammu & Kashmir),Undelivered,0,,F,649,649,Srinagar,Jammu & Kashmir,190010,Delhi_Airport_GW (Delhi),X-ILL1F,Srinagar_Pampore_I (Jammu & Kashmir),Bag Received at Facility,FALSE,,23/09/2021,24/09/2021,,,,14/09/2021,16/09/2021
8445110092083,RAPPIDX SURFACE,Ignis Traders,RPDX0012468,14/09/2021,14/09/2021,14/09/2021,COD,In Transit,Srinagar_KothiBagh_DPP (Jammu & Kashmir),Undelivered,0,,F,649,649,Srinagar,Jammu & Kashmir,190001,Delhi_Airport_GW (Delhi),X-ILL1F,Srinagar_Pampore_I (Jammu & Kashmir),Bag Received at Facility,FALSE,,23/09/2021,24/09/2021,,,,14/09/2021,16/09/2021
8445110017393,RAPPIDX SURFACE,Renu Enterprises,RPDX005045,07/09/2021,07/09/2021,07/09/2021,COD,In Transit,CCU_South (West Bengal),RT,1,1,D2,1698,1698,Kolkata,West Bengal,700026,Chandigarh_Raiprkln_C (Chandigarh),X-ILL1F,Chandigarh_Rajpura_GW (Punjab),Bag Received at Facility,FALSE,,12/09/2021,12/09/2021,11/09/2021,11/09/2021,11/09/2021,07/09/2021,17/09/2021
8445110067185,RAPPIDX SURFACE,Ignis Traders,RPDX009780,12/09/2021,13/09/2021,13/09/2021,COD,In Transit,SawaiMadhopur_Kherda_D (Rajasthan),RT,1,1,B,649,649,Sawai Madhopur,Rajasthan,322001,Delhi_Airport_GW (Delhi),X-DLL2F,SawaiMadhopur_Kherda_D (Rajasthan),Bag Added To Trip,FALSE,,15/09/2021,15/09/2021,15/09/2021,15/09/2021,15/09/2021,12/09/2021,17/09/2021
8445110043724,RAPPIDX SURFACE,Ignis Traders,RPDX006786,08/09/2021,08/09/2021,08/09/2021,COD,Pending,Hajipur_Bank_D (Bihar),Undelivered,1,1,D1,649,649,Hajipur,Bihar,844102,Delhi_Airport_GW (Delhi),EOD-3,Hajipur_Bank_D (Bihar),Delivery date rescheduled,FALSE,,14/09/2021,14/09/2021,12/09/2021,14/09/2021,14/09/2021,08/09/2021,14/09/2021
8445110042140,RAPPIDX SURFACE,Ignis Traders,RPDX006628,08/09/2021,08/09/2021,08/09/2021,COD,In Transit,Bengaluru_Banshkri_DC (Karnataka),RT,1,1,C2,649,649,Bangalore,Karnataka,560041,Delhi_Airport_GW (Delhi),X-DLL2F,Bangalore_Soukyaroad_GW (Karnataka),Bag Added To Trip,FALSE,,14/09/2021,14/09/2021,12/09/2021,12/09/2021,12/09/2021,08/09/2021,15/09/2021
8445110039782,RAPPIDX SURFACE,Ignis Traders,RPDX006392,08/09/2021,08/09/2021,08/09/2021,COD,Delivered,Sarthebari_Tmlichp_D (Assam),Delivered,1,1,E,649,649,Sarthebari,Assam,781305,Delhi_Airport_GW (Delhi),EOD-38,Sarthebari_Tmlichp_D (Assam),Delivered to consignee,FALSE,15/09/2021,14/09/2021,14/09/2021,14/09/2021,15/09/2021,15/09/2021,08/09/2021,15/09/2021
8445110015105,RAPPIDX SURFACE,Renu Enterprises,RPDX004587,06/09/2021,06/09/2021,06/09/2021,COD,Pending,Vizag _NAD (Andhra Pradesh),Undelivered,0,,D2,1698,1698,Visakhapatnam,Andhra Pradesh,530028,Chandigarh_Raiprkln_C (Chandigarh),U-PMA,Vizag _NAD (Andhra Pradesh),Package Confirmed Not Missing in Audit,FALSE,,15/09/2021,15/09/2021,12/09/2021,,,06/09/2021,15/09/2021
