Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110001713,RAPPIDX SURFACE,Loan 1st,RPDX00372,54:25.0,46:41.0,46:41.0,COD,In Transit,Balasore_Ganeshwr_D (Orissa),Undelivered,0,,D2,1699,1699,Balasore,Orissa,756060,Delhi_Airport_GW (Delhi),X-ILL2F,Balasore_Ganeshwr_D (Orissa),Trip Arrived,FALSE,,59:59.0,59:59.0,,,,54:25.0,00:37.0
8445110001724,RAPPIDX SURFACE,Loan 1st,RPDX00374,54:59.0,47:10.0,47:10.0,COD,In Transit,Gangoh_BypassRd_DPP (Uttar Pradesh),RT,1,1,B,1699,1699,Gangoh,Uttar Pradesh,247342,Delhi_Airport_GW (Delhi),RT-108,Gangoh_BypassRd_DPP (Uttar Pradesh),No client instructions to Reattempt,FALSE,,59:59.0,59:59.0,35:19.0,45:23.0,45:23.0,54:59.0,41:09.0
8445110001735,RAPPIDX SURFACE,J2J TRADE SOLUTIONS,RPDX00377,29:45.0,26:50.0,26:50.0,COD,In Transit,Bhopalgarh_Darmi_DPP (Rajasthan),RT,1,1,D1,1699,1699,Bhopalgarh,Rajasthan,342603,Delhi_Airport_GW (Delhi),X-DBL1F,Bhopalgarh_Darmi_DPP (Rajasthan),Added to Bag,FALSE,,59:59.0,59:59.0,39:56.0,39:12.0,39:12.0,29:45.0,56:33.0
8445110001746,RAPPIDX SURFACE,Loan 1st,RPDX00401,42:06.0,43:20.0,43:20.0,COD,In Transit,Soro_Mangalpur_D (Orissa),Undelivered,0,,D2,1699,1699,Soro,Orissa,756042,Delhi_Airport_GW (Delhi),X-DLL2F,Gurgaon_Tauru_GW (Haryana),Bag Added To Trip,FALSE,,59:59.0,59:59.0,,,,42:06.0,33:21.0
8445110002100,RAPPIDX SURFACE,J2J TRADE SOLUTIONS,RPDX00402,29:07.0,27:01.0,27:01.0,COD,In Transit,Gopibalbpr_GopiDPP_DC (West Bengal),RT,1,1,D2,1499,1499,Gopiballabpur,West Bengal,721125,Delhi_Airport_GW (Delhi),X-DLL2F,Gopibalbpr_GopiDPP_DC (West Bengal),Bag Added To Trip,FALSE,,59:59.0,59:59.0,18:10.0,20:08.0,20:08.0,29:07.0,54:35.0
8445110002111,RAPPIDX SURFACE,Loan 1st,RPDX00403,54:55.0,47:18.0,47:18.0,COD,In Transit,Ranipool_NH10_D (Sikkim),Undelivered,0,,E,1699,1699,Ranipool,Sikkim,737135,Delhi_Airport_GW (Delhi),X-ILL1F,Ranipool_NH10_D (Sikkim),Bag Received at Facility,FALSE,,59:59.0,59:59.0,,,,54:55.0,26:40.0
8445110002192,RAPPIDX SURFACE,J2J TRADE SOLUTIONS,RPDX00409,29:53.0,26:09.0,26:09.0,COD,Pending,Kudra_Wadar_D (Bihar),Undelivered,1,1,D1,1699,1699,Kudra,Bihar,821108,Delhi_Airport_GW (Delhi),ST-107,Kudra_Wadar_D (Bihar),Reattempt as per Client's instruction,FALSE,,59:59.0,59:59.0,22:54.0,06:34.0,06:34.0,29:53.0,10:11.0
8445110002225,RAPPIDX SURFACE,Loan 1st,RPDX00420,42:02.0,43:41.0,43:41.0,COD,In Transit,Laxmangarh_Lilee_D (Rajasthan),Undelivered,0,,B,1699,1699,Laxmangarh,Rajasthan,301021,Delhi_Airport_GW (Delhi),X-ILL1F,Laxmangarh_Lilee_D (Rajasthan),Bag Received at Facility,FALSE,,59:59.0,59:59.0,,,,42:02.0,49:38.0
8445110002236,RAPPIDX SURFACE,J2J TRADE SOLUTIONS,RPDX00421,07:30.0,26:58.0,26:58.0,COD,In Transit,Masaurhi_PatelNgr_DPP (Bihar),Undelivered,1,1,D1,1499,1499,Masaurhi,Bihar,804408,Delhi_Airport_GW (Delhi),DTUP-205,Patna_Sonagopalpur_H (Bihar),Package details changed by Delhivery,FALSE,,59:59.0,59:59.0,17:01.0,40:28.0,40:28.0,07:30.0,21:37.0
8445110002240,RAPPIDX SURFACE,Loan 1st,RPDX00422,54:39.0,46:46.0,46:46.0,COD,In Transit,Chintamani_Oolavadi_D (Karnataka),Undelivered,0,,D2,1699,1699,Chintamani,Karnataka,563125,Delhi_Airport_GW (Delhi),DLYLH-126,Bangalore_Soukyaroad_I (Karnataka),On hold. Destination unable to receive,FALSE,,59:59.0,59:59.0,,,,54:39.0,50:45.0
