Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110101264,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0013864,17/09/2021,17/09/2021,,COD,Manifested,Bengaluru_Chandapura_D (Karnataka),Undelivered,0,,D2,1399,1399,Bangalore,Karnataka,560099,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,17/09/2021,17/09/2021
8445110100785,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0013816,17/09/2021,17/09/2021,,COD,Manifested,Jath_ShivNgr_DPP (Maharashtra),Undelivered,0,,D2,1399,1399,Jath,Maharashtra,416402,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,TRUE,,,,,,,17/09/2021,17/09/2021
8445110096681,RAPPIDX SURFACE,,RPDX005134,14/09/2021,15/09/2021,15/09/2021,Pre-paid,RTO,NSZ,Delivered,0,,A,1549,0,,,100001,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,TRUE,17/09/2021,,,16/09/2021,,17/09/2021,14/09/2021,17/09/2021
8445110102524,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0013991,18/09/2021,18/09/2021,,COD,Manifested,Kadi_KaranNGR_D (Gujarat),Undelivered,0,,D1,1399,1399,Kadi,Gujarat,382145,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,18/09/2021,18/09/2021
8445110103316,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0014070,18/09/2021,18/09/2021,,COD,Manifested,Rourkela (Orissa),Undelivered,0,,D2,1399,1399,Rourkela,Orissa,769002,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,TRUE,,,,,,,18/09/2021,18/09/2021
8445110102281,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0013967,18/09/2021,18/09/2021,,COD,Manifested,Nelamangala_SadashivaN_D (Karnataka),Undelivered,0,,D2,1399,1399,Bangalore,Karnataka,562162,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,18/09/2021,18/09/2021
8445110103235,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0014062,18/09/2021,18/09/2021,,COD,Manifested,Mumbai_VikroliWest_D (Maharashtra),Undelivered,0,,D2,1399,1399,Mumbai,Maharashtra,400086,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,18/09/2021,18/09/2021
8445110102443,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0013983,18/09/2021,18/09/2021,,COD,Manifested,South Goa (Goa),Undelivered,0,,D2,1399,1399,Goa,Goa,403722,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,18/09/2021,18/09/2021
8445110101813,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0013920,18/09/2021,18/09/2021,,COD,Manifested,Jath_ShivNgr_DPP (Maharashtra),Undelivered,0,,D2,1399,1399,Jath,Maharashtra,416402,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,TRUE,,,,,,,18/09/2021,18/09/2021
8445110103725,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0014111,18/09/2021,18/09/2021,,COD,Manifested,Sunam_DC (Punjab),Undelivered,0,,B,1399,1399,Sunam,Punjab,148028,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,18/09/2021,18/09/2021
8445110102104,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0013949,18/09/2021,18/09/2021,,COD,Manifested,Mirik_WardNo3_D (West Bengal),Undelivered,0,,D2,1399,1399,Mirik,West Bengal,734227,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,18/09/2021,18/09/2021
8445110102023,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0013941,18/09/2021,18/09/2021,,COD,Manifested,Surat (Gujarat),Undelivered,0,,D1,1399,1399,Surat,Gujarat,394210,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,18/09/2021,18/09/2021
8445110103482,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0014087,18/09/2021,18/09/2021,,COD,Manifested,Patna_Mithapur_D (Bihar),Undelivered,0,,D1,1399,1399,Patna,Bihar,804453,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,TRUE,,,,,,,18/09/2021,18/09/2021
8445110103563,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0014095,18/09/2021,18/09/2021,,COD,Manifested,Mumbai_VedHeightVirar_D (Maharashtra),Undelivered,0,,D2,1399,1399,Mumbai,Maharashtra,401301,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,18/09/2021,18/09/2021
8445110103622,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0014101,18/09/2021,18/09/2021,,COD,Manifested,Chhatarpur_SagarRd_D (Madhya Pradesh),Undelivered,0,,D1,1399,1399,Chhatarpur,Madhya Pradesh,471001,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,18/09/2021,18/09/2021
8445110102056,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0013944,18/09/2021,18/09/2021,,COD,Manifested,Karjat_Gurunagar_D (Maharashtra),Undelivered,0,,D2,1399,1399,Karjat,Maharashtra,410101,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,18/09/2021,18/09/2021
8445110102830,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0014022,18/09/2021,18/09/2021,,COD,Manifested,Nuh_HodelRd_DPP (Haryana),Undelivered,0,,B,1399,1399,Nuh,Haryana,122107,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,18/09/2021,18/09/2021
8445110102885,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0014027,18/09/2021,18/09/2021,,COD,Manifested,Parli_JirgeNgr_D (Maharashtra),Undelivered,0,,D2,1399,1399,Parli,Maharashtra,431530,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,18/09/2021,18/09/2021
8445110102966,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0014035,18/09/2021,18/09/2021,,COD,Manifested,Aligarh_Central_D_2 (Uttar Pradesh),Undelivered,0,,B,1399,1399,Aligarh,Uttar Pradesh,202001,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,18/09/2021,18/09/2021
8445110102535,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0013992,18/09/2021,18/09/2021,,COD,Manifested,Ghanpur_Palakrty_D (Telangana),Undelivered,0,,D2,1399,1399,Ghanpur,Telangana,506143,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,TRUE,,,,,,,18/09/2021,18/09/2021
8445110103084,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0014047,18/09/2021,18/09/2021,,COD,Manifested,Tenali_Pandurngpet_D (Andhra Pradesh),Undelivered,0,,D2,1399,1399,Tenali,Andhra Pradesh,522213,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,18/09/2021,18/09/2021
8445110103246,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0014063,18/09/2021,18/09/2021,,COD,Manifested,Mumbai_BorivaliGorai3_D (Maharashtra),Undelivered,0,,D2,1399,1399,Mumbai,Maharashtra,400091,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,18/09/2021,18/09/2021
8445110101905,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0013929,18/09/2021,18/09/2021,,COD,Manifested,Jaipur_PratapNagar_D (Rajasthan),Undelivered,0,,B,1399,1399,Jaipur,Rajasthan,302029,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,18/09/2021,18/09/2021
8445110103165,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0014055,18/09/2021,18/09/2021,,COD,Manifested,Vijayawada_Seethrmpuram_D (Andhra Pradesh),Undelivered,0,,D2,1399,1399,Vijayawada,Andhra Pradesh,520004,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,TRUE,,,,,,,18/09/2021,18/09/2021
8445110101931,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0013932,18/09/2021,18/09/2021,,COD,Manifested,Naidupeta_Pdmpltmpl_D (Andhra Pradesh),Undelivered,0,,D2,1399,1399,Naidupeta,Andhra Pradesh,524126,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,18/09/2021,18/09/2021
8445110103434,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0014082,18/09/2021,18/09/2021,,COD,Manifested,Bhubaneshwar_DharmaVhr_D (Orissa),Undelivered,0,,D2,1399,1399,Bhubaneshwar,Orissa,751019,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,FALSE,,,,,,,18/09/2021,18/09/2021
8445110102480,RAPPIDX SURFACE,RAPPIDX SURFACE,RPDX0013987,18/09/2021,18/09/2021,,COD,Manifested,Shamshabad_Lngrguda_D (Telangana),Undelivered,0,,D2,1399,1399,Shamshabad,Telangana,501218,Narwana_Shivmndr_DPP (Haryana),X-UCI,Narwana_Shivmndr_DPP (Haryana),Manifest uploaded,TRUE,,,,,,,18/09/2021,18/09/2021
