Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110218223,RAPPIDX SURFACE,Renu Enterprises,RPDX0036249,29/11/2021,29/11/2021,29/11/2021,COD,In Transit,Pandhurna_Mataward_D (Madhya Pradesh),RT,1,1,D1,899,899,Pandhurna,Madhya Pradesh,480334,Chandigarh_Raiprkln_C (Chandigarh),X-DLL2F,Chandigarh_Rajpura_GW (Punjab),Bag Added To Trip,FALSE,,04/12/2021,04/12/2021,03/12/2021,03/12/2021,03/12/2021,29/11/2021,09/12/2021
8445110215471,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0035500,26/11/2021,27/11/2021,27/11/2021,COD,In Transit,Rumkitalav_RamMndr_D (Gujarat),RT,2,2,D1,1599,1599,Rumkitalav,Gujarat,394380,Delhi_Airport_GW (Delhi),X-ILL1F,Gurgaon_PalamVihar_R (Haryana),Bag Received at Facility,FALSE,,02/12/2021,03/12/2021,01/12/2021,01/12/2021,03/12/2021,26/11/2021,09/12/2021
8445110195554,RAPPIDX SURFACE,KD Enterprises,RPDX0031010,29/10/2021,30/10/2021,30/10/2021,COD,RTO,Honnavar_Prbhtngr_D (Karnataka),Delivered,1,1,D2,1399,1399,Honnavar,Karnataka,581348,Noida_Sector63DBlock_C (Uttar Pradesh),RD-AC,Noida_Sector59_R (Uttar Pradesh),RETURN Accepted,TRUE,06/12/2021,06/11/2021,08/11/2021,05/11/2021,05/11/2021,06/12/2021,29/10/2021,06/12/2021
8445110196711,RAPPIDX SURFACE,KD Enterprises,RPDX0031126,29/10/2021,30/10/2021,30/10/2021,COD,RTO,Bangalore_BellndurNew_D (Karnataka),Delivered,3,4,C2,1399,1399,Bangalore,Karnataka,560103,Noida_Sector63DBlock_C (Uttar Pradesh),RD-AC,Noida_Sector59_R (Uttar Pradesh),RETURN Accepted,FALSE,06/12/2021,05/11/2021,05/11/2021,04/11/2021,05/11/2021,06/12/2021,29/10/2021,06/12/2021
8445110200281,RAPPIDX SURFACE,KD Enterprises,RPDX0031489,30/10/2021,02/11/2021,02/11/2021,COD,RTO,Haliya_PeroorRD_D (Telangana),Delivered,2,2,D2,1399,1399,Haliya,Telangana,508377,Noida_Sector63DBlock_C (Uttar Pradesh),RD-AC,Noida_Sector59_R (Uttar Pradesh),RETURN Accepted,FALSE,06/12/2021,08/11/2021,08/11/2021,06/11/2021,06/11/2021,06/12/2021,30/10/2021,06/12/2021
8445110217405,RAPPIDX SURFACE,Renu Enterprises,RPDX0036167,29/11/2021,29/11/2021,29/11/2021,COD,In Transit,HYD_Vikrampuri_ODC (Telangana),RT,1,1,D2,899,899,Hyderabad,Telangana,500015,Chandigarh_Raiprkln_C (Chandigarh),X-DLL2F,Hyderabad_Shamshbd_H (Telangana),Bag Added To Trip,TRUE,,04/12/2021,04/12/2021,04/12/2021,04/12/2021,04/12/2021,29/11/2021,08/12/2021
8445110213021,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0033340,25/11/2021,25/11/2021,25/11/2021,COD,In Transit,Godhra_DC (Gujarat),RT,3,3,D1,1599,1599,Godhra,Gujarat,389001,Delhi_Airport_GW (Delhi),X-DLL2F,Ahmedabad_AslaliRoad_GW (Gujarat),Bag Added To Trip,FALSE,,29/11/2021,30/11/2021,28/11/2021,28/11/2021,06/12/2021,25/11/2021,09/12/2021
8445110220500,RAPPIDX SURFACE,Renu Enterprises,RPDX0037158,30/11/2021,30/11/2021,30/11/2021,COD,In Transit,Bengaluru_BTM_D (Karnataka),RT,1,1,D2,899,899,Bangalore,Karnataka,560029,Chandigarh_Raiprkln_C (Chandigarh),X-DLL2F,Bangalore_Soukyaroad_GW (Karnataka),Bag Added To Trip,FALSE,,05/12/2021,05/12/2021,04/12/2021,05/12/2021,05/12/2021,30/11/2021,09/12/2021
8445110223646,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0038581,06/12/2021,06/12/2021,06/12/2021,COD,Pending,BilaspurUP_SainiColony_D (Uttar Pradesh),Undelivered,0,,B,1599,1599,Bilaspur-UP,Uttar Pradesh,244921,Delhi_Airport_GW (Delhi),X-IBD3F,BilaspurUP_SainiColony_D (Uttar Pradesh),Shipment Received at Facility,FALSE,,09/12/2021,09/12/2021,09/12/2021,,,06/12/2021,09/12/2021
8445110223226,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0038393,06/12/2021,06/12/2021,06/12/2021,COD,Pending,BilaspurUP_SainiColony_D (Uttar Pradesh),Undelivered,0,,B,1599,1599,Bilaspur-UP,Uttar Pradesh,244924,Delhi_Airport_GW (Delhi),X-IBD3F,BilaspurUP_SainiColony_D (Uttar Pradesh),Shipment Received at Facility,FALSE,,09/12/2021,09/12/2021,09/12/2021,,,06/12/2021,09/12/2021
8445110214266,RAPPIDX SURFACE,Renu Enterprises,RPDX0035379,26/11/2021,26/11/2021,26/11/2021,COD,Delivered,Aurad_JailRD_D (Karnataka),Delivered,2,2,D2,899,899,Aurad,Karnataka,585417,Chandigarh_Raiprkln_C (Chandigarh),EOD-38,Aurad_JailRD_D (Karnataka),Delivered to consignee,FALSE,01/12/2021,02/12/2021,02/12/2021,01/12/2021,01/12/2021,01/12/2021,26/11/2021,01/12/2021
8445110209930,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0033031,24/11/2021,25/11/2021,25/11/2021,COD,Delivered,Barpeta_NorthDPP_D (Assam),Delivered,1,1,E,1599,1599,Barpeta,Assam,781315,Delhi_Airport_GW (Delhi),EOD-38,Barpeta_NorthDPP_D (Assam),Delivered to consignee,FALSE,30/11/2021,01/12/2021,01/12/2021,30/11/2021,30/11/2021,30/11/2021,24/11/2021,30/11/2021
8445110216090,RAPPIDX SURFACE,Renu Enterprises,RPDX0035688,27/11/2021,27/11/2021,27/11/2021,COD,In Transit,Mumbai Tardeo (Maharashtra),RT,2,2,D2,899,899,Mumbai,Maharashtra,400006,Chandigarh_Raiprkln_C (Chandigarh),DLYLH-105,Bhiwandi_Mega_GW (Maharashtra),Vehicle delayed,FALSE,,01/12/2021,01/12/2021,01/12/2021,01/12/2021,04/12/2021,27/11/2021,09/12/2021
8445110223871,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0038683,06/12/2021,06/12/2021,06/12/2021,COD,In Transit,Kasganj_BnkrGate_D (Uttar Pradesh),Undelivered,0,,B,1599,1599,Kasganj,Uttar Pradesh,202123,Delhi_Airport_GW (Delhi),X-DLL2F,Khair_Malipura_D (Uttar Pradesh),Bag Added To Trip,FALSE,,10/12/2021,10/12/2021,08/12/2021,,,06/12/2021,09/12/2021
8445110212284,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0033266,25/11/2021,25/11/2021,25/11/2021,COD,In Transit,Kannur_SNParkRd_D (Kerala),RT,2,1,D2,1599,1599,Kannur,Kerala,670012,Delhi_Airport_GW (Delhi),X-DLL2F,Mangalore_Bkmpdy_H (Karnataka),Bag Added To Trip,FALSE,,01/12/2021,01/12/2021,02/12/2021,02/12/2021,03/12/2021,25/11/2021,06/12/2021
8445110205800,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0032323,22/11/2021,22/11/2021,22/11/2021,COD,In Transit,Imphal_MnprUnvrsty_D (Manipur),RT,1,1,F,1599,1599,Imphal,Manipur,795008,Delhi_Airport_GW (Delhi),X-ILL1F,Gurgaon_PalamVihar_R (Haryana),Bag Received at Facility,FALSE,,02/12/2021,03/12/2021,01/12/2021,01/12/2021,01/12/2021,22/11/2021,09/12/2021
8445110214944,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0035447,26/11/2021,30/11/2021,30/11/2021,COD,In Transit,Bellampalli_Rlwaycolny_DPP (Telangana),RT,1,1,D1,1599,1599,Bellampalli,Telangana,504231,Delhi_Airport_GW (Delhi),X-DLL2F,Hyderabad_Shamshbd_H (Telangana),Bag Added To Trip,TRUE,,05/12/2021,05/12/2021,04/12/2021,04/12/2021,04/12/2021,26/11/2021,08/12/2021
8445110212715,RAPPIDX SURFACE,Rappidx Warehouse,RPDX0033309,25/11/2021,25/11/2021,25/11/2021,COD,Pending,Coimbatore_Thudiyalur_D (Tamil Nadu),RT,1,1,D2,1599,1599,Coimbatore,Tamil Nadu,641017,Delhi_Airport_GW (Delhi),X-IBD3F,Gurgaon_PalamVihar_R (Haryana),Shipment Received at Facility,FALSE,,01/12/2021,02/12/2021,29/11/2021,29/11/2021,29/11/2021,25/11/2021,07/12/2021
8445110211820,RAPPIDX SURFACE,Renu Enterprises,RPDX0033220,25/11/2021,25/11/2021,25/11/2021,COD,Delivered,Wankaner_BusStand_DPP (Gujarat),Delivered,1,1,D1,899,899,Wankaner,Gujarat,363621,Chandigarh_Raiprkln_C (Chandigarh),EOD-38,Wankaner_BusStand_DPP (Gujarat),Delivered to consignee,FALSE,30/11/2021,30/11/2021,30/11/2021,29/11/2021,30/11/2021,30/11/2021,25/11/2021,30/11/2021
