Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110007313,RAPPIDX SURFACE,VJ Enterprises,RPDX002087,2021-08-30 11:08:04.000,2021-08-30 16:19:40.000,2021-08-30 16:19:40.000,COD,In Transit,Kupwara_PoliceStn_DPP (Jammu & Kashmir),Undelivered,0,,F,1699.0,1699.0,Kupwara,Jammu & Kashmir,193222,Delhi_Airport_GW (Delhi),X-DBL1F,Delhi_Airport_GW (Delhi),Added to Bag,False,,2021-09-03 23:59:59.000,2021-09-03 23:59:59.000,,,,2021-08-30 11:08:04.000,2021-08-31 03:22:36.000
8445110007232,RAPPIDX SURFACE,VJ Enterprises,RPDX002050,2021-08-30 11:07:28.000,2021-08-30 16:20:12.000,2021-08-30 16:20:12.000,COD,In Transit,Bordumsa_Central_D_1 (Arunachal Pradesh),Undelivered,0,,E,1699.0,1699.0,Bordumsa,Arunachal Pradesh,786174,Delhi_Airport_GW (Delhi),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,True,,2021-09-06 23:59:59.000,2021-09-06 23:59:59.000,,,,2021-08-30 11:07:28.000,2021-08-31 06:46:55.000
8445110007280,RAPPIDX SURFACE,VJ Enterprises,RPDX002065,2021-08-30 11:07:43.000,2021-08-30 16:21:07.000,2021-08-30 16:21:07.000,COD,In Transit,Kattappana_Plamood_D (Kerala),Undelivered,0,,D2,1699.0,1699.0,Kattappana,Kerala,685508,Delhi_Airport_GW (Delhi),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,False,,2021-09-06 23:59:59.000,2021-09-06 23:59:59.000,,,,2021-08-30 11:07:43.000,2021-08-31 06:46:55.000
8445110007335,RAPPIDX SURFACE,VJ Enterprises,RPDX002090,2021-08-30 11:08:07.000,2021-08-30 16:20:26.000,2021-08-30 16:20:26.000,COD,In Transit,Sasaram_Takiya_DPP (Bihar),Undelivered,0,,D1,1699.0,1699.0,Sasaram,Bihar,821115,Delhi_Airport_GW (Delhi),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,True,,2021-09-04 23:59:59.000,2021-09-04 23:59:59.000,,,,2021-08-30 11:08:07.000,2021-08-31 06:46:55.000
8445110007464,RAPPIDX SURFACE,VJ Enterprises,RPDX002154,2021-08-30 11:09:07.000,2021-08-30 16:20:58.000,2021-08-30 16:20:58.000,COD,In Transit,Bhadohi_Prgaspur_D (Uttar Pradesh),Undelivered,0,,D1,1699.0,1699.0,Bhadohi,Uttar Pradesh,221406,Delhi_Airport_GW (Delhi),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,True,,2021-09-03 23:59:59.000,2021-09-03 23:59:59.000,,,,2021-08-30 11:09:07.000,2021-08-31 06:46:55.000
8445110007033,RAPPIDX SURFACE,Kospet Collection,RPDX001922,2021-08-25 00:03:33.000,2021-08-25 16:19:39.000,2021-08-25 16:19:39.000,COD,Pending,Bavla_CrystalCmplx_D (Gujarat),Undelivered,2,1,C1,1549.0,1549.0,Bavla,Gujarat,382220,Delhi_Airport_GW (Delhi),EOD-86,Bavla_CrystalCmplx_D (Gujarat),Not attempted,False,,2021-08-29 23:59:59.000,2021-08-29 23:59:59.000,2021-08-28 07:07:32.000,2021-08-28 08:29:05.000,2021-08-29 09:21:23.000,2021-08-25 00:03:33.000,2021-08-29 13:53:44.000
8445110006871,RAPPIDX SURFACE,Kospet Collection,RPDX001869,2021-08-16 21:10:37.000,2021-08-17 14:13:39.000,2021-08-17 14:13:39.000,COD,In Transit,Bableshwar_Highschool_D (Karnataka),RT,1,1,D2,1549.0,1549.0,Bijapur,Karnataka,586125,Delhi_Airport_GW (Delhi),X-DBL1F,Gurgaon_Tauru_RP (Haryana),Added to Bag,True,,2021-08-23 23:59:59.000,2021-08-23 23:59:59.000,2021-08-21 06:40:39.000,2021-08-21 08:27:23.000,2021-08-21 08:27:23.000,2021-08-16 21:10:37.000,2021-08-30 23:55:10.000
8445110007486,RAPPIDX SURFACE,VJ Enterprises,RPDX002166,2021-08-30 11:09:20.000,2021-08-30 16:21:10.000,2021-08-30 16:21:10.000,COD,In Transit,Khaga_GTRoad_D (Uttar Pradesh),Undelivered,0,,D1,1699.0,1699.0,Khaga,Uttar Pradesh,212653,Delhi_Airport_GW (Delhi),X-ILL1F,Gurgaon_Tauru_GW (Haryana),Bag Received at Facility,False,,2021-09-02 23:59:59.000,2021-09-02 23:59:59.000,,,,2021-08-30 11:09:20.000,2021-08-31 06:55:49.000
8445110007206,RAPPIDX SURFACE,VJ Enterprises,RPDX002029,2021-08-30 11:07:07.000,2021-08-30 16:19:30.000,2021-08-30 16:19:30.000,COD,In Transit,Ikauna_Hndutmple_D (Uttar Pradesh),Undelivered,0,,D1,1699.0,1699.0,Ikauna,Uttar Pradesh,271845,Delhi_Airport_GW (Delhi),X-ILL1F,Gurgaon_Tauru_GW (Haryana),Bag Received at Facility,False,,2021-09-04 23:59:59.000,2021-09-04 23:59:59.000,,,,2021-08-30 11:07:07.000,2021-08-31 07:04:56.000
8445110004970,RAPPIDX SURFACE,VJ Enterprises,RPDX001492,2021-07-19 12:37:51.000,2021-07-19 19:40:39.000,2021-07-19 19:40:39.000,COD,RTO,Mumbai_BorivaliGorai3_D (Maharashtra),Delivered,3,3,C2,2299.0,2299.0,Mumbai,Maharashtra,400067,Delhi_Airport_GW (Delhi),RD-AC,Delhi_UdhyogNgr_R (Delhi),RETURN Accepted,False,2021-08-20 22:34:06.000,2021-07-23 23:59:59.000,2021-07-23 23:59:59.000,2021-07-25 04:09:24.000,2021-07-27 09:46:50.000,2021-08-20 11:44:23.000,2021-07-19 12:37:51.000,2021-08-20 22:34:06.000
