Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110042313,RAPPIDX SURFACE,Ignis Traders,RPDX006645,08/09/2021,08/09/2021,08/09/2021,COD,Delivered,Darbhanga_Ekmi_D (Bihar),Delivered,1,1,D1,649,649,Darbhanga,Bihar,846003,Delhi_Airport_GW (Delhi),EOD-38,Darbhanga_Ekmi_D (Bihar),Delivered to consignee,FALSE,11/09/2021,13/09/2021,13/09/2021,11/09/2021,11/09/2021,11/09/2021,08/09/2021,11/09/2021
8445110039782,RAPPIDX SURFACE,Ignis Traders,RPDX006392,08/09/2021,08/09/2021,08/09/2021,COD,Delivered,Sarthebari_Tmlichp_D (Assam),Delivered,1,1,E,649,649,Sarthebari,Assam,781305,Delhi_Airport_GW (Delhi),EOD-38,Sarthebari_Tmlichp_D (Assam),Delivered to consignee,FALSE,15/09/2021,14/09/2021,14/09/2021,14/09/2021,15/09/2021,15/09/2021,08/09/2021,15/09/2021
8445110092212,RAPPIDX SURFACE,Ignis Traders,RPDX0012481,14/09/2021,14/09/2021,14/09/2021,COD,In Transit,Mathura_DC (Uttar Pradesh),RT,1,1,B,649,649,Mathura,Uttar Pradesh,281003,Delhi_Airport_GW (Delhi),RT-108,Mathura_DC (Uttar Pradesh),No client instructions to Reattempt,FALSE,,17/09/2021,18/09/2021,16/09/2021,16/09/2021,16/09/2021,14/09/2021,17/09/2021
8445110072645,RAPPIDX SURFACE,Ignis Traders,RPDX0010326,12/09/2021,13/09/2021,13/09/2021,COD,Dispatched,Dudhinagar_MyorpurRd_D (Uttar Pradesh),Undelivered,2,1,D1,649,649,Dudhinagar,Uttar Pradesh,231208,Delhi_Airport_GW (Delhi),X-DDD3FD,Dudhinagar_MyorpurRd_D (Uttar Pradesh),Out for delivery,FALSE,,18/09/2021,18/09/2021,17/09/2021,17/09/2021,18/09/2021,12/09/2021,18/09/2021
8445110072041,RAPPIDX SURFACE,Ignis Traders,RPDX0010266,12/09/2021,13/09/2021,13/09/2021,COD,Pending,Mumbai_MiraRdIndEstate_D (Maharashtra),Undelivered,0,,C2,649,649,Mumbai,Maharashtra,401105,Delhi_Airport_GW (Delhi),X-IBD3F,Mumbai_MiraRdIndEstate_D (Maharashtra),Shipment Received at Facility,FALSE,,18/09/2021,18/09/2021,18/09/2021,,,12/09/2021,18/09/2021
8445110037612,RAPPIDX SURFACE,Ignis Traders,RPDX006175,08/09/2021,08/09/2021,08/09/2021,COD,In Transit,Jammu_Gangyal_D (Jammu & Kashmir),RT,3,3,E,649,649,Jammu,Jammu & Kashmir,180003,Delhi_Airport_GW (Delhi),X-DLL2F,Jammu_Gangyal_D (Jammu & Kashmir),Bag Added To Trip,FALSE,,11/09/2021,11/09/2021,11/09/2021,14/09/2021,16/09/2021,08/09/2021,18/09/2021
8445110062731,RAPPIDX SURFACE,Ignis Traders,RPDX009335,12/09/2021,13/09/2021,13/09/2021,COD,In Transit,Dehradun_Selakui_D (Uttarakhand),RT,1,1,B,649,649,Dehradun,Uttarakhand,248011,Delhi_Airport_GW (Delhi),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,FALSE,,16/09/2021,16/09/2021,15/09/2021,15/09/2021,15/09/2021,12/09/2021,18/09/2021
8445110086892,RAPPIDX SURFACE,Ignis Traders,RPDX0011949,14/09/2021,14/09/2021,14/09/2021,COD,In Transit,Sujanpur_Busstandrd_D (Himachal Pradesh),RT,1,1,E,649,649,Sujanpur,Himachal Pradesh,176110,Delhi_Airport_GW (Delhi),X-DLL2F,Sujanpur_Busstandrd_D (Himachal Pradesh),Bag Added To Trip,TRUE,,16/09/2021,17/09/2021,16/09/2021,16/09/2021,16/09/2021,14/09/2021,18/09/2021
8445110066592,RAPPIDX SURFACE,Ignis Traders,RPDX009721,12/09/2021,13/09/2021,13/09/2021,COD,In Transit,JognderNgr_Dhelu_D (Himachal Pradesh),RT,1,2,E,649,649,Joginder Nagar,Himachal Pradesh,175015,Delhi_Airport_GW (Delhi),X-DLL2F,JognderNgr_Dhelu_D (Himachal Pradesh),Bag Added To Trip,FALSE,,16/09/2021,16/09/2021,16/09/2021,16/09/2021,16/09/2021,12/09/2021,18/09/2021
8445110082541,RAPPIDX SURFACE,Ignis Traders,RPDX0011514,14/09/2021,14/09/2021,14/09/2021,COD,Dispatched,Mumbai_East_D_22 (Maharashtra),Undelivered,1,,C2,649,649,Greater Thane,Maharashtra,421305,Delhi_Airport_GW (Delhi),X-DDD3FD,Mumbai_East_D_22 (Maharashtra),Out for delivery,FALSE,,18/09/2021,20/09/2021,18/09/2021,18/09/2021,18/09/2021,14/09/2021,18/09/2021
