Waybill,Client Name,client_location,Order #,Order Date,Pickup date,Client Pickup date,Payment Type,Current Status,Dispatch Center,Status_Type,Dispatch Count,Attempt Count,Invoice zone,Amount,COD Amount,Destination city,Destination State,Destination Pin,In Center,Last NSL,Last Scan Location,Last scan remarks,address invalid,Delivered date,Promise Date,Expected Date,First Pending Date,First Dispatch Date,Last Dispatch Date,Manifested Date,Last Scan Date
8445110051601,RAPPIDX SURFACE,Ignis Traders,RPDX007718,10/09/2021,10/09/2021,10/09/2021,COD,In Transit,Bihta_Kateshwar_D (Bihar),RT,1,1,D1,649,649,Bihta,Bihar,801104,Delhi_Airport_GW (Delhi),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,FALSE,,15/09/2021,15/09/2021,13/09/2021,13/09/2021,13/09/2021,10/09/2021,18/09/2021
8445110051623,RAPPIDX SURFACE,Ignis Traders,RPDX007720,10/09/2021,10/09/2021,10/09/2021,COD,In Transit,BiharSharif_Sherpur_D (Bihar),RT,2,2,D1,649,649,Bihar Sharif,Bihar,803101,Delhi_Airport_GW (Delhi),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,FALSE,,14/09/2021,14/09/2021,13/09/2021,13/09/2021,14/09/2021,10/09/2021,18/09/2021
8445110020263,RAPPIDX SURFACE,VJ Enterprises,RPDX005503,08/09/2021,08/09/2021,08/09/2021,COD,In Transit,MohiuddinNagar_Manjha_D (Bihar),RT,2,2,D1,1699,1699,Mohiuddin Nagar,Bihar,848501,Delhi_Airport_GW (Delhi),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,FALSE,,13/09/2021,13/09/2021,11/09/2021,11/09/2021,12/09/2021,08/09/2021,18/09/2021
8445110046572,RAPPIDX SURFACE,Ignis Traders,RPDX007071,08/09/2021,08/09/2021,08/09/2021,COD,In Transit,Patna_Kankarbagh_D (Bihar),RT,3,3,D1,649,649,Patna,Bihar,800027,Delhi_Airport_GW (Delhi),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,TRUE,,12/09/2021,12/09/2021,12/09/2021,12/09/2021,14/09/2021,08/09/2021,18/09/2021
8445110039701,RAPPIDX SURFACE,Ignis Traders,RPDX006384,08/09/2021,08/09/2021,08/09/2021,COD,In Transit,Saharsa_NayaBzar_D (Bihar),RT,1,1,D1,649,649,Saharsa,Bihar,852201,Delhi_Airport_GW (Delhi),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,FALSE,,13/09/2021,13/09/2021,11/09/2021,11/09/2021,11/09/2021,08/09/2021,18/09/2021
8445110039970,RAPPIDX SURFACE,Ignis Traders,RPDX006411,08/09/2021,08/09/2021,08/09/2021,COD,In Transit,Maheshkhunt_PashchimTola_D (Bihar),RT,1,1,D1,649,649,Maheshkhunt,Bihar,851213,Delhi_Airport_GW (Delhi),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,FALSE,,13/09/2021,13/09/2021,12/09/2021,12/09/2021,12/09/2021,08/09/2021,18/09/2021
8445110050411,RAPPIDX SURFACE,Renu Enterprises,RPDX007555,10/09/2021,10/09/2021,10/09/2021,COD,In Transit,Hajipur_Bank_D (Bihar),RT,1,1,D1,1599,1599,Hajipur,Bihar,844101,Chandigarh_Raiprkln_C (Chandigarh),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,FALSE,,17/09/2021,17/09/2021,13/09/2021,13/09/2021,13/09/2021,10/09/2021,18/09/2021
8445110017496,RAPPIDX SURFACE,Renu Enterprises,RPDX005055,07/09/2021,07/09/2021,07/09/2021,COD,In Transit,Hasanpura_Rjnpra_D (Bihar),RT,1,1,D1,1698,1698,Hasanpura,Bihar,841286,Chandigarh_Raiprkln_C (Chandigarh),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,FALSE,,12/09/2021,12/09/2021,11/09/2021,11/09/2021,11/09/2021,07/09/2021,18/09/2021
8445110042722,RAPPIDX SURFACE,Ignis Traders,RPDX006686,08/09/2021,08/09/2021,08/09/2021,COD,In Transit,Bairia_Bhagwanpur_DPP (Uttar Pradesh),RT,1,1,D1,649,649,Bariya,Uttar Pradesh,277208,Delhi_Airport_GW (Delhi),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,FALSE,,13/09/2021,13/09/2021,12/09/2021,12/09/2021,12/09/2021,08/09/2021,18/09/2021
8445110047633,RAPPIDX SURFACE,Ignis Traders,RPDX007177,08/09/2021,08/09/2021,08/09/2021,COD,In Transit,Begusarai_Mlgodown_D (Bihar),RT,2,1,D1,649,649,Begusarai,Bihar,851210,Delhi_Airport_GW (Delhi),X-ILL2F,Gurgaon_Tauru_GW (Haryana),Trip Arrived,FALSE,,13/09/2021,14/09/2021,12/09/2021,12/09/2021,13/09/2021,08/09/2021,18/09/2021
