Pincode,AreaCode,ProcessCode,HubZoneName,HubCity,HubState,COD,PrePaid,HasReversePickUpService
574325,,,South-2,KALLERI,KARNATAKA,Y,Y,Y
691319,,,South-2,KOLLAM,KERALA,Y,Y,Y
591226,,,South-2,Chikodi,KARNATAKA,Y,Y,Y
591287,,,South-2,Chikodi,KARNATAKA,Y,Y,Y
591247,,,South-2,Chikodi,KARNATAKA,Y,Y,Y
591222,,,South-2,Chikodi,KARNATAKA,Y,Y,Y
573215,,,South-2,Halebeedu,KARNATAKA,Y,Y,Y
573101,,,South-2,Halebeedu,KARNATAKA,Y,Y,Y
581340,,,South-2,Sirsi,KARNATAKA,Y,Y,Y
581348,,,South-2,Honnavar,KARNATAKA,Y,Y,Y
431138,,,West,Paithan,MAHARASHTRA,Y,Y,Y
416145,,,West,Sangli,MAHARASHTRA,Y,Y,Y
416540,,,West,Sangli,MAHARASHTRA,Y,Y,Y
415507,,,West,Vaduj,MAHARASHTRA,Y,Y,Y
416322,,,West,Islampur,MAHARASHTRA,Y,Y,Y
416307,,,West,Tasgaon,MAHARASHTRA,Y,Y,Y
416306,,,West,Sangli,MAHARASHTRA,Y,Y,Y
185156,,,North,SUNDERBANI,JAMMU AND KASHMIR,Y,Y,Y
413550,,,West,SHIRUR ANANTPAL,MAHARASHTRA,Y,Y,N
413549,,,West,SHIRUR ANANTPAL,MAHARASHTRA,Y,Y,N
413548,,,West,SHIRUR ANANTPAL,MAHARASHTRA,Y,Y,N
413547,,,West,SHIRUR ANANTPAL,MAHARASHTRA,Y,Y,N
413546,,,West,SHIRUR ANANTPAL,MAHARASHTRA,Y,Y,N
413545,,,West,SHIRUR ANANTPAL,MAHARASHTRA,Y,Y,N
410065,,,West,SAIDAPURA SATARA,MAHARASHTRA,Y,Y,Y
152025,,,North,Muktsar,PUNJAB,Y,Y,Y
230130,,,North,Lalganj Ajhara,UTTAR PRADESH,Y,Y,Y
312618,,,North,Pratapgarh-RJ,RAJASTHAN,Y,Y,Y
403409,,,West,GOA,GOA,Y,Y,Y
403405,,,West,GOA,GOA,Y,Y,Y
412111,,,West,PIRANGUT,MAHARASHTRA,Y,Y,Y
412042,,,West,PIRANGUT,MAHARASHTRA,Y,Y,Y
416529,,,West,Sawantwadi,MAHARASHTRA,Y,Y,Y
430005,,,West,Aurangabad,MAHARASHTRA,Y,Y,Y
534215,,,South-1,Tanuku,ANDHRA PRADESH,Y,Y,Y
532215,,,South-1,PATHAPATNAM,ANDHRA PRADESH,Y,Y,Y
415109,,,West,KARAD,MAHARASHTRA,Y,Y,Y
413117,,,West,Walchandnagar,MAHARASHTRA,Y,Y,Y
144502,,,North,Phagwara,PUNJAB,Y,Y,Y
485661,,,Central,MAIHAR,MADHYA PRADESH,Y,Y,Y
431110,,,West,Gangapur-MH,MAHARASHTRA,Y,Y,Y
321006,,,North,Kherli,RAJASTHAN,Y,Y,Y
325601,,,North,KHANPUR RJ,RAJASTHAN,Y,Y,Y
391230,,,West,Karjan,GUJARAT,Y,Y,Y
322245,,,North,Karauli,RAJASTHAN,Y,Y,Y
396330,,,West,Kadi,GUJARAT,Y,Y,Y
577181,,,South-2,KALASA,KARNATAKA,Y,Y,Y
577124,,,South-2,KALASA,KARNATAKA,Y,Y,Y
412413,,,West,Junnar,MAHARASHTRA,Y,Y,Y
364465,,,West,JETPUR,GUJARAT,Y,Y,Y
360150,,,West,Bhanvad,GUJARAT,Y,Y,Y
364560,,,West,Rajula,GUJARAT,Y,Y,Y
363334,,,West,Halvad,GUJARAT,Y,Y,Y
144631,,,North,Kapurthala,PUNJAB,Y,Y,Y
144819,,,North,Kapurthala,PUNJAB,Y,Y,Y
455118,,,Central,DEWAS,MADHYA PRADESH,Y,Y,Y
455116,,,Central,DEWAS,MADHYA PRADESH,Y,Y,Y
414709,,,West,Daund,MAHARASHTRA,Y,Y,Y
414702,,,West,Daund,MAHARASHTRA,Y,Y,Y
410520,,,West,Baramati,MAHARASHTRA,Y,Y,Y
243727,,,North,Anupshahar,UTTAR PRADESH,Y,Y,Y
383002,,,West,Himmatnagar,GUJARAT,Y,Y,Y
364540,,,West,Amreli,GUJARAT,Y,Y,Y
734423,,,East,SILIGURI,WEST BENGAL,Y,Y,Y
752038,,,East,BHUBANESWAR,ORISSA,Y,Y,Y
843311,,,East,SITAMARHI,BIHAR,Y,Y,Y
574265,,,South-2,Bantwal,KARNATAKA,Y,Y,Y
323305,,,North,CHITTORGARH,RAJASTHAN,Y,Y,Y
212217,,,North,Allahabad,UTTAR PRADESH,Y,Y,N
212205,,,North,Allahabad,UTTAR PRADESH,Y,Y,N
212204,,,North,Allahabad,UTTAR PRADESH,Y,Y,N
431148,,,West,Paithan,MAHARASHTRA,Y,Y,Y
