Pincode,AreaCode,ProcessCode,HubZoneName,HubCity,HubState,COD,PrePaid,HasReversePickUpService,xpressbee,delhivery,shadowfax,dtdc,disableclientidsno
744103,,,East,PORT BLAIR,ANDAMAN AND NICOBAR,Y,Y,Y,,,,,
744104,,,East,PORT BLAIR,ANDAMAN AND NICOBAR,Y,Y,Y,,,,,
744105,,,East,PORT BLAIR,ANDAMAN AND NICOBAR,Y,Y,Y,,,,,
744101,,,East,PORT BLAIR,ANDAMAN AND NICOBAR,Y,Y,Y,,,,,
744102,,,East,PORT BLAIR,ANDAMAN AND NICOBAR,Y,Y,Y,,,,,
744106,,,East,PORT BLAIR,ANDAMAN AND NICOBAR,Y,Y,Y,,,,,
744107,,,East,PORT BLAIR,ANDAMAN AND NICOBAR,Y,Y,Y,,,,,
744112,,,East,PORT BLAIR,ANDAMAN AND NICOBAR,Y,Y,Y,,,,,
524302,,,South-1,A S PETA,ANDHRA PRADESH,Y,Y,Y,,,,,
524303,,,South-1,A S PETA,ANDHRA PRADESH,Y,Y,Y,,,,,
524304,,,South-1,A S PETA,ANDHRA PRADESH,Y,Y,Y,,,,,
524322,,,South-1,A S PETA,ANDHRA PRADESH,Y,Y,Y,,,,,
534122,,,South-1,ACHANTA,ANDHRA PRADESH,Y,Y,Y,,,,,
534123,,,South-1,ACHANTA,ANDHRA PRADESH,Y,Y,Y,,,,,
534126,,,South-1,ACHANTA,ANDHRA PRADESH,Y,Y,Y,,,,,
534266,,,South-1,ACHANTA,ANDHRA PRADESH,Y,Y,Y,,,,,
534267,,,South-1,ACHANTA,ANDHRA PRADESH,Y,Y,Y,,,,,
534269,,,South-1,ACHANTA,ANDHRA PRADESH,Y,Y,Y,,,,,
534320,,,South-1,ACHANTA,ANDHRA PRADESH,Y,Y,N,,,,,
534324,,,South-1,ACHANTA,ANDHRA PRADESH,Y,Y,N,,,,,
534326,,,South-1,ACHANTA,ANDHRA PRADESH,Y,Y,N,,,,,
534327,,,South-1,ACHANTA,ANDHRA PRADESH,Y,Y,N,,,,,
523201,,,South-1,ADDANKI,ANDHRA PRADESH,Y,Y,N,,,,,
523219,,,South-1,ADDANKI,ANDHRA PRADESH,Y,Y,N,,,,,
523261,,,South-1,Addanki,Andhra Pradesh,Y,Y,Y,,,,,
523265,,,South-1,Addanki,Andhra Pradesh,Y,Y,Y,,,,,
